direction,decile,rows,distinct_episodes,raw_episode_weight,mean_prediction,actual_mean_y,weighted_actual_mean_y,positive_y_rate
long,0,1277,120,19.870951572396073,-2.79307613323848,-2.5017253668886164,-2.1435270127673562,0.10415035238841033
long,1,1277,145,20.900150989225615,-2.3068241213165956,-2.6779853424164477,-2.1861031938283637,0.0947533281127643
long,2,1280,163,23.673265784915163,-2.0748381770092896,-2.8167196433536317,-2.375204109666999,0.1140625
long,3,1274,168,21.701790773853737,-1.8869336515085517,-2.8553607553800155,-2.6001995851490993,0.1075353218210361
long,4,1276,178,24.479356693912486,-1.7176786409449682,-3.000974189544475,-2.3364871577971114,0.11206896551724138
long,5,1276,191,28.127286074020198,-1.5448257640090273,-3.00995626805033,-2.2674609265654753,0.09561128526645768
long,6,1285,205,33.37411804033397,-1.355579420508128,-2.5292936266687382,-1.4395479192186782,0.11284046692607004
long,7,1268,242,51.5052562699975,-1.115358809413492,-2.463162017923234,-1.1696099469014865,0.13249211356466878
long,8,1280,253,75.35493304062543,-0.7604431915406931,-2.0952351863046212,-0.6726483317229491,0.16015625
long,9,1274,173,78.01289076071983,-0.09458545675391335,-2.343828167959838,-0.3920778622013966,0.17896389324960754
short,0,1281,115,25.262494597080973,-2.8005621675534265,-3.024106921090554,-2.2959569022114525,0.09679937548790007
short,1,1273,132,25.941332301326256,-2.1585109081020604,-2.6250906344766975,-2.2191858762610126,0.11547525530243519
short,2,1276,147,25.87980556570323,-1.9420487931114483,-3.5348984925018803,-2.379361836295473,0.10266457680250783
short,3,1280,148,29.668308780586027,-1.833380136309838,-2.449405104993593,-1.3565717666077257,0.1171875
short,4,1274,151,27.189364397951106,-1.746878628982479,-2.376636059184813,-1.7385025618987506,0.1075353218210361
short,5,1276,177,31.591432868625922,-1.6411171842877974,-2.8829440384241183,-1.9401837578927523,0.13009404388714735
short,6,1278,173,31.314713728742074,-1.525343461692568,-2.9573272101896695,-1.865335788242552,0.10328638497652583
short,7,1278,192,44.39415146648153,-1.3912731234716453,-2.66041153906414,-1.3565139349542648,0.11502347417840375
short,8,1274,187,49.88573512074255,-1.2173483949987147,-2.5021138658093425,-0.9143032735043305,0.13814756671899528
short,9,1277,197,85.8726611727603,-0.8656595094128996,-1.7714267153207905,-0.312573295997743,0.1707126076742365
