symbol,split,rows,ready_rows,ready_fraction
AG,train,20489,16355,0.7982331983015276
AG,validation,7563,7563,1.0
AG,test,7639,7639,1.0
AL,train,18888,15432,0.8170266836086404
AL,validation,6474,6474,1.0
AL,test,6946,6946,1.0
AU,train,20635,16902,0.8190937727162588
AU,validation,7483,7483,1.0
AU,test,7291,7291,1.0
CF,train,14211,10829,0.7620153402293998
CF,validation,4650,4650,1.0
CF,test,4939,4939,1.0
CU,train,17925,14663,0.8180195258019526
CU,validation,6694,6694,1.0
CU,test,6857,6857,1.0
I,train,14775,11342,0.7676480541455161
I,validation,5121,5121,1.0
I,test,5024,5024,1.0
M,train,13932,10771,0.7731122595463681
M,validation,4947,4947,1.0
M,test,4916,4916,1.0
MA,train,13940,10427,0.7479913916786227
MA,validation,4607,4607,1.0
MA,test,4800,4800,1.0
NI,train,19055,15702,0.8240356861716085
NI,validation,6408,6408,1.0
NI,test,6939,6939,1.0
P,train,13454,10457,0.7772409692284822
P,validation,4696,4696,1.0
P,test,5035,5035,1.0
RB,train,14190,10923,0.7697674418604651
RB,validation,5134,5134,1.0
RB,test,5128,5128,1.0
RU,train,13975,10705,0.766010733452594
RU,validation,4872,4872,1.0
RU,test,4834,4834,1.0
SC,train,21810,18116,0.8306281522237505
SC,validation,7231,3405,0.47088922693956575
SC,test,7258,6728,0.9269771286855883
SN,train,18481,15171,0.8208971376007792
SN,validation,6094,6094,1.0
SN,test,6987,6987,1.0
TA,train,14178,11024,0.777542671744957
TA,validation,4505,4505,1.0
TA,test,5028,5028,1.0
ALL,train,249938,198819,0.7954732773727885
ALL,validation,86479,82653,0.9557580453057968
ALL,test,89621,89091,0.9940862074736948
