direction,group,n_features,permutation,mean_delta_rmse_episode,std_delta_rmse_episode,baseline_rmse_episode
long,distance,16,full,0.17048498991639977,0.027900447801000074,3.2626104157605633
long,distance,16,finite_value_only,0.03273387099914045,0.012825421815408924,3.2626104157605633
short,distance,16,full,0.09116190488677071,0.012310324180021185,3.192228774778494
short,distance,16,finite_value_only,0.09326205943261198,0.007624320909764381,3.192228774778494
