n,cal_q10,cal_q90,interval_80_cov,width_spearman_absret,top30_mean_absret,bottom30_mean_absret,top30_over_bottom30,instrument,split,horizon
10366,0.14808026239629557,0.8373528844298669,0.6892726220335713,0.4321907297081521,0.010254960858412007,0.0028527922192143184,3.5947100491028063,AG,FULL,H4
6979,0.12824186846253044,0.8623011892821321,0.7340593208196017,0.436659324215552,0.00817795794505814,0.0024713648588223234,3.3090856317165462,AG,CONTIG,H4
3387,0.188957779746088,0.7859462651313847,0.5969884853852967,0.38452285617936716,0.014094236598384718,0.004813590366317741,2.928009141992364,AG,CROSS_GAP,H4
10366,0.1366968936909126,0.8661971830985915,0.729500289407679,0.3781229102985567,0.004854975010660507,0.0015949080787257587,3.044046911179582,AU,FULL,H4
6979,0.1196446482304055,0.8885227109901132,0.7688780627597077,0.34773804278172793,0.003717240849822207,0.0014670662446721662,2.533792092430611,AU,CONTIG,H4
3387,0.17183348095659876,0.8201948627103631,0.6483613817537643,0.3188486970304677,0.006461848347694278,0.002565141295762304,2.519100354576748,AU,CROSS_GAP,H4
8701,0.12791633145615447,0.8720836685438456,0.7441673370876911,0.31636419538901145,0.004082466591594149,0.0016759524140777823,2.4359084167915275,CU,FULL,H4
5314,0.10161836657884833,0.9000752728641325,0.7984569062852842,0.32890176362274537,0.0034950536641050406,0.0014438334543100415,2.42067646630006,CU,CONTIG,H4
3387,0.1691762621789194,0.8281665190434012,0.6589902568644819,0.27420470282150067,0.004957523549314686,0.0023317024105153294,2.1261390505742215,CU,CROSS_GAP,H4
8701,0.12481323985748764,0.8753016894609815,0.7504884496034938,0.37998168137985144,0.003736654232805812,0.0012404270970995132,3.0123932648224296,AL,FULL,H4
5314,0.10481746330447873,0.8959352653368461,0.7911178020323674,0.3759877154459505,0.0031105754845253734,0.001024989887375828,3.034737730426831,AL,CONTIG,H4
3387,0.15618541482137585,0.8429288455860644,0.6867434307646885,0.29638117047110646,0.004514099280397264,0.0019172433977228801,2.3544737646553813,AL,CROSS_GAP,H4
8701,0.1276864728192162,0.8597862314676474,0.7320997586484312,0.4249956022294955,0.008027033307627357,0.002279952510022357,3.520701976177848,SN,FULL,H4
5314,0.10425291682348513,0.8917952578095597,0.7875423409860746,0.44371165384685235,0.0068622514626791265,0.0018521672933678472,3.7049846886137936,SN,CONTIG,H4
3387,0.1644523176852672,0.8095659875996457,0.6451136699143785,0.3830071217341665,0.009833320365026254,0.0031988683743247263,3.0739996818725137,SN,CROSS_GAP,H4
8701,0.12699689690840132,0.8817377312952535,0.7547408343868521,0.3645557349524364,0.005416326458502982,0.0020150123672113417,2.6879867074954276,NI,FULL,H4
5314,0.10199473089951072,0.9074143771170493,0.8054196462175386,0.37150883793990785,0.004668987038731239,0.0015939265682306243,2.929235970960794,NI,CONTIG,H4
3387,0.16622379687038677,0.8414526129317981,0.6752288160614113,0.31826157768484825,0.006587252783717736,0.002888147028495277,2.2807885882283805,NI,CROSS_GAP,H4
6482,0.07543967911138537,0.9197778463437211,0.8443381672323357,0.151193707844989,0.0025971852310421395,0.001791521934907958,1.4497088650916092,RB,FULL,H4
3092,0.06080206985769728,0.9382276843467011,0.8774256144890039,0.18840744080541275,0.002442263685498146,0.001522624398354856,1.6039830230862773,RB,CONTIG,H4
3390,0.0887905604719764,0.9029498525073746,0.8141592920353983,0.09422750653346577,0.002732778050937358,0.002113404119840387,1.293069330793085,RB,CROSS_GAP,H4
6482,0.0947238506633755,0.9134526380746684,0.8187287874112928,0.05980072165314988,0.0036983194772383285,0.003167901725084449,1.1674350400310287,I,FULL,H4
3092,0.07438551099611902,0.9291720569210866,0.8547865459249676,0.0864177128237809,0.0035273899061079063,0.0027570034232764456,1.2794289177617078,I,CONTIG,H4
3390,0.11327433628318584,0.8991150442477877,0.7858407079646018,0.019892029289816697,0.003853802667917341,0.003658906701273045,1.0532661755426795,I,CROSS_GAP,H4
10364,0.1296796603627943,0.8688730219992281,0.7391933616364338,0.37035950270296336,0.009365412180140616,0.0030052998738163373,3.116298730032477,SC,FULL,H4
6975,0.10881720430107526,0.8960573476702509,0.7872401433691756,0.33345464981308326,0.007104004123478195,0.002773823136592401,2.5610876301959737,SC,CONTIG,H4
3389,0.17261729123635292,0.8129241664207731,0.6403068751844202,0.40513222271112354,0.013536464310866428,0.0038341468456861575,3.5305023139884324,SC,CROSS_GAP,H4
6482,0.0939524838012959,0.8944770132675101,0.8005245294662141,0.07864333708010066,0.00383369485222319,0.0032140153728432057,1.192805387496264,RU,FULL,H4
3092,0.08117723156532988,0.9172056921086675,0.8360284605433377,0.09120419886186565,0.003517632027898442,0.002870112134138652,1.225607872966997,RU,CONTIG,H4
3390,0.1056047197640118,0.8737463126843658,0.768141592920354,0.062192415148990654,0.0041397899195934305,0.0035914967611187076,1.1526642497385786,RU,CROSS_GAP,H4
6482,0.12773835236038258,0.8639308855291576,0.7361925331687751,0.33200616455428156,0.00936516902552576,0.0032149738970943995,2.9129844674601335,MA,FULL,H4
3092,0.10219922380336352,0.8880983182406209,0.7858990944372575,0.33778150042067995,0.007507105737595586,0.002753425547450551,2.7264604065821056,MA,CONTIG,H4
3390,0.15103244837758112,0.8418879056047197,0.6908554572271386,0.3276609276818889,0.010998634042786554,0.003649424370651544,3.0137996915998375,MA,CROSS_GAP,H4
6482,0.11801912989817957,0.8734958346189448,0.7554767047207652,0.3333353040719156,0.008388927016444177,0.0031504417486151607,2.662778012045992,TA,FULL,H4
3092,0.09767141009055627,0.9023285899094438,0.8046571798188874,0.33029498319743295,0.006904254064422668,0.0026928631532571576,2.5639082535893496,TA,CONTIG,H4
3390,0.13657817109144543,0.8471976401179941,0.7106194690265487,0.3307476456399598,0.009745563039298915,0.0035826620884853583,2.72020157039679,TA,CROSS_GAP,H4
6482,0.08608454180808392,0.9026535020055538,0.8165689601974699,0.16285414058003822,0.0032846337498956203,0.0021516272747676844,1.526581201314372,M,FULL,H4
3092,0.08182406209573091,0.9149417852522639,0.833117723156533,0.13574708909989422,0.0029970954837800234,0.0020468286300435704,1.464263026121647,M,CONTIG,H4
3390,0.08997050147492626,0.8914454277286136,0.8014749262536873,0.1820791895954787,0.0035519191105847976,0.002354444030912069,1.5086020580446111,M,CROSS_GAP,H4
