instrument,h4_total,h4_cross_gap,h4_pct_cross_gap,h4_median_gap_min,h8_total,h8_cross_gap,h8_pct_cross_gap,h8_median_gap_min
AG,14813,4848,0.3272800918112469,135.0,14809,8869,0.5988925653318927,375.0
AU,14813,4848,0.3272800918112469,135.0,14809,8869,0.5988925653318927,375.0
CU,12437,4848,0.38980461526091503,135.0,12433,8869,0.7133435212740288,375.0
AL,12437,4848,0.38980461526091503,135.0,12433,8869,0.7133435212740288,375.0
SN,12437,4848,0.38980461526091503,135.0,12433,8869,0.7133435212740288,375.0
NI,12437,4848,0.38980461526091503,135.0,12433,8869,0.7133435212740288,375.0
RB,9269,4848,0.5230337684755637,135.0,9265,8869,0.9572584997301673,375.0
I,9269,4848,0.5230337684755637,135.0,9265,8869,0.9572584997301673,375.0
SC,14811,4850,0.3274593207750996,135.0,14807,8871,0.5991085297494428,375.0
RU,9269,4848,0.5230337684755637,135.0,9265,8869,0.9572584997301673,375.0
MA,9269,4848,0.5230337684755637,135.0,9265,8869,0.9572584997301673,375.0
TA,9269,4848,0.5230337684755637,135.0,9265,8869,0.9572584997301673,375.0
M,9269,4848,0.5230337684755637,135.0,9265,8869,0.9572584997301673,375.0
P,9269,4848,0.5230337684755637,135.0,9265,8869,0.9572584997301673,375.0
CF,9269,4848,0.5230337684755637,135.0,9265,8869,0.9572584997301673,375.0
LC,6101,3660,0.599901655466317,135.0,6097,6097,1.0,135.0
