ns,contract
1761111900000000000,SHFE.ag2512
1761112800000000000,SHFE.ag2512
1761113700000000000,SHFE.ag2512
1761114600000000000,SHFE.ag2512
1761115500000000000,SHFE.ag2512
1761138000000000000,SHFE.ag2512
1761138900000000000,SHFE.ag2512
1761139800000000000,SHFE.ag2512
1761140700000000000,SHFE.ag2512
1761141600000000000,SHFE.ag2512
1761142500000000000,SHFE.ag2512
1761143400000000000,SHFE.ag2512
1761144300000000000,SHFE.ag2512
1761145200000000000,SHFE.ag2512
1761146100000000000,SHFE.ag2512
1761147000000000000,SHFE.ag2512
1761147900000000000,SHFE.ag2512
1761148800000000000,SHFE.ag2512
1761149700000000000,SHFE.ag2512
1761150600000000000,SHFE.ag2512
1761151500000000000,SHFE.ag2512
1761152400000000000,SHFE.ag2512
1761153300000000000,SHFE.ag2512
1761154200000000000,SHFE.ag2512
1761155100000000000,SHFE.ag2512
1761156000000000000,SHFE.ag2512
1761156900000000000,SHFE.ag2512
1761181200000000000,SHFE.ag2512
1761182100000000000,SHFE.ag2512
1761183000000000000,SHFE.ag2512
1761183900000000000,SHFE.ag2512
1761184800000000000,SHFE.ag2512
1761186600000000000,SHFE.ag2512
1761187500000000000,SHFE.ag2512
1761188400000000000,SHFE.ag2512
1761189300000000000,SHFE.ag2512
1761197400000000000,SHFE.ag2512
1761198300000000000,SHFE.ag2512
1761199200000000000,SHFE.ag2512
1761200100000000000,SHFE.ag2512
1761201000000000000,SHFE.ag2512
1761201900000000000,SHFE.ag2512
1761224400000000000,SHFE.ag2512
1761225300000000000,SHFE.ag2512
1761226200000000000,SHFE.ag2512
1761227100000000000,SHFE.ag2512
1761228000000000000,SHFE.ag2512
1761228900000000000,SHFE.ag2512
1761229800000000000,SHFE.ag2512
1761230700000000000,SHFE.ag2512
1761231600000000000,SHFE.ag2512
1761232500000000000,SHFE.ag2512
1761233400000000000,SHFE.ag2512
1761234300000000000,SHFE.ag2512
1761235200000000000,SHFE.ag2512
1761236100000000000,SHFE.ag2512
1761237000000000000,SHFE.ag2512
1761237900000000000,SHFE.ag2512
1761238800000000000,SHFE.ag2512
1761239700000000000,SHFE.ag2512
1761240600000000000,SHFE.ag2512
1761241500000000000,SHFE.ag2512
1761242400000000000,SHFE.ag2512
1761243300000000000,SHFE.ag2512
1761267600000000000,SHFE.ag2512
1761268500000000000,SHFE.ag2512
1761269400000000000,SHFE.ag2512
1761270300000000000,SHFE.ag2512
1761271200000000000,SHFE.ag2512
1761273000000000000,SHFE.ag2512
1761273900000000000,SHFE.ag2512
1761274800000000000,SHFE.ag2512
1761275700000000000,SHFE.ag2512
1761283800000000000,SHFE.ag2512
1761284700000000000,SHFE.ag2512
1761285600000000000,SHFE.ag2512
1761286500000000000,SHFE.ag2512
1761287400000000000,SHFE.ag2512
1761288300000000000,SHFE.ag2512
1761310800000000000,SHFE.ag2512
1761311700000000000,SHFE.ag2512
1761312600000000000,SHFE.ag2512
1761313500000000000,SHFE.ag2512
1761314400000000000,SHFE.ag2512
1761315300000000000,SHFE.ag2512
1761316200000000000,SHFE.ag2512
1761317100000000000,SHFE.ag2512
1761318000000000000,SHFE.ag2512
1761318900000000000,SHFE.ag2512
1761319800000000000,SHFE.ag2512
1761320700000000000,SHFE.ag2512
1761321600000000000,SHFE.ag2512
1761322500000000000,SHFE.ag2512
1761323400000000000,SHFE.ag2512
1761324300000000000,SHFE.ag2512
1761325200000000000,SHFE.ag2512
1761326100000000000,SHFE.ag2512
1761327000000000000,SHFE.ag2512
1761327900000000000,SHFE.ag2512
1761328800000000000,SHFE.ag2512
1761329700000000000,SHFE.ag2512
1761526800000000000,SHFE.ag2512
1761527700000000000,SHFE.ag2512
1761528600000000000,SHFE.ag2512
1761529500000000000,SHFE.ag2512
1761530400000000000,SHFE.ag2512
1761532200000000000,SHFE.ag2512
1761533100000000000,SHFE.ag2512
1761534000000000000,SHFE.ag2512
1761534900000000000,SHFE.ag2512
1761543000000000000,SHFE.ag2512
1761543900000000000,SHFE.ag2512
1761544800000000000,SHFE.ag2512
1761545700000000000,SHFE.ag2512
1761546600000000000,SHFE.ag2512
1761547500000000000,SHFE.ag2512
1761570000000000000,SHFE.ag2512
1761570900000000000,SHFE.ag2512
1761571800000000000,SHFE.ag2512
1761572700000000000,SHFE.ag2512
1761573600000000000,SHFE.ag2512
1761574500000000000,SHFE.ag2512
1761575400000000000,SHFE.ag2512
1761576300000000000,SHFE.ag2512
1761577200000000000,SHFE.ag2512
1761578100000000000,SHFE.ag2512
1761579000000000000,SHFE.ag2512
1761579900000000000,SHFE.ag2512
1761580800000000000,SHFE.ag2512
1761581700000000000,SHFE.ag2512
1761582600000000000,SHFE.ag2512
1761583500000000000,SHFE.ag2512
1761584400000000000,SHFE.ag2512
1761585300000000000,SHFE.ag2512
1761586200000000000,SHFE.ag2512
1761587100000000000,SHFE.ag2512
1761588000000000000,SHFE.ag2512
1761588900000000000,SHFE.ag2512
1761613200000000000,SHFE.ag2512
1761614100000000000,SHFE.ag2512
1761615000000000000,SHFE.ag2512
1761615900000000000,SHFE.ag2512
1761616800000000000,SHFE.ag2512
1761618600000000000,SHFE.ag2512
1761619500000000000,SHFE.ag2512
1761620400000000000,SHFE.ag2512
1761621300000000000,SHFE.ag2512
1761629400000000000,SHFE.ag2512
1761630300000000000,SHFE.ag2512
1761631200000000000,SHFE.ag2512
1761632100000000000,SHFE.ag2512
1761633000000000000,SHFE.ag2512
1761633900000000000,SHFE.ag2512
1761656400000000000,SHFE.ag2512
1761657300000000000,SHFE.ag2512
1761658200000000000,SHFE.ag2512
1761659100000000000,SHFE.ag2512
1761660000000000000,SHFE.ag2512
1761660900000000000,SHFE.ag2512
1761661800000000000,SHFE.ag2512
1761662700000000000,SHFE.ag2512
1761663600000000000,SHFE.ag2512
1761664500000000000,SHFE.ag2512
1761665400000000000,SHFE.ag2512
1761666300000000000,SHFE.ag2512
1761667200000000000,SHFE.ag2512
1761668100000000000,SHFE.ag2512
1761669000000000000,SHFE.ag2512
1761669900000000000,SHFE.ag2512
1761670800000000000,SHFE.ag2512
1761671700000000000,SHFE.ag2512
1761672600000000000,SHFE.ag2512
1761673500000000000,SHFE.ag2512
1761674400000000000,SHFE.ag2512
1761675300000000000,SHFE.ag2512
1761699600000000000,SHFE.ag2512
1761700500000000000,SHFE.ag2512
1761701400000000000,SHFE.ag2512
1761702300000000000,SHFE.ag2512
1761703200000000000,SHFE.ag2512
1761705000000000000,SHFE.ag2512
1761705900000000000,SHFE.ag2512
1761706800000000000,SHFE.ag2512
1761707700000000000,SHFE.ag2512
1761715800000000000,SHFE.ag2512
1761716700000000000,SHFE.ag2512
1761717600000000000,SHFE.ag2512
1761718500000000000,SHFE.ag2512
1761719400000000000,SHFE.ag2512
1761720300000000000,SHFE.ag2512
1761742800000000000,SHFE.ag2512
1761743700000000000,SHFE.ag2512
1761744600000000000,SHFE.ag2512
1761745500000000000,SHFE.ag2512
1761746400000000000,SHFE.ag2512
1761747300000000000,SHFE.ag2512
1761748200000000000,SHFE.ag2512
1761749100000000000,SHFE.ag2512
1761750000000000000,SHFE.ag2512
1761750900000000000,SHFE.ag2512
1761751800000000000,SHFE.ag2512
1761752700000000000,SHFE.ag2512
1761753600000000000,SHFE.ag2512
