switch_at,from_contract,to_contract,ref_bar,old_close,new_close,spread_pct,ratio,cum_factor
2025-11-14 21:00:00,SHFE.ag2512,SHFE.ag2602,2025-11-14 14:45:00,12351.0,12375.0,0.19431624969639127,1.001943162496964,0.9808593563543294
2025-11-19 02:15:00,SHFE.ag2602,SHFE.ag2603,2025-11-19 02:00:00,11956.0,11960.0,0.033456005352960894,1.0003345600535296,0.9789570836632179
2025-11-19 09:00:00,SHFE.ag2603,SHFE.ag2602,2025-11-19 02:15:00,11949.0,11949.0,0.0,1.0,0.9786296732673438
2025-11-20 13:45:00,SHFE.ag2602,SHFE.ag2603,2025-11-20 13:30:00,12090.0,12096.0,0.04962779156327812,1.0004962779156328,0.9786296732673438
2025-11-20 14:00:00,SHFE.ag2603,SHFE.ag2602,2025-11-20 13:45:00,12074.0,12074.0,0.0,1.0,0.9781442418817945
2025-11-20 14:30:00,SHFE.ag2602,SHFE.ag2603,2025-11-20 14:15:00,12069.0,12072.0,0.024857071836947853,1.0002485707183695,0.9781442418817945
2025-11-20 14:45:00,SHFE.ag2603,SHFE.ag2602,2025-11-20 14:30:00,12065.0,12065.0,0.0,1.0,0.9779011642868933
2025-11-20 21:00:00,SHFE.ag2602,SHFE.ag2606,2025-11-20 14:45:00,12050.0,12052.0,0.016597510373439484,1.0001659751037344,0.9779011642868933
2025-11-20 21:15:00,SHFE.ag2606,SHFE.ag2608,2025-11-20 21:00:00,12090.0,12100.0,0.08271298593878207,1.0008271298593878,0.9777388839742006
2025-11-20 21:30:00,SHFE.ag2608,SHFE.ag2602,2025-11-20 21:15:00,12025.0,12025.0,0.0,1.0,0.9769308353097592
2025-11-21 14:00:00,SHFE.ag2602,SHFE.ag2603,2025-11-21 13:45:00,11708.0,11703.0,-0.042705842159207474,0.9995729415784079,0.9769308353097592
2025-11-21 14:30:00,SHFE.ag2603,SHFE.ag2602,2025-11-21 14:15:00,11687.0,11687.0,0.0,1.0,0.9773482200979801
2025-11-21 21:00:00,SHFE.ag2602,SHFE.ag2603,2025-11-21 14:45:00,11680.0,11678.0,-0.01712328767122795,0.9998287671232877,0.9773482200979801
2025-11-21 21:15:00,SHFE.ag2603,SHFE.ag2602,2025-11-21 21:00:00,11703.0,11703.0,0.0,1.0,0.9775156029066969
2025-11-21 22:30:00,SHFE.ag2602,SHFE.ag2603,2025-11-21 22:15:00,11727.0,11726.0,-0.008527330092944485,0.9999147266990706,0.9775156029066969
2025-11-21 22:45:00,SHFE.ag2603,SHFE.ag2602,2025-11-21 22:30:00,11719.0,11719.0,0.0,1.0,0.9775989659975127
2025-11-22 02:00:00,SHFE.ag2602,SHFE.ag2603,2025-11-22 01:45:00,11907.0,11901.0,-0.05039052658100118,0.99949609473419,0.9775989659975127
2025-11-22 02:15:00,SHFE.ag2603,SHFE.ag2602,2025-11-22 02:00:00,11892.0,11892.0,0.0,1.0,0.9780918316219128
2025-11-24 09:45:00,SHFE.ag2602,SHFE.ag2611,2025-11-24 09:30:00,11810.0,11804.0,-0.05080440304826572,0.9994919559695173,0.9780918316219128
2025-11-24 10:00:00,SHFE.ag2611,SHFE.ag2602,2025-11-24 09:45:00,11791.0,11791.0,0.0,1.0,0.9785889979206024
2025-11-24 14:45:00,SHFE.ag2602,SHFE.ag2603,2025-11-24 14:30:00,11832.0,11828.0,-0.033806626098720205,0.9996619337390128,0.9785889979206024
2025-11-24 21:00:00,SHFE.ag2603,SHFE.ag2602,2025-11-24 14:45:00,11808.0,11808.0,0.0,1.0,0.9789199377237545
2025-11-24 23:15:00,SHFE.ag2602,SHFE.ag2603,2025-11-24 23:00:00,11922.0,11920.0,-0.016775708773697495,0.999832242912263,0.9789199377237545
2025-11-24 23:30:00,SHFE.ag2603,SHFE.ag2602,2025-11-24 23:15:00,11915.0,11915.0,0.0,1.0,0.9790841860354531
2025-11-24 23:45:00,SHFE.ag2602,SHFE.ag2603,2025-11-24 23:30:00,11929.0,11923.0,-0.050297594098414056,0.9994970240590159,0.9790841860354531
2025-11-25 00:15:00,SHFE.ag2603,SHFE.ag2602,2025-11-25 00:00:00,11943.0,11943.0,0.0,1.0,0.9795768896432877
2025-11-25 00:45:00,SHFE.ag2602,SHFE.ag2603,2025-11-25 00:30:00,11948.0,11950.0,0.016739203213922416,1.0001673920321392,0.9795768896432877
2025-11-25 01:00:00,SHFE.ag2603,SHFE.ag2602,2025-11-25 00:45:00,11952.0,11952.0,0.0,1.0,0.9794129437203349
