risk_ATR,n_total,n_primary_eligible,n_NO_TARGET_ENVIRONMENT,P_DELIVERY,P_NO_DELIVERY,P_UNRESOLVED,base_delivery_rate,P_NO_TARGET_ENV_overall
0.25,96900,93360,3540,0.30469151670951156,0.5307626392459297,0.1645458440445587,0.30469151670951156,0.03653250773993808
0.5,96900,93360,3540,0.5279562982005142,0.41404241645244216,0.0580012853470437,0.5279562982005142,0.03653250773993808
0.75,96900,93360,3540,0.6635282776349615,0.3156062553556127,0.02086546700942588,0.6635282776349615,0.03653250773993808
1.0,96900,93360,3540,0.7443551842330762,0.2464974293059126,0.00914738646101114,0.7443551842330762,0.03653250773993808
1.5,96900,93360,3540,0.8463688946015424,0.15,0.0036311053984575837,0.8463688946015424,0.03653250773993808
2.0,96900,93360,3540,0.9010497000856899,0.09660454155955442,0.002345758354755784,0.9010497000856899,0.03653250773993808
3.0,96900,93360,3540,0.9549057412167952,0.04394815766923736,0.001146101113967438,0.9549057412167952,0.03653250773993808
