risk_ATR,wf,model,n_train,n_test,base_delivery_rate,roc_auc,pr_auc,brier,logloss,top20_delivery_rate,bottom20_delivery_rate,bottom20_avoidance_gain
0.25,WF1,M0,20763,25444,0.30469151670951156,0.5558904197946919,0.36300311495599424,0.2154726103247184,0.6226518719478786,0.374926311652584,0.2692080958931028,0.03548342081640876
0.25,WF1,M_contact,20763,25444,0.30469151670951156,0.5580381188124464,0.368325343464063,0.21846982112928331,0.6320095509000431,0.3932010218117508,0.2723521320495186,0.032339384659992976
0.25,WF1,M_liquidity,20763,25444,0.30469151670951156,0.606891758909164,0.40298009195842677,0.2331801736104937,0.6793233627753082,0.43996855963843584,0.20180782078993909,0.10288369591957247
0.25,WF1,M_trend,20763,25444,0.30469151670951156,0.553367771578808,0.36644196180998484,0.21642143000441819,0.6254174235946074,0.3737472980939281,0.281391235999214,0.02330028071029755
0.25,WF1,M_ob,20763,25444,0.30469151670951156,0.554069893384569,0.36308515291879684,0.21614536011201133,0.624577400093917,0.37924936136765575,0.2772646885439183,0.027426828165593276
0.25,WF1,M_full,20763,25444,0.30469151670951156,0.6067519538741849,0.4086914515156089,0.23600250806625997,0.6859599217990002,0.437414030261348,0.2014148162703871,0.10327670043912446
0.25,WF1,M_full_minus_contact,20763,25444,0.30469151670951156,0.6107910950029225,0.4084620812878138,0.23001536759810395,0.6713046304495578,0.4346629986244842,0.1984672823737473,0.10622423433576425
0.25,WF1,M_full_minus_liquidity,20763,25444,0.30469151670951156,0.5590760752301496,0.3710199036829256,0.2195644710743182,0.6364071427464434,0.3932010218117508,0.2692080958931028,0.03548342081640876
0.25,WF1,M_full_minus_trend,20763,25444,0.30469151670951156,0.6028497994182329,0.40257418204602635,0.2388577867149864,0.6944754692232858,0.43368048732560427,0.20986441344075457,0.09482710326875698
0.25,WF1,M_full_minus_ob,20763,25444,0.30469151670951156,0.606495618481378,0.40912401921438557,0.23588944957723332,0.6851231265238475,0.4356455099233641,0.20082530949105915,0.10386620721845241
0.25,WF2,M0,46207,23468,0.30469151670951156,0.5398252374945199,0.3291809844257763,0.21222080880140964,0.6155129622897193,0.3393694077545803,0.2588410737111206,0.04585044299839097
0.25,WF2,M_contact,46207,23468,0.30469151670951156,0.557969765460015,0.364065529842598,0.2124294179493336,0.6172470768844672,0.37430762675756285,0.25734980826587134,0.04734170844364022
0.25,WF2,M_liquidity,46207,23468,0.30469151670951156,0.6317102411082957,0.40936500942337245,0.2079670391041284,0.6234295671160183,0.44226672347677887,0.19684703877290158,0.10784447793660998
0.25,WF2,M_trend,46207,23468,0.30469151670951156,0.5408820711109137,0.332152590296964,0.21228185128376645,0.6156444878421327,0.33212611844908396,0.26310183212611843,0.04158968458339313
0.25,WF2,M_ob,46207,23468,0.30469151670951156,0.5332019154818836,0.32608933360653025,0.2143726099650708,0.6201159897068966,0.334043459735833,0.2648061354921176,0.039885381217393934
0.25,WF2,M_full,46207,23468,0.30469151670951156,0.6233607236708595,0.41057967414606444,0.21153902251826376,0.6379630434201506,0.4446101406050277,0.2023860247123988,0.10230549199711275
0.25,WF2,M_full_minus_contact,46207,23468,0.30469151670951156,0.6296910794044387,0.40977133070138927,0.20866511259816856,0.6274469015091658,0.4512143161482744,0.20025564550489988,0.10443587120461167
0.25,WF2,M_full_minus_liquidity,46207,23468,0.30469151670951156,0.5577860042311901,0.36719220589933677,0.2134222427852323,0.6195272935943191,0.37473370259906263,0.25990626331487005,0.04478525339464151
0.25,WF2,M_full_minus_trend,46207,23468,0.30469151670951156,0.6235173923393462,0.40869093470857687,0.21160671219659863,0.6373072530842886,0.4446101406050277,0.20110779718789945,0.1035837195216121
0.25,WF2,M_full_minus_ob,46207,23468,0.30469151670951156,0.6236324152329039,0.41043481645716995,0.21135171223185042,0.6353010279509724,0.44503621644652747,0.2021729867916489,0.10251852991786264
0.25,WF3,M0,69675,23685,0.30469151670951156,0.5324933229638066,0.3156304692563875,0.20928316241582912,0.6091655321367984,0.3270002111040743,0.2602913236225459,0.044400193086965634
0.25,WF3,M_contact,69675,23685,0.30469151670951156,0.5542337691865687,0.3323714378992193,0.2109526226033585,0.6131329557363144,0.35127717964956723,0.24276968545492927,0.06192183125458228
0.25,WF3,M_liquidity,69675,23685,0.30469151670951156,0.6366266583283289,0.4178090814579922,0.203123072788599,0.5958233704445169,0.4530293434663289,0.17901625501372176,0.1256752616957898
0.25,WF3,M_trend,69675,23685,0.30469151670951156,0.5366602428893729,0.31570535342440564,0.20939603413804658,0.6093410809960332,0.3356554781507283,0.2609246358454718,0.04376688086403974
0.25,WF3,M_ob,69675,23685,0.30469151670951156,0.5289900252301307,0.3148589557152839,0.2093572129386358,0.6094333895180272,0.32214481739497575,0.2567025543592991,0.04798896235021244
0.25,WF3,M_full,69675,23685,0.30469151670951156,0.6285015384977041,0.41096293785689497,0.20637051464876138,0.6047136479253673,0.4511294067975512,0.18492716909436352,0.11976434761514804
0.25,WF3,M_full_minus_contact,69675,23685,0.30469151670951156,0.6347056494137918,0.41851200697377,0.20356825722242125,0.5965945766298322,0.4538737597635634,0.1792273590880304,0.12546415762148116
0.25,WF3,M_full_minus_liquidity,69675,23685,0.30469151670951156,0.5520534510221967,0.3315530401238566,0.21115637798213044,0.6138463945458127,0.3552881570614313,0.2440363099007811,0.06065520680873046
0.25,WF3,M_full_minus_trend,69675,23685,0.30469151670951156,0.628861309717361,0.41101491493311104,0.20585720827077159,0.6040714130905457,0.4559848005066498,0.1861937935402153,0.11849772316929624
0.25,WF3,M_full_minus_ob,69675,23685,0.30469151670951156,0.6303911413184319,0.411180337220002,0.20623651994128817,0.6039884300573066,0.45197382309478573,0.1834494405742031,0.12124207613530846
0.5,WF1,M0,20763,25444,0.5279562982005142,0.5772189723017649,0.6018595812106327,0.24463937557424859,0.6823995723185674,0.6185891137748084,0.44330909805462765,0.0846472001458865
0.5,WF1,M_contact,20763,25444,0.5279562982005142,0.5896335048967389,0.623823449051069,0.24650348683169127,0.6876062445107832,0.655924543132246,0.4431125957948516,0.08484370240566252
0.5,WF1,M_liquidity,20763,25444,0.5279562982005142,0.6918121961173913,0.7159976089497025,0.22621356953868277,0.6541411866225079,0.7698958538023187,0.30713303202986836,0.2208232661706458
