risk_ATR,wf,model,dROC_vs_M0,dBottom20gain_vs_M0
0.25,WF1,M_contact,0.0021476990177544675,-0.003144036156415786
0.25,WF1,M_liquidity,0.05100133911447213,0.06740027510316371
0.25,WF1,M_trend,-0.0025226482158838825,-0.012183140106111212
0.25,WF1,M_ob,-0.001820526410122869,-0.008056592650815486
0.25,WF1,M_full,0.05086153407949301,0.0677932796227157
0.25,WF1,M_full_minus_contact,0.05490067520823061,0.07074081351935549
0.25,WF1,M_full_minus_liquidity,0.0031856554354576794,0.0
0.25,WF1,M_full_minus_trend,0.04695937962354102,0.05934368245234822
0.25,WF1,M_full_minus_ob,0.050605198686686115,0.06838278640204365
0.25,WF2,M_contact,0.01814452796549504,0.0014912654452492458
0.25,WF2,M_liquidity,0.09188500361377572,0.061994034938219006
0.25,WF2,M_trend,0.0010568336163937486,-0.004260758414997845
0.25,WF2,M_ob,-0.006623322012636379,-0.0059650617809970385
0.25,WF2,M_full,0.08353548617633955,0.05645504899872178
0.25,WF2,M_full_minus_contact,0.08986584190991875,0.0585854282062207
0.25,WF2,M_full_minus_liquidity,0.01796076673667013,-0.0010651896037494613
0.25,WF2,M_full_minus_trend,0.08369215484482628,0.05773327652322113
0.25,WF2,M_full_minus_ob,0.08380717773838398,0.05666808691947167
0.25,WF3,M_contact,0.021740446222762166,0.01752163816761665
0.25,WF3,M_liquidity,0.1041333353645223,0.08127506860882416
0.25,WF3,M_trend,0.0041669199255662814,-0.000633312222925897
0.25,WF3,M_ob,-0.0035032977336758586,0.003588769263246805
0.25,WF3,M_full,0.09600821553389749,0.0753641545281824
0.25,WF3,M_full_minus_contact,0.10221232644998524,0.08106396453451553
0.25,WF3,M_full_minus_liquidity,0.019560128058390136,0.016255013721764827
0.25,WF3,M_full_minus_trend,0.0963679867535544,0.07409753008233061
0.25,WF3,M_full_minus_ob,0.0978978183546253,0.07684188304834283
0.5,WF1,M_contact,0.012414532594974048,0.00019650225977602132
0.5,WF1,M_liquidity,0.11459322381562642,0.1361760660247593
0.5,WF1,M_trend,-0.00102747391711977,0.008056592650815486
0.5,WF1,M_ob,-0.008898836606678007,-0.012379642365887178
0.5,WF1,M_full,0.10898482373691931,0.1131853016309688
0.5,WF1,M_full_minus_contact,0.11287545131927712,0.12517193947730398
0.5,WF1,M_full_minus_liquidity,0.010276422491733439,-0.012379642365887178
0.5,WF1,M_full_minus_trend,0.10755757366152996,0.11731184908626452
0.5,WF1,M_full_minus_ob,0.11008721788693399,0.11200628807231283
0.5,WF2,M_contact,0.032053542186689654,0.0014912654452493013
0.5,WF2,M_liquidity,0.14312127710310873,0.12995313165743505
0.5,WF2,M_trend,-0.00679752411641199,-0.02151682999573923
0.5,WF2,M_ob,-0.0041305542556043795,-0.011930123561994022
0.5,WF2,M_full,0.1358555084816464,0.13527907967618236
0.5,WF2,M_full_minus_contact,0.1394823358982824,0.1316574350234342
0.5,WF2,M_full_minus_liquidity,0.026094155350539383,-0.009373668512995315
0.5,WF2,M_full_minus_trend,0.138371558304609,0.13655730720068177
0.5,WF2,M_full_minus_ob,0.1362951501779227,0.134000852151683
0.5,WF3,M_contact,0.01882076009014333,0.02807684188304832
0.5,WF3,M_liquidity,0.13569053477839665,0.15706143128562383
0.5,WF3,M_trend,0.0006250752116371272,0.00021110407430863232
0.5,WF3,M_ob,0.007356410495384491,0.010977411864048991
0.5,WF3,M_full,0.12555697319448333,0.14946168461051296
0.5,WF3,M_full_minus_contact,0.1344277505855349,0.16022799240025332
0.5,WF3,M_full_minus_liquidity,0.020387726032171538,0.031032298923369228
0.5,WF3,M_full_minus_trend,0.12644122279749082,0.147139539793118
0.5,WF3,M_full_minus_ob,0.1273960686765716,0.14819506016466116
0.75,WF1,M_contact,0.01876358344251494,-0.0049125564943997
0.75,WF1,M_liquidity,0.13334602855416655,0.1314600117901356
0.75,WF1,M_trend,0.002656393689405956,0.0025545293770878885
0.75,WF1,M_ob,-0.005953629408439132,0.0007860090391039742
0.75,WF1,M_full,0.12825001093045119,0.13067400275103164
0.75,WF1,M_full_minus_contact,0.13144657885221023,0.1232069168795441
0.75,WF1,M_full_minus_liquidity,0.01704845967826274,-0.016506189821182904
0.75,WF1,M_full_minus_trend,0.1280175004702786,0.1334250343878955
0.75,WF1,M_full_minus_ob,0.1302671238286408,0.13322853212811947
0.75,WF2,M_contact,0.023742659711440628,-0.012782275244993646
0.75,WF2,M_liquidity,0.1453573364153713,0.13613123135918187
0.75,WF2,M_trend,-0.006857744759489415,-0.01874733702599063
0.75,WF2,M_ob,-0.0072865556619838845,-0.017682147422241168
0.75,WF2,M_full,0.14096349785236373,0.1297400937366851
0.75,WF2,M_full_minus_contact,0.14407482141546857,0.13165743502343413
0.75,WF2,M_full_minus_liquidity,0.018074416774555457,-0.023221133361738477
0.75,WF2,M_full_minus_trend,0.1415895782826575,0.12888794205368553
0.75,WF2,M_full_minus_ob,0.14079749713527756,0.12803579037068596
0.75,WF3,M_contact,0.018591464687475745,0.0278657378087398
0.75,WF3,M_liquidity,0.14173533215042333,0.17247202871015416
