risk_ATR,outcome_path,n,share_within_cohort,cohort
0.25,LONG_ONLY_DELIVERY,5,0.00011218559985640244,conditional_NO_DIRECTION
0.25,NO_DELIVERY,37858,0.8494244878727366,conditional_NO_DIRECTION
0.25,SHORT_ONLY_DELIVERY,1,2.2437119971280488e-05,conditional_NO_DIRECTION
0.25,UNRESOLVED,6705,0.15044088940743566,conditional_NO_DIRECTION
0.5,LONG_ONLY_DELIVERY,5630,0.12632098543830914,conditional_NO_DIRECTION
0.5,NO_DELIVERY,30461,0.6834571114451748,conditional_NO_DIRECTION
0.5,SHORT_ONLY_DELIVERY,5788,0.12986605039377144,conditional_NO_DIRECTION
0.5,UNRESOLVED,2690,0.06035585272274451,conditional_NO_DIRECTION
0.75,LONG_ONLY_DELIVERY,9427,0.21151472996926116,conditional_NO_DIRECTION
0.75,NO_DELIVERY,24410,0.5476900984989567,conditional_NO_DIRECTION
0.75,SHORT_ONLY_DELIVERY,9603,0.2154636630842065,conditional_NO_DIRECTION
0.75,UNRESOLVED,1129,0.02533150844757567,conditional_NO_DIRECTION
1.0,LONG_ONLY_DELIVERY,11851,0.26590230877964505,conditional_NO_DIRECTION
1.0,NO_DELIVERY,20080,0.45053736902331215,conditional_NO_DIRECTION
1.0,SHORT_ONLY_DELIVERY,12086,0.27117503197289594,conditional_NO_DIRECTION
1.0,UNRESOLVED,552,0.012385290224146828,conditional_NO_DIRECTION
1.5,LONG_ONLY_DELIVERY,15732,0.3529807713881846,conditional_NO_DIRECTION
1.5,NO_DELIVERY,12893,0.2892817877897193,conditional_NO_DIRECTION
1.5,SHORT_ONLY_DELIVERY,15707,0.3524198433889026,conditional_NO_DIRECTION
1.5,UNRESOLVED,237,0.005317597433193475,conditional_NO_DIRECTION
2.0,LONG_ONLY_DELIVERY,18084,0.4057528775606363,conditional_NO_DIRECTION
2.0,NO_DELIVERY,8689,0.19495613543045615,conditional_NO_DIRECTION
2.0,SHORT_ONLY_DELIVERY,17628,0.3955215508537324,conditional_NO_DIRECTION
2.0,UNRESOLVED,168,0.0037694361551751216,conditional_NO_DIRECTION
3.0,LONG_ONLY_DELIVERY,20407,0.45787430725392086,conditional_NO_DIRECTION
3.0,NO_DELIVERY,4103,0.09205950324216383,conditional_NO_DIRECTION
3.0,SHORT_ONLY_DELIVERY,19984,0.44838340550606925,conditional_NO_DIRECTION
3.0,UNRESOLVED,75,0.0016827839978460365,conditional_NO_DIRECTION
0.25,LONG_ONLY_DELIVERY,9415,0.1387272164675026,unconditional
0.25,NO_DELIVERY,39579,0.5831847584245657,unconditional
0.25,NO_TARGET_ENVIRONMENT,3540,0.052160844003713146,unconditional
0.25,SHORT_ONLY_DELIVERY,8352,0.12306422856469271,unconditional
0.25,UNRESOLVED,6981,0.10286295253952583,unconditional
0.5,LONG_ONLY_DELIVERY,15744,0.23198314350125981,unconditional
0.5,NO_DELIVERY,31501,0.4641578381245672,unconditional
0.5,NO_TARGET_ENVIRONMENT,3540,0.052160844003713146,unconditional
0.5,SHORT_ONLY_DELIVERY,14288,0.210529417831936,unconditional
0.5,UNRESOLVED,2794,0.04116875653852388,unconditional
0.75,LONG_ONLY_DELIVERY,20052,0.29546023840747343,unconditional
0.75,NO_DELIVERY,24884,0.3666583170023723,unconditional
0.75,NO_TARGET_ENVIRONMENT,3540,0.052160844003713146,unconditional
0.75,SHORT_ONLY_DELIVERY,18225,0.2685399384089469,unconditional
0.75,UNRESOLVED,1166,0.017180662177494217,unconditional
1.0,LONG_ONLY_DELIVERY,22893,0.33732152592570763,unconditional
1.0,NO_DELIVERY,20080,0.2958728100549604,unconditional
1.0,NO_TARGET_ENVIRONMENT,3540,0.052160844003713146,unconditional
1.0,SHORT_ONLY_DELIVERY,20770,0.3060397542251757,unconditional
1.0,UNRESOLVED,584,0.008605065790443072,unconditional
1.5,LONG_ONLY_DELIVERY,26774,0.39450690320774456,unconditional
1.5,NO_DELIVERY,12893,0.189974508966066,unconditional
1.5,NO_TARGET_ENVIRONMENT,3540,0.052160844003713146,unconditional
1.5,SHORT_ONLY_DELIVERY,24391,0.35939410906626196,unconditional
1.5,UNRESOLVED,269,0.003963634756214361,unconditional
2.0,LONG_ONLY_DELIVERY,29126,0.42916292159665226,unconditional
2.0,NO_DELIVERY,8689,0.12802982303623264,unconditional
2.0,NO_TARGET_ENVIRONMENT,3540,0.052160844003713146,unconditional
2.0,SHORT_ONLY_DELIVERY,26312,0.3876994710242091,unconditional
2.0,UNRESOLVED,200,0.002946940339192833,unconditional
3.0,LONG_ONLY_DELIVERY,31449,0.46339163363637703,unconditional
3.0,NO_DELIVERY,4103,0.06045648105854097,unconditional
3.0,NO_TARGET_ENVIRONMENT,3540,0.052160844003713146,unconditional
3.0,SHORT_ONLY_DELIVERY,28668,0.42241442821990066,unconditional
3.0,UNRESOLVED,107,0.0015766130814681657,unconditional
