wf,model,roc_auc,pr_auc,brier,logloss,top20_delivery_rate,bottom20_delivery_rate,bottom20_avoidance_gain
WF1,M0,0.6240923262048822,0.769000428929265,0.15373479301605508,0.46805113586514663,0.7842685905173623,0.6314740476658339,0.07464818271732196
WF1,M_contact,0.6326601787877415,0.7781030356426131,0.15494702362909202,0.4704699569099989,0.8054066193189794,0.6383516267579934,0.0677706036251624
WF1,M_full,0.7464547532379046,0.8294297603243488,0.14858036854652143,0.4554796011708833,0.8667714678718805,0.5349914381158241,0.17113079226733177
WF1,M_full_minus_contact,0.7500948705200505,0.8303076010678504,0.1461639600339066,0.44673477445726945,0.8674171181540017,0.533952783314151,0.17216944706900486
WF1,M_full_minus_liquidity,0.6317242499863325,0.778157286388729,0.15608357323209784,0.47323392923550606,0.8044802515228925,0.6420290261909439,0.0640932041922118
WF1,M_full_minus_ob,0.7469507726635884,0.8297772538150497,0.14832507750520804,0.45464586044977734,0.8659854588327766,0.5347668641046515,0.17135536627850434
WF1,M_full_minus_trend,0.7460569867050548,0.8280702489436299,0.14889898363756088,0.45624604591763296,0.8640485079864133,0.5340931420711338,0.172029088312022
WF1,M_liquidity,0.7501951391802543,0.8294534173578131,0.14608949191529536,0.4465443819178959,0.8666591808662943,0.5297420206046655,0.1763802097784903
WF1,M_ob,0.6176502763543852,0.7655680527935866,0.1548901734794172,0.4708332128641543,0.7829772899531202,0.6373129719563203,0.06880925842683548
WF1,M_trend,0.622530184336424,0.7705381316358241,0.1543267061131089,0.4697430214264556,0.7870196221542262,0.6341689357999046,0.07195329458325128
WF2,M0,0.6084135435209111,0.7484920468425632,0.16146077250475793,0.4889413208547629,0.7645626635826891,0.6102319069937305,0.09589032338942524
WF2,M_contact,0.6346247244963183,0.76921163477713,0.1605782628951331,0.48642600318434775,0.7955444640574594,0.6135492117596932,0.09257301862346261
WF2,M_full,0.7502219787523258,0.824230644160383,0.15048718879456033,0.4613664241643442,0.8659078458822813,0.5041390224602836,0.2019832079228722
WF2,M_full_minus_contact,0.7534700185229786,0.8256657472255384,0.1491872473539942,0.4562808397546168,0.8704425101953862,0.5047477022338548,0.20137452814930107
WF2,M_full_minus_liquidity,0.6278935223564,0.766547632219095,0.16170667531429597,0.49064587209033644,0.7912228376651045,0.6201533873029399,0.0859688430802159
WF2,M_full_minus_ob,0.7507885762046195,0.8244038728948074,0.1498463929739222,0.45931236950023707,0.86593827987096,0.5046868342564977,0.20143539612665817
WF2,M_full_minus_trend,0.7511586554749539,0.8247327905004921,0.15010597184915855,0.46019402390438885,0.8677034512143161,0.505417249984783,0.20070498039837284
WF2,M_liquidity,0.7556819646365186,0.8267953429856096,0.1480398455061053,0.4525750167408224,0.870868586036886,0.5029825308904985,0.2031396994926573
WF2,M_ob,0.5992003828139192,0.7437076835278972,0.16260150891672967,0.49260394134559965,0.7572585062998357,0.6219185586462962,0.08420367173685965
WF2,M_trend,0.6040732167921175,0.7461616216943762,0.16167154052532692,0.4895388290162566,0.7576237141639783,0.6201229533142614,0.08599927706889446
WF3,M0,0.6171977603298939,0.7487593050494195,0.1619817359386985,0.4895817875750638,0.771736180222564,0.6201634548689646,0.08595877551419115
WF3,M_contact,0.6412958531162014,0.7622319719105276,0.16125637765718687,0.4868389710888782,0.7932687958020448,0.5979673693416568,0.10815486104149898
WF3,M_full,0.7540451457434401,0.8258979982227809,0.14829694966935175,0.4493282540257481,0.8690551584788444,0.4931692753098706,0.21295295507328518
WF3,M_full_minus_contact,0.7584226293861434,0.8290884852836325,0.14642415662202726,0.4436197532100056,0.8718899846195602,0.48930908652251276,0.2168131438606431
WF3,M_full_minus_liquidity,0.6422666208477911,0.7624863233114747,0.16119875992375457,0.4868847343997212,0.7934798998763534,0.5936548146807805,0.11246741570237537
WF3,M_full_minus_ob,0.7558136103845976,0.8268631598166772,0.14787577458601034,0.44747361483250264,0.8694170511776591,0.49229470128773484,0.21382752909542097
WF3,M_full_minus_trend,0.7545811944989363,0.8262993475569109,0.14812673735278667,0.44870954716298206,0.8698392593262765,0.49374227208299404,0.2123799583001618
WF3,M_liquidity,0.7613659226924089,0.8303181614183506,0.14581750411603642,0.44108720074836905,0.8720709309689677,0.48804246207666097,0.21807976830649492
WF3,M_ob,0.6184243812500301,0.7487113707356582,0.16196229043217963,0.4900035597262363,0.7714044452486505,0.6106637715250761,0.0954584588580797
WF3,M_trend,0.6169271629762384,0.7468008730759006,0.16204329654273972,0.48992597926213965,0.773153593292922,0.615036641635755,0.09108558874740084
