risk_ATR,wf,decile,pred_mean,actual_rate,n
0.25,WF1,0,0.06493742054181388,0.19135559921414538,2545
0.25,WF1,1,0.13441784291900663,0.21147798742138366,2544
0.25,WF1,2,0.1909262321633577,0.2731918238993711,2544
0.25,WF1,3,0.24662067625057232,0.2888015717092338,2545
0.25,WF1,4,0.305448454351963,0.30306603773584906,2544
0.25,WF1,5,0.37147550429338727,0.3081761006289308,2544
0.25,WF1,6,0.44882027302330185,0.3473477406679764,2545
0.25,WF1,7,0.5380610207917045,0.3710691823899371,2544
0.25,WF1,8,0.6544179526946093,0.39504716981132076,2544
0.25,WF1,9,0.825260688263723,0.47976424361493125,2545
0.25,WF2,0,0.04809134197112573,0.2028121005538986,2347
0.25,WF2,1,0.09664268895101598,0.20195994887089902,2347
0.25,WF2,2,0.1392983515708503,0.21090754154239455,2347
0.25,WF2,3,0.18095766884744768,0.2361466325660699,2346
0.25,WF2,4,0.226586182072537,0.26927993182786536,2347
0.25,WF2,5,0.2749156046388815,0.29910524073285044,2347
0.25,WF2,6,0.3301031020781497,0.3269394714407502,2346
0.25,WF2,7,0.39945408389002823,0.3881550916063059,2347
0.25,WF2,8,0.4918739255365716,0.40391989774179804,2347
0.25,WF2,9,0.6707792101155066,0.4853003834682573,2347
0.25,WF3,0,0.09025365928537515,0.15913887716336006,2369
0.25,WF3,1,0.144409804719252,0.21072635135135134,2368
0.25,WF3,2,0.1861569431781022,0.22541156606162938,2369
0.25,WF3,3,0.22673472639116926,0.24113175675675674,2368
0.25,WF3,4,0.26913535714269443,0.2693119459687632,2369
0.25,WF3,5,0.31350513937497565,0.2842060810810811,2368
0.25,WF3,6,0.3636524334790225,0.328125,2368
0.25,WF3,7,0.4258050552126605,0.35457999155761927,2369
0.25,WF3,8,0.510398034291628,0.4058277027027027,2368
0.25,WF3,9,0.6796469415502078,0.49641198818066695,2369
0.5,WF1,0,0.13351316593387624,0.2958742632612967,2545
0.5,WF1,1,0.24552733650124428,0.3643867924528302,2544
0.5,WF1,2,0.3370466082151236,0.40172955974842767,2544
0.5,WF1,3,0.42270432229899385,0.46994106090373283,2545
0.5,WF1,4,0.5080039636460218,0.5216194968553459,2544
0.5,WF1,5,0.5921418722074316,0.5837264150943396,2544
0.5,WF1,6,0.6731105055547478,0.618467583497053,2545
0.5,WF1,7,0.7540884829498024,0.6572327044025157,2544
0.5,WF1,8,0.8388490378737652,0.7425314465408805,2544
0.5,WF1,9,0.9314429448822211,0.8180746561886051,2545
0.5,WF2,0,0.09843769363627489,0.27907967618236046,2347
0.5,WF2,1,0.19591805569636966,0.2884533446953558,2347
0.5,WF2,2,0.2775253138079405,0.38645078824030676,2347
0.5,WF2,3,0.36308120707231945,0.4454390451832907,2346
0.5,WF2,4,0.451037478291711,0.5027694929697486,2347
0.5,WF2,5,0.5358850861995189,0.5313165743502344,2347
0.5,WF2,6,0.619950073799964,0.5988917306052856,2346
0.5,WF2,7,0.7032903085317241,0.668086919471666,2347
0.5,WF2,8,0.7943031723457968,0.7064337452066468,2347
0.5,WF2,9,0.9003946452352803,0.8351086493395824,2347
0.5,WF3,0,0.15020295101092274,0.26340227944280287,2369
0.5,WF3,1,0.24765852475942843,0.30489864864864863,2368
0.5,WF3,2,0.3247128477024712,0.36893203883495146,2369
0.5,WF3,3,0.40354863016974685,0.4231418918918919,2368
0.5,WF3,4,0.4838163961282483,0.4896580835795694,2369
0.5,WF3,5,0.5607630840544987,0.542652027027027,2368
0.5,WF3,6,0.6385680230591957,0.6068412162162162,2368
0.5,WF3,7,0.7165253076845511,0.6403545799915576,2369
0.5,WF3,8,0.7973059034636678,0.7111486486486487,2368
0.5,WF3,9,0.9069145572197472,0.8484592655128746,2369
0.75,WF1,0,0.20540443604311653,0.40078585461689586,2545
0.75,WF1,1,0.38330341360191283,0.45990566037735847,2544
0.75,WF1,2,0.5112512581371306,0.5192610062893082,2544
0.75,WF1,3,0.6200738780774606,0.619253438113949,2545
0.75,WF1,4,0.7128048811429178,0.6788522012578616,2544
0.75,WF1,5,0.7894353156055056,0.7330974842767296,2544
0.75,WF1,6,0.8521999484670625,0.7744597249508841,2545
0.75,WF1,7,0.9030844004021913,0.8254716981132075,2544
0.75,WF1,8,0.9454788567290918,0.8785377358490566,2544
0.75,WF1,9,0.9818202628821604,0.9359528487229862,2545
0.75,WF2,0,0.13703010351207956,0.35023434171282486,2347
0.75,WF2,1,0.2802444679414363,0.4414145717937793,2347
0.75,WF2,2,0.4042734076774191,0.512143161482744,2347
0.75,WF2,3,0.5218177504391728,0.5682011935208866,2346
0.75,WF2,4,0.6249876520082107,0.6463570515551769,2347
0.75,WF2,5,0.7135771691909335,0.7102684277801449,2347
0.75,WF2,6,0.7909270348717928,0.7634271099744245,2346
0.75,WF2,7,0.8607321150256502,0.8052833404345974,2347
0.75,WF2,8,0.920079913128053,0.8743076267575628,2347
0.75,WF2,9,0.971321048377246,0.9309757136770345,2347
0.75,WF3,0,0.22114405598535428,0.3503588011819333,2369
0.75,WF3,1,0.3573341282018371,0.4239864864864865,2368
0.75,WF3,2,0.4632928953145009,0.4917686787674124,2369
0.75,WF3,3,0.5623175283778012,0.558277027027027,2368
0.75,WF3,4,0.6564907450065883,0.6344449134655973,2369
0.75,WF3,5,0.736191378988232,0.71875,2368
0.75,WF3,6,0.8046291065048973,0.7398648648648649,2368
0.75,WF3,7,0.8627117776261496,0.8062473617560152,2369
0.75,WF3,8,0.9173931064230789,0.8783783783783784,2368
0.75,WF3,9,0.9694083532741834,0.9501899535669058,2369
1.0,WF1,0,0.27518151556258375,0.4534381139489195,2545
1.0,WF1,1,0.5075212868613399,0.5495283018867925,2544
1.0,WF1,2,0.6606283541081014,0.6391509433962265,2544
1.0,WF1,3,0.768635443356353,0.6982318271119843,2545
1.0,WF1,4,0.8432692521988538,0.7558962264150944,2544
1.0,WF1,5,0.8956871456746546,0.8148584905660378,2544
1.0,WF1,6,0.9331414406001745,0.8648330058939097,2545
1.0,WF1,7,0.9603096207402936,0.904874213836478,2544
1.0,WF1,8,0.9803826707329336,0.9382861635220126,2544
1.0,WF1,9,0.9941574732469505,0.9779960707269155,2545
1.0,WF2,0,0.21180642701729038,0.412015338730294,2347
1.0,WF2,1,0.40064907488736007,0.5164039198977418,2347
1.0,WF2,2,0.5446824038336034,0.6161056668086919,2347
