risk_ATR,wf,model,n_symbols,macro_median_delta,iqr_lo,iqr_hi,positive_symbols,eligible_symbols
0.25,WF1,M_contact,15,0.0020970660256123264,-0.012216802344468203,0.026035689244845533,8,15
0.25,WF1,M_liquidity,15,0.08404197936210134,0.018775930253552287,0.10182667763246572,11,15
0.25,WF1,M_trend,15,-0.005786751401773538,-0.009603498927707732,0.003812182863173863,6,15
0.25,WF1,M_ob,15,0.00021971736673975784,-0.01128333307034185,0.012090582290144397,8,15
0.25,WF1,M_full,15,0.06467530640819896,0.006630235583198307,0.10162210210953843,14,15
0.25,WF1,M_full_minus_contact,15,0.08456261726078806,0.022292732243549496,0.10416187668414545,13,15
0.25,WF1,M_full_minus_liquidity,15,0.0008731452965707875,-0.022928510607566788,0.030563666352314167,8,15
0.25,WF1,M_full_minus_trend,15,0.06339955441461032,0.008641441450424281,0.0942284896301206,11,15
0.25,WF1,M_full_minus_ob,15,0.06867891233880408,0.011715262223948308,0.10301744986729422,12,15
0.25,WF2,M_contact,15,0.0141610634092455,-0.007343821089644709,0.026235875153598376,10,15
0.25,WF2,M_liquidity,15,0.09564184845491419,0.07360045938312132,0.1045818141682589,14,15
0.25,WF2,M_trend,15,-0.0041566765864647914,-0.012776064212790206,0.007130711148580382,5,15
0.25,WF2,M_ob,15,-0.003296254399195564,-0.01141939289767141,0.0001348612305010488,4,15
0.25,WF2,M_full,15,0.08193792543488898,0.0635582727663982,0.09957804069689125,14,15
0.25,WF2,M_full_minus_contact,15,0.09282769541595004,0.07380865790480123,0.10552156264953122,14,15
0.25,WF2,M_full_minus_liquidity,15,0.0074252483402387215,-0.004986868191888649,0.03066246425025987,11,15
0.25,WF2,M_full_minus_trend,15,0.08509708980182695,0.06340061528019736,0.09963483264624073,14,15
0.25,WF2,M_full_minus_ob,15,0.082101982026071,0.06218821454812545,0.0995425179598925,14,15
0.25,WF3,M_contact,15,0.009531625981509584,-0.007369284682306132,0.03696148930690252,10,15
0.25,WF3,M_liquidity,15,0.10677235198428525,0.08560772058202232,0.12602390142049413,15,15
0.25,WF3,M_trend,15,-0.005382697141385839,-0.017947452024072774,0.010148503616383364,6,15
0.25,WF3,M_ob,15,-0.018024601144805752,-0.022293751420840113,0.0016813784399442033,4,15
0.25,WF3,M_full,15,0.09047335106870935,0.0765861991645429,0.11692419634394985,15,15
0.25,WF3,M_full_minus_contact,15,0.10132491777146646,0.08234452990749896,0.1211917139772613,15,15
0.25,WF3,M_full_minus_liquidity,15,0.0028609224607396566,-0.005678880371793982,0.03617750325722957,8,15
