risk_ATR,opportunity_label,n_4class,share_of_risk_4class,outcome_path,n_6path,share_of_risk_6path
0.75,DELIVERY,61947,0.6392879256965944,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
0.75,DELIVERY,61947,0.6392879256965944,SHORT_ONLY_DELIVERY,28005,0.2890092879256966
0.75,DELIVERY,61947,0.6392879256965944,UNRESOLVED,1948,0.020103199174406606
0.75,NO_DELIVERY,29465,0.3040763673890609,BOTH_DIRECTION_DELIVERY,4487,0.04630546955624355
0.75,NO_DELIVERY,29465,0.3040763673890609,LONG_ONLY_DELIVERY,29455,0.3039731682146543
0.75,NO_DELIVERY,29465,0.3040763673890609,NO_DELIVERY,29465,0.3040763673890609
0.75,NO_DELIVERY,29465,0.3040763673890609,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
0.75,NO_DELIVERY,29465,0.3040763673890609,SHORT_ONLY_DELIVERY,28005,0.2890092879256966
0.75,NO_DELIVERY,29465,0.3040763673890609,UNRESOLVED,1948,0.020103199174406606
0.75,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,BOTH_DIRECTION_DELIVERY,4487,0.04630546955624355
0.75,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,LONG_ONLY_DELIVERY,29455,0.3039731682146543
0.75,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,NO_DELIVERY,29465,0.3040763673890609
0.75,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
0.75,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,SHORT_ONLY_DELIVERY,28005,0.2890092879256966
0.75,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,UNRESOLVED,1948,0.020103199174406606
0.75,UNRESOLVED,1948,0.020103199174406606,BOTH_DIRECTION_DELIVERY,4487,0.04630546955624355
0.75,UNRESOLVED,1948,0.020103199174406606,LONG_ONLY_DELIVERY,29455,0.3039731682146543
0.75,UNRESOLVED,1948,0.020103199174406606,NO_DELIVERY,29465,0.3040763673890609
0.75,UNRESOLVED,1948,0.020103199174406606,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
0.75,UNRESOLVED,1948,0.020103199174406606,SHORT_ONLY_DELIVERY,28005,0.2890092879256966
0.75,UNRESOLVED,1948,0.020103199174406606,UNRESOLVED,1948,0.020103199174406606
1.0,DELIVERY,69493,0.7171620227038183,BOTH_DIRECTION_DELIVERY,7773,0.08021671826625387
1.0,DELIVERY,69493,0.7171620227038183,LONG_ONLY_DELIVERY,31540,0.3254901960784314
1.0,DELIVERY,69493,0.7171620227038183,NO_DELIVERY,23013,0.2374922600619195
1.0,DELIVERY,69493,0.7171620227038183,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
1.0,DELIVERY,69493,0.7171620227038183,SHORT_ONLY_DELIVERY,30180,0.31145510835913315
1.0,DELIVERY,69493,0.7171620227038183,UNRESOLVED,854,0.008813209494324046
1.0,NO_DELIVERY,23013,0.2374922600619195,BOTH_DIRECTION_DELIVERY,7773,0.08021671826625387
1.0,NO_DELIVERY,23013,0.2374922600619195,LONG_ONLY_DELIVERY,31540,0.3254901960784314
1.0,NO_DELIVERY,23013,0.2374922600619195,NO_DELIVERY,23013,0.2374922600619195
1.0,NO_DELIVERY,23013,0.2374922600619195,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
