risk_ATR,model,roc_auc,pr_auc,brier,logloss,top20_delivery_rate,bottom20_delivery_rate,bottom20_avoidance_gain
0.25,M0,0.5427363267510061,0.3359381895460527,0.21232552718065237,0.6157767887914655,0.3470986435037462,0.2627801644089231,0.041911352300588456
0.25,M_contact,0.5567472178196767,0.3549207704019601,0.21395062056065847,0.620796527840275,0.37292860940629363,0.25749054192343973,0.047200974786071825
0.25,M_full,0.6195380720142495,0.4100780211728561,0.21797068174442838,0.6428788710481728,0.44438452588797567,0.1962426700257165,0.10844884668379508
0.25,M_full_minus_contact,0.6250626079403844,0.4122484729876577,0.21408291247289793,0.6317820361961853,0.44658369151210736,0.1926500956555592,0.11204142105395236
0.25,M_full_minus_liquidity,0.5563051768278454,0.35658838323537295,0.21471436394722698,0.6232602769621917,0.3744076271574149,0.257716889702918,0.04697462700659358
0.25,M_full_minus_ob,0.6201730583442379,0.4102463909638525,0.21782589391679064,0.6414708615107089,0.44421851648822575,0.19548257895230373,0.10920893775720784
0.25,M_full_minus_trend,0.6184095004916467,0.4074266772292381,0.21877390239411887,0.6452847117993734,0.4447584761457606,0.19905533472295645,0.10563618198655511
0.25,M_liquidity,0.6250762194485961,0.4100513942799305,0.21475676183440703,0.6328587667786145,0.44508820886051453,0.19255703819218747,0.1121344785173241
0.25,M_ob,0.5387539446988611,0.33467781408020364,0.21329172767190596,0.618042259772947,0.34514587949948816,0.266257792798445,0.03843372391106655
0.25,M_trend,0.5436366951930315,0.3380999685104515,0.21269977180874375,0.6168009974775911,0.3471762982312468,0.2684725679902681,0.03621894871924347
0.5,M0,0.5731096570693682,0.5847819530443515,0.24562991733610506,0.6846410571000462,0.6002417942230168,0.43198748559986755,0.09596881260064659
0.5,M_contact,0.5942059353599706,0.6126983797235809,0.24539910877919321,0.6852760550558054,0.6487847746212473,0.42206594907050965,0.10589034913000446
0.5,M_full,0.6965754255403845,0.7162235316760754,0.22622281354457896,0.6528834345758479,0.7769667071132185,0.2993454636273129,0.22861083457320128
0.5,M_full_minus_contact,0.7020381696703998,0.7222201226018227,0.22302918491754464,0.6432587341503977,0.7866495405067228,0.29296836329953707,0.23498793490097705
0.5,M_full_minus_liquidity,0.592029091694183,0.6107898087970914,0.24685488409061374,0.6884845569639397,0.6438388680519411,0.4288944895850387,0.09906180861547549
0.5,M_full_minus_ob,0.697702469316511,0.7176174855141912,0.22566171897580004,0.6513208293702205,0.7780825658644899,0.3005867521369819,0.22736954606353224
0.5,M_full_minus_trend,0.6972331086572449,0.716815521163222,0.22590129297866537,0.6519616233184867,0.7753855882080954,0.2983179202398461,0.22963837796066802
0.5,M_liquidity,0.7042446689684122,0.7239856730167912,0.2218473167308274,0.6402187133372554,0.7874395342361229,0.29092394261059484,0.2370323555899193
0.5,M_ob,0.5712186636137356,0.5834286881743219,0.246831110603858,0.6870821966382517,0.6054447999502457,0.436431603621145,0.09152469457936918
0.5,M_trend,0.5707096827954034,0.5816914135185738,0.24635890830668541,0.6861383506110051,0.6003681243904696,0.4364038633567393,0.09155243484377489
0.75,M0,0.5991707655700613,0.7344054121748144,0.21714211738458059,0.6253557681820227,0.7607890980932099,0.5455015385748078,0.11802673906015371
0.75,M_contact,0.6195366681838718,0.7536914474433577,0.21628243303799902,0.6238623776400706,0.797014195603937,0.5421112365516922,0.12141704108326919
0.75,M_full,0.7342660762245744,0.8424183228657557,0.19601534665690654,0.5809935184704782,0.9080614498112424,0.40444309264824985,0.25908518498671157
0.75,M_full_minus_contact,0.7379720284249806,0.8452338907180085,0.1939201052697812,0.573430001844533,0.9116514457194779,0.4032671824447389,0.2602610951902225
