instrument,horizon,feature_set,model,oos_rows,folds,q10_pinball_skill,q10_calibration,q50_pinball_skill,q50_calibration,q90_pinball_skill,q90_calibration,crossing_rate,interval_80_coverage,interval_skill,width_path_spearman,width_abs_return_spearman,width_path_n
AG,4,F1,linear_qr,10381,7,-0.0017379860343715858,0.18437530103072922,-0.0010566123334680988,0.49128215008188036,-0.002326065628454943,0.7948174549658029,9.632983334938831e-05,0.6105009633911368,-0.0018914195296535485,0.3203746494776854,0.1962226078063264,10380
AG,4,F1,gbr_quantile,10381,7,0.07977853676047708,0.16482034486080338,-0.001534722600361027,0.5025527405837588,0.07910342399652937,0.8196705519699451,0.0,0.6548502071091417,0.07945095710418992,0.6144313438515328,0.3941433663952185,10381
AG,4,F1_VOL,linear_qr,10381,7,0.02401772207723274,0.1637607166939601,-0.0014566923678354105,0.49080050091513344,0.024273747592574058,0.8128311338021386,0.0,0.6490704171081784,0.024141951324249122,0.5072446675720484,0.3097499587574788,10381
AG,4,F1_VOL,gbr_quantile,10381,7,0.12707241171843753,0.14767363452461227,-0.0004973879460379305,0.5062132742510356,0.11627360108442775,0.8376842308062807,0.0,0.6900105962816684,0.12183258977356315,0.6742803617003184,0.42989672293186443,10381
AG,8,F1,linear_qr,10374,7,-0.0023811985148012305,0.19066898014266434,-0.0020501958540355414,0.4894929631771737,-0.00797857526838186,0.790052053209948,0.000963948332369385,0.6004438440756464,-0.004273949852397374,0.3039122247815762,0.189837760626046,10364
AG,8,F1,gbr_quantile,10374,7,0.07194016065709852,0.1675342201657991,-0.0022168997355798137,0.5036630036630036,0.0662417947444639,0.8148255253518412,0.0,0.647291305186042,0.06919019308290653,0.55186262164315,0.34491095285599493,10374
AG,8,F1_VOL,linear_qr,10374,7,0.023634845730092446,0.17216117216117216,-0.002438511338002769,0.48737227684596107,-0.0023918000282387997,0.8100057836899942,0.000578368999421631,0.6382137345679012,0.011715163168294795,0.4786084367863346,0.29270505445372835,10368
AG,8,F1_VOL,gbr_quantile,10374,7,0.10979131114105478,0.1559668401773665,-0.003091765191781226,0.5081935608251398,0.11036109646284509,0.8316946211683054,0.0,0.6757277809909389,0.11006628315640032,0.6127436022859234,0.37760165168463555,10374
CU,4,F1,linear_qr,8714,7,-0.007174814775620764,0.13461097085150334,-0.0003116982855020378,0.49357355978884554,-0.008608311073724728,0.8653890291484967,0.0,0.7307780582969934,-0.007888727304450338,0.04490804496613312,0.023475466920817166,8714
CU,4,F1,gbr_quantile,8714,7,0.04185667716865915,0.12657792058756026,-0.00046977933722347487,0.49770484278173055,0.06030877491823727,0.8698645857241221,0.0,0.7432866651365618,0.051046225676060875,0.47824680272783393,0.2729617525875633,8714
CU,4,F1_VOL,linear_qr,8714,7,0.0334368949402265,0.1285288042230893,0.0016309754122582065,0.49563920128528804,0.03799735459027165,0.8710121643332568,0.0,0.7424833601101676,0.03570810365258548,0.34775389285173347,0.19641402616428622,8714
CU,4,F1_VOL,gbr_quantile,8714,7,0.06440364505710927,0.1276107413357815,-0.0015049731314378256,0.5,0.07056136306078786,0.8721597429423915,0.0,0.7445490016066101,0.06747032338591863,0.5523054635901883,0.3180858453057383,8714
CU,8,F1,linear_qr,8707,7,0.0007253361184912377,0.1380498449523372,0.0009109672859385354,0.4919030664982198,-0.005617904917136096,0.8653956586654415,0.0,0.7273458137131044,-0.0024593608612883955,0.04081788750406834,0.020277337579483145,8707
CU,8,F1,gbr_quantile,8707,7,0.0346215997390934,0.1316182381991501,-0.0016694933888086183,0.4939703686688871,0.032579596113641696,0.8665441598713679,0.0,0.7349259216722177,0.03359638837755907,0.41024655752124467,0.22290432201080418,8707
CU,8,F1_VOL,linear_qr,8707,7,0.041428368241663516,0.1342597909727805,0.0008680127625929623,0.4939703686688871,0.0256144075494118,0.8702193637303319,0.0,0.7359595727575514,0.03348878773824171,0.30619823481972663,0.16691114049191774,8707
CU,8,F1_VOL,gbr_quantile,8707,7,0.04863839085148458,0.1346043413345584,-0.001053291049151861,0.49442976915125764,0.04269916590339018,0.8691857126449983,0.0,0.7345813713104399,0.045656534786391756,0.465026842124428,0.2516840986793674,8707
AL,4,F1,linear_qr,8714,7,-0.002686831690554614,0.12990589855405096,-9.071643183600209e-05,0.5030984622446638,-0.001470796220708337,0.8653890291484967,0.0,0.7354831305944457,-0.0020937995245882135,0.04648136736144666,0.009897671906337295,8714
AL,4,F1,gbr_quantile,8714,7,0.06448796004323365,0.1276107413357815,-0.00213529626272968,0.4987376635299518,0.0631511428320286,0.8696350700022951,0.0,0.7420243286665137,0.06383602543612654,0.5766349237752811,0.3485455497127041,8714
AL,4,F1_VOL,linear_qr,8714,7,0.018601362204406446,0.1264631627266468,-0.0001813988310650494,0.5035574936883177,0.017936288213967533,0.8661923341748909,0.0,0.7397291714482442,0.01827702111497398,0.27924154061468526,0.15227989775153408,8714
AL,4,F1_VOL,gbr_quantile,8714,7,0.08792777827509934,0.12588937342207943,-0.001967738739748537,0.502409915079183,0.08610720427543705,0.874454900160661,0.0,0.7485655267385816,0.0870399267534171,0.6242978038491291,0.38041371484826364,8714
AL,8,F1,linear_qr,8707,7,0.00018019896562682103,0.12851728494314918,-3.6767040186846955e-05,0.4939703686688871,-0.007983396258522957,0.8693005627655909,0.0,0.7407832778224417,-0.0038048783719215606,0.026903118062184386,0.017788714611187844,8707
