模型,特征视图,累计收益,夏普率,最大回撤,pf,交易次数,不交易比例,选中平均收益
CatBoost回归,SNAPSHOT,-1.1007,-0.9173,1.2417,0.9599,1225,0.8512,-0.025102
CatBoost回归,TEMPORAL,0.7181,0.3917,1.2922,1.0542,2147,0.7393,0.033203
LightGBM回归,SNAPSHOT,1.5659,1.207,0.9926,1.0638,1581,0.808,0.037295
LightGBM回归,TEMPORAL,1.9059,1.4591,0.8863,1.0799,1481,0.8201,0.046329
XGBoost回归,SNAPSHOT,-0.1232,-0.0936,1.4415,0.9757,1625,0.8026,-0.014959
XGBoost回归,TEMPORAL,0.0932,0.0756,1.8811,0.9761,1685,0.7954,-0.014674
Ridge回归,SNAPSHOT,0.4325,0.3601,1.2913,1.029,1032,0.8747,0.018319
Ridge回归,TEMPORAL,1.1371,0.876,1.2781,1.0786,1156,0.8596,0.048339
LightGBM回归+排序,SNAPSHOT,1.2709,0.7749,1.7758,1.0354,1525,0.8148,0.022784
LightGBM回归+排序,TEMPORAL,0.2472,0.1697,1.5345,1.0041,1230,0.8506,0.002662
XGBoost回归+排序,SNAPSHOT,-0.1945,-0.0881,1.8291,1.0331,3299,0.5993,0.02163
XGBoost回归+排序,TEMPORAL,1.1148,0.6943,1.5397,1.0593,1242,0.8492,0.0392
