模型,快照夏普,时间增强夏普,差值,快照收益,时间增强收益
CatBoost回归,-0.9173,0.3917,1.309,-1.1007,0.7181
LightGBM回归,1.207,1.4591,0.2521,1.5659,1.9059
XGBoost回归,-0.0936,0.0756,0.1692,-0.1232,0.0932
Ridge回归,0.3601,0.876,0.5159,0.4325,1.1371
LightGBM回归+排序,0.7749,0.1697,-0.6052,1.2709,0.2472
XGBoost回归+排序,-0.0881,0.6943,0.7824,-0.1945,1.1148
