tr_blocks,te_blocks,clear_auc,clear_thr,test_selected_clear_rate,test_selection_rate
['TB1'],['TB2'],0.78439456790827,0.7395,0.8758846995238708,0.6305326788104995
['TB2'],['TB3'],0.7838197032234979,0.6698,0.8503661896123094,0.664716391246092
['TB3'],['TB4'],0.781798313125296,0.7201,0.8666986334212419,0.5718398683849739
"['TB1', 'TB2']",['TB3'],0.7853123058294648,0.681,0.8518142431627403,0.6597588209021885
"['TB1', 'TB2', 'TB3']",['TB4'],0.7827183645828502,0.6703,0.8492418772563177,0.6329403162416598
"['TB2', 'TB3']",['TB4'],0.7822760503613652,0.6723,0.8501131634664525,0.6259482679828169
