train_source,test_block,score_decile,n,mean_score,actual_reversal_rate
TB1,TB2,0,1764,0.1929305575951942,0.22732426303854875
TB1,TB2,1,1636,0.2568331376692502,0.26466992665036676
TB1,TB2,2,1237,0.2968819390639796,0.2667744543249798
TB1,TB2,3,1380,0.3405114239200799,0.3159420289855073
TB1,TB2,4,1677,0.3888599596218133,0.35241502683363146
TB1,TB2,5,2343,0.4380077015099297,0.41442594963721724
TB1,TB2,6,2131,0.47649892168757096,0.45471609572970434
TB1,TB2,7,2472,0.5076965779778959,0.47815533980582525
TB1,TB2,8,2467,0.5496131575731437,0.5435751925415484
TB1,TB2,9,1282,0.6646318205526042,0.5655226209048362
TB1,TB3,0,1675,0.18783664842332726,0.21611940298507462
TB1,TB3,1,1510,0.2554722137552449,0.25298013245033113
TB1,TB3,2,1229,0.2961138897385333,0.31082180634662326
TB1,TB3,3,1273,0.3394270533205454,0.31343283582089554
TB1,TB3,4,1465,0.3896474949863735,0.4013651877133106
TB1,TB3,5,1922,0.43781688158587023,0.4344432882414152
TB1,TB3,6,1836,0.4762951407102769,0.4624183006535948
TB1,TB3,7,2163,0.507145459552417,0.511326860841424
TB1,TB3,8,2129,0.5496369319082222,0.565054015969939
TB1,TB3,9,1061,0.6543063440200348,0.6013195098963242
TB1,TB4,0,1476,0.18996796327478077,0.18699186991869918
TB1,TB4,1,1565,0.25680302247496506,0.2511182108626198
TB1,TB4,2,1266,0.2976483450874612,0.2890995260663507
TB1,TB4,3,1258,0.33904508494608343,0.2901430842607313
TB1,TB4,4,1539,0.3897737517276912,0.36062378167641324
TB1,TB4,5,1991,0.4375641277490276,0.39728779507785034
TB1,TB4,6,1812,0.4757964302133265,0.4420529801324503
TB1,TB4,7,1919,0.50737534014072,0.43095362167795725
TB1,TB4,8,1656,0.5494679911442423,0.5217391304347826
TB1,TB4,9,1095,0.674057732603971,0.6164383561643836
TB2,TB3,0,1746,0.18177992489359507,0.23883161512027493
TB2,TB3,1,1722,0.24949420038656644,0.26713124274099886
TB2,TB3,2,1630,0.2999850718301212,0.32085889570552145
TB2,TB3,3,2204,0.3474024990068665,0.34392014519056263
TB2,TB3,4,1868,0.3977667869758674,0.41059957173447537
TB2,TB3,5,1490,0.4388578636095751,0.448993288590604
TB2,TB3,6,1547,0.47420345538912484,0.4776987718164189
TB2,TB3,7,1447,0.5113044397601113,0.5031098825155494
TB2,TB3,8,1200,0.5495865387228082,0.5975
TB2,TB3,9,1409,0.6321214794796786,0.6855926188786373
TB2,TB4,0,1652,0.18288641881504386,0.1797820823244552
TB2,TB4,1,1721,0.250205403066608,0.25101685066821616
TB2,TB4,2,1588,0.300728603484951,0.30037783375314864
TB2,TB4,3,2109,0.34748679850175773,0.32479848269321954
TB2,TB4,4,1839,0.39858402919804026,0.4029363784665579
TB2,TB4,5,1589,0.4392423579302124,0.43234738829452485
TB2,TB4,6,1439,0.47457186882839797,0.45448227936066715
TB2,TB4,7,1314,0.5107567345369715,0.4916286149162861
TB2,TB4,8,1007,0.5491222068068679,0.4826216484607746
TB2,TB4,9,1319,0.6377617565248177,0.6125852918877938
TB3,TB4,0,1053,0.18390674211739597,0.20987654320987653
TB3,TB4,1,1624,0.23879612263796643,0.21490147783251232
TB3,TB4,2,1719,0.2901409551931127,0.2600349040139616
TB3,TB4,3,1955,0.3456739981585036,0.340153452685422
TB3,TB4,4,1435,0.3934061106097228,0.3386759581881533
TB3,TB4,5,1570,0.43814230405452115,0.4152866242038217
TB3,TB4,6,1634,0.4794165479467106,0.44002447980416154
TB3,TB4,7,1568,0.5200612443138206,0.5044642857142857
TB3,TB4,8,1594,0.5663479745202393,0.4849435382685069
TB3,TB4,9,1425,0.6519151819192982,0.5684210526315789
