pair,model,domain_auc
TB1_vs_TB2,DOMAIN_G4_ONLY,0.6251
TB1_vs_TB2,DOMAIN_G4_BASE,0.6316
TB2_vs_TB3,DOMAIN_G4_ONLY,0.602
TB2_vs_TB3,DOMAIN_G4_BASE,0.6198
TB3_vs_TB4,DOMAIN_G4_ONLY,0.607
TB3_vs_TB4,DOMAIN_G4_BASE,0.6273
