wf,setup,n_raw_selected_contacts,n_collapsed_signals,n_conflict_groups_abstained,collapse_ratio
WF1,CONT,1159,649,0,0.56
WF1,REV,749,404,0,0.5394
WF2,CONT,1813,927,0,0.5113
WF2,REV,1773,768,0,0.4332
WF3,CONT,1720,895,0,0.5203
WF3,REV,1266,604,0,0.4771
