wf,definition,no_target_rate,median_ATR,p25_ATR,p75_ATR,p90_ATR,target_equals_attack_rate
WF1,NEW_BEYOND_ATTACK,0.0077,0.8696,0.4762,1.7102,2.7035,0.0
WF1,OLD_ENTRY_NEAREST,0.0,0.3333,0.2381,0.5,0.625,0.6333
WF2,NEW_BEYOND_ATTACK,0.0108,0.7317,0.4327,1.5,2.5,0.0
WF2,OLD_ENTRY_NEAREST,0.0,0.3846,0.2273,0.5556,0.7223,0.4995
WF3,NEW_BEYOND_ATTACK,0.0045,0.7143,0.4545,1.4583,3.0556,0.0
WF3,OLD_ENTRY_NEAREST,0.0,0.3913,0.2381,0.5827,0.7348,0.4626
