wf,setup,n_raw_selected_contacts,n_collapsed_signals,n_conflict_abstained,n_after_target_gate,n_after_entry_gap_gate,n_executed_trades,skip_open_position,raw_contact_selection_rate,collapsed_signal_rate,executed_trade_rate
WF1,CONT,1159,649,0,644,632,614,18,0.0447,0.0251,0.0237
WF1,REV,749,404,0,404,376,364,12,0.0289,0.0156,0.0141
WF2,CONT,1813,927,0,917,891,856,35,0.0742,0.0379,0.035
WF2,REV,1773,768,0,768,740,725,15,0.0725,0.0314,0.0297
WF3,CONT,1720,895,0,891,877,848,29,0.0721,0.0375,0.0355
WF3,REV,1266,604,0,604,581,572,9,0.053,0.0253,0.024
