selector,wf,cont_enabled,rev_enabled,cont_threshold,rev_threshold,cont_oof_precision,cont_oof_coverage,rev_oof_precision,rev_oof_coverage,n_both_overlap
S0_SYMMETRIC_10_10,WF1,True,True,0.23301423852639502,0.5815625638195261,,,,,
S0_SYMMETRIC_10_10,WF2,True,True,0.23726264146415307,0.5735121876157734,,,,,
S0_SYMMETRIC_10_10,WF3,True,True,0.23238126128035855,0.5673824658567059,,,,,
S1_CONTINUATION_ONLY_10,WF1,True,False,0.23301423852639502,,,,,,
S1_CONTINUATION_ONLY_10,WF2,True,False,0.23726264146415307,,,,,,
S1_CONTINUATION_ONLY_10,WF3,True,False,0.23238126128035855,,,,,,
S2_REVERSAL_ONLY_10,WF1,False,True,,0.5815625638195261,,,,,
S2_REVERSAL_ONLY_10,WF2,False,True,,0.5735121876157734,,,,,
S2_REVERSAL_ONLY_10,WF3,False,True,,0.5673824658567059,,,,,
S3_CLASS_SPECIFIC_PRECISION,WF1,True,True,0.6446056237673135,0.7074245967182117,0.7100912200684151,0.3848179025888548,0.7126436781609196,0.028630978499341816,0.0
S3_CLASS_SPECIFIC_PRECISION,WF2,True,False,0.6059700233853407,,0.7100355239786856,0.41638162152167885,,,0.0
S3_CLASS_SPECIFIC_PRECISION,WF3,True,True,0.5926446766847323,0.643556239370186,0.7100148420383066,0.4608344461453278,0.7105263157894737,0.02227795329446634,0.0
