selector,wf,symbol,n_selected,selection_rate,actionable_precision,n_pred_LONG,n_pred_SHORT
S1_CONTINUATION_ONLY_10,WF2,CU,95,0.0825,0.5368,51,44
S1_CONTINUATION_ONLY_10,WF2,I,83,0.0337,0.6627,44,39
S1_CONTINUATION_ONLY_10,WF2,M,117,0.0652,0.7778,44,73
S1_CONTINUATION_ONLY_10,WF2,MA,173,0.1071,0.659,108,65
S1_CONTINUATION_ONLY_10,WF2,NI,105,0.0778,0.5048,52,53
S1_CONTINUATION_ONLY_10,WF2,P,143,0.1056,0.7063,76,67
S1_CONTINUATION_ONLY_10,WF2,RB,195,0.0948,0.641,63,132
S1_CONTINUATION_ONLY_10,WF2,RU,145,0.0973,0.5862,84,61
S1_CONTINUATION_ONLY_10,WF2,SC,151,0.1039,0.7152,63,88
S1_CONTINUATION_ONLY_10,WF2,SN,65,0.062,0.8,25,40
S1_CONTINUATION_ONLY_10,WF2,TA,120,0.0847,0.5667,54,66
S1_CONTINUATION_ONLY_10,WF3,AG,61,0.0463,0.6885,28,33
S1_CONTINUATION_ONLY_10,WF3,AL,173,0.1148,0.6994,62,111
S1_CONTINUATION_ONLY_10,WF3,AU,98,0.0745,0.6837,59,39
S1_CONTINUATION_ONLY_10,WF3,CF,170,0.1235,0.6294,32,138
S1_CONTINUATION_ONLY_10,WF3,CU,143,0.1022,0.7273,59,84
S1_CONTINUATION_ONLY_10,WF3,I,84,0.0423,0.6905,22,62
S1_CONTINUATION_ONLY_10,WF3,M,115,0.0754,0.6,35,80
S1_CONTINUATION_ONLY_10,WF3,MA,110,0.0863,0.7,47,63
S1_CONTINUATION_ONLY_10,WF3,NI,99,0.0749,0.6465,51,48
S1_CONTINUATION_ONLY_10,WF3,P,111,0.0904,0.7027,52,59
S1_CONTINUATION_ONLY_10,WF3,RB,103,0.045,0.6311,20,83
S1_CONTINUATION_ONLY_10,WF3,RU,156,0.1106,0.7115,59,97
S1_CONTINUATION_ONLY_10,WF3,SC,91,0.0691,0.7582,43,48
S1_CONTINUATION_ONLY_10,WF3,SN,118,0.0934,0.7034,37,81
S1_CONTINUATION_ONLY_10,WF3,TA,124,0.0916,0.6129,64,60
