n,n_selected,selection_rate,selected_clear_rate,direction_accuracy_given_clear,actionable_precision,tradeoff_selected_rate,n_pred_continuation,n_pred_reversal,continuation_precision_given_clear,reversal_precision_given_clear,n_predicted_LONG,n_predicted_SHORT,predicted_LONG_actionable_precision,predicted_SHORT_actionable_precision,direction_auc_clear,selector,wf
24649,2588,0.10499411740841413,0.8446676970633694,0.7086001829826166,0.598531684698609,0.1553323029366306,1763,825,0.7791666666666667,0.5723860589812333,1216,1372,0.5945723684210527,0.6020408163265306,0.6336228113288576,S0_SYMMETRIC_10_10,WF1
22390,3296,0.14720857525681108,0.8355582524271845,0.7411038489469862,0.6192354368932039,0.16444174757281554,1855,1441,0.7920792079207921,0.678773204196933,1242,2054,0.5901771336553945,0.6368062317429406,0.6591039918664263,S0_SYMMETRIC_10_10,WF2
21882,3242,0.14815830362855315,0.8325107958050586,0.7525009262689886,0.6264651449722394,0.1674892041949414,1756,1486,0.8476868327402135,0.6491499227202473,1087,2155,0.6467341306347746,0.6162412993039443,0.6626762290939371,S0_SYMMETRIC_10_10,WF3
24649,1763,0.07152419976469633,0.8167895632444696,0.7791666666666667,0.6364152013613159,0.18321043675553034,1763,0,0.7791666666666667,,825,938,0.6496969696969697,0.6247334754797441,0.6336228113288576,S1_CONTINUATION_ONLY_10,WF1
22390,1855,0.08284948637784725,0.816711590296496,0.7920792079207921,0.6469002695417789,0.18328840970350405,1855,0,0.7920792079207921,,814,1041,0.6265356265356266,0.6628242074927954,0.6591039918664263,S1_CONTINUATION_ONLY_10,WF2
21882,1756,0.08024860616031441,0.8001138952164009,0.8476868327402135,0.678246013667426,0.19988610478359908,1756,0,0.8476868327402135,,670,1086,0.6955223880597015,0.6675874769797422,0.6626762290939371,S1_CONTINUATION_ONLY_10,WF3
24649,825,0.033469917643717796,0.9042424242424243,0.5723860589812333,0.5175757575757576,0.09575757575757576,0,825,,0.5723860589812333,391,434,0.4782608695652174,0.5529953917050692,0.6336228113288576,S2_REVERSAL_ONLY_10,WF1
22390,1441,0.06435908887896383,0.8598195697432338,0.678773204196933,0.5836224843858432,0.14018043025676613,0,1441,,0.678773204196933,428,1013,0.5210280373831776,0.6100691016781836,0.6591039918664263,S2_REVERSAL_ONLY_10,WF2
21882,1486,0.06790969746823873,0.8707940780619112,0.6491499227202473,0.5652759084791387,0.12920592193808883,0,1486,,0.6491499227202473,417,1069,0.5683453237410072,0.5640785781103835,0.6626762290939371,S2_REVERSAL_ONLY_10,WF3
24649,4778,0.19384153515355593,0.8275429049811637,0.753667172483561,0.6236919213059857,0.17245709501883633,4605,173,0.7585025046137622,0.639751552795031,2170,2608,0.6225806451612903,0.6246165644171779,0.6336228113288576,S3_CLASS_SPECIFIC_PRECISION,WF1
22390,6839,0.3054488610987048,0.813569235268314,0.7138749101365924,0.5807866647170639,0.1864307647316859,6839,0,0.7138749101365924,,3589,3250,0.5647812761214823,0.5984615384615385,0.6591039918664263,S3_CLASS_SPECIFIC_PRECISION,WF2
21882,7587,0.34672333424732654,0.8095426387241333,0.7385216541843048,0.597864768683274,0.19045736127586663,7096,491,0.7380703587600139,0.745,3583,4004,0.5866592241138711,0.6078921078921079,0.6626762290939371,S3_CLASS_SPECIFIC_PRECISION,WF3
