wf,action,first_h,scale,target_bin,risk_bin,plane,n_available,n_resolved,target_first_rate,stop_first_rate,ambiguous_rate,censored_rate,E_R_lower,E_R_upper,ambiguity_gap_R,median_target_atr,median_risk_atr,median_RR,rr_bin
WF1,OUTWARD,2,0.2,>=5,1-2,target_x_risk,471,396,0.06369426751592357,0.7770700636942676,0.0,0.1592356687898089,-0.5371839312527518,-0.5371839312527518,0.0,6.279069767441861,1.3392857142857142,5.0,
WF1,OUTWARD,2,0.2,3-5,0.5-1,target_x_risk,1061,1001,0.0706880301602262,0.8727615457115928,0.0,0.05655042412818096,-0.5326057278624079,-0.5326057278624079,0.0,3.6448598130841123,0.7291205500143233,5.08354526958291,
WF1,OUTWARD,2,0.2,1-2,0.5-1,target_x_risk,2300,2266,0.23608695652173914,0.7426086956521739,0.006521739130434782,0.014782608695652174,-0.31008880080462464,-0.29074455286696316,0.01934424793766147,1.4285714285714286,0.6896551724137931,2.0,
WF1,OUTWARD,2,0.2,0.5-1,<0.25,target_x_risk,426,426,0.14553990610328638,0.784037558685446,0.07042253521126761,0.0,-0.23444293407472183,0.17907589268784785,0.4135188267625697,0.8156034508880251,0.16510903426791276,5.0,
WF1,OUTWARD,2,0.2,1-2,1-2,target_x_risk,1242,1214,0.4194847020933977,0.5555555555555556,0.0024154589371980675,0.02254428341384863,-0.135370595091831,-0.13042825571786065,0.004942339373970346,1.4285714285714286,1.3157866558159887,1.0,
WF1,OUTWARD,2,0.2,1-2,<0.25,target_x_risk,1563,1563,0.037747920665387076,0.9475367882277671,0.01471529110684581,0.0,-0.6551854504241986,-0.5196181367122137,0.13556731371198488,1.4705882352941178,0.1724137931034483,9.0,
WF1,OUTWARD,2,0.2,3-5,<0.25,target_x_risk,531,522,0.032015065913371,0.9510357815442562,0.0,0.01694915254237288,-0.2642695746144022,-0.2642695746144022,0.0,3.5714285714285716,0.17045151897160915,22.0,
WF1,OUTWARD,2,0.2,2-3,1-2,target_x_risk,716,681,0.25977653631284914,0.6885474860335196,0.002793296089385475,0.04888268156424581,-0.22838295343616732,-0.22023317370048454,0.00814977973568282,2.5,1.25,2.0,
WF1,OUTWARD,2,0.2,3-5,0.25-0.5,target_x_risk,833,817,0.025210084033613446,0.9555822328931572,0.0,0.01920768307322929,-0.6853341635859176,-0.6853341635859176,0.0,3.643568572712863,0.35714285714285715,10.25,
WF1,OUTWARD,2,0.2,<0.5,0.5-1,target_x_risk,445,445,0.6112359550561798,0.3303370786516854,0.058426966292134834,0.0,-0.11538335257280888,-0.027983673600096185,0.08739967897271267,0.35714285714285715,0.7407407407407407,0.5,
WF1,OUTWARD,2,0.2,2-3,0.25-0.5,target_x_risk,1258,1252,0.08505564387917329,0.9030206677265501,0.007154213036565978,0.0047694753577106515,-0.3317012581345169,-0.26860221660097056,0.06309904153354633,2.4,0.35714285714285715,6.666666666666667,
WF1,OUTWARD,2,0.2,0.5-1,0.5-1,target_x_risk,1292,1270,0.44969040247678016,0.5224458204334366,0.010835913312693499,0.017027863777089782,-0.07145116033040633,-0.0479601798014782,0.023490980528928125,0.7317073170731708,0.7142857142857143,1.0,
WF1,OUTWARD,2,0.2,1-2,0.25-0.5,target_x_risk,1820,1810,0.10714285714285714,0.871978021978022,0.015384615384615385,0.005494505494505495,-0.4901232302888351,-0.4085981660563724,0.08152506423246259,1.4423076923076923,0.35714285714285715,4.0,
WF1,OUTWARD,2,0.2,2-3,0.5-1,target_x_risk,1351,1324,0.11621021465581051,0.8630643967431533,0.0007401924500370096,0.01998519615099926,-0.48362305301579506,-0.4800983803068323,0.0035246727089627387,2.4,0.7069617472620475,3.5,
WF1,OUTWARD,2,0.2,2-3,<0.25,target_x_risk,868,868,0.020737327188940093,0.9769585253456221,0.002304147465437788,0.0,-0.5881445319487286,34.81853749570104,35.40668202764977,2.3913043478260874,0.1724137931034483,14.0,
WF1,OUTWARD,2,0.2,0.5-1,>=3,target_x_risk,60,60,0.75,0.2,0.05,0.0,-0.08888990513125392,-0.03399743201297433,0.05489247311827958,0.8333333333333334,3.75,0.23076923076923078,
WF1,OUTWARD,2,0.2,>=5,0.5-1,target_x_risk,705,635,0.02553191489361702,0.875177304964539,0.0,0.09929078014184398,-0.7219572563019466,-0.7219572563019466,0.0,7.115641946615959,0.6923076923076923,10.75020981155108,
WF1,OUTWARD,2,0.2,3-5,>=3,target_x_risk,58,43,0.39655172413793105,0.3448275862068966,0.0,0.25862068965517243,0.011173941227166586,0.011173941227166586,0.0,3.884981328790838,4.2105263157894735,0.851063829787234,
WF1,OUTWARD,2,0.2,3-5,1-2,target_x_risk,634,567,0.1971608832807571,0.6971608832807571,0.0,0.1056782334384858,-0.1570084310789273,-0.1570084310789273,0.0,3.75,1.25,3.0,
WF1,OUTWARD,2,0.2,0.5-1,1-2,target_x_risk,918,911,0.6623093681917211,0.3300653594771242,0.0,0.007625272331154684,0.03794836007381705,0.03794836007381705,0.0,0.7142857142857143,1.282923552220233,0.5428641183035714,
WF1,OUTWARD,2,0.2,2-3,>=3,target_x_risk,73,55,0.6575342465753424,0.0958904109589041,0.0,0.2465753424657534,0.4188399474059571,0.4188399474059571,0.0,2.5925925925925926,4.074074074074074,0.6363636363636364,
WF1,OUTWARD,2,0.2,>=5,>=3,target_x_risk,85,44,0.2235294117647059,0.29411764705882354,0.0,0.4823529411764706,0.02158242946375346,0.02158242946375346,0.0,7.499999999999999,4.462912053267422,1.6734693877551021,
WF1,OUTWARD,2,0.2,<0.5,0.25-0.5,target_x_risk,199,199,0.35175879396984927,0.5376884422110553,0.11055276381909548,0.0,-0.3566189699206835,-0.15794473489703684,0.19867423502364662,0.4054054054054054,0.42483660130718953,1.0,
WF1,OUTWARD,2,0.2,<0.5,1-2,target_x_risk,500,500,0.786,0.166,0.048,0.0,-0.04647024328806646,0.014682142311688203,0.06115238559975466,0.3125,1.3333333333333333,0.2222222222222222,
WF1,OUTWARD,2,0.2,0.5-1,0.25-0.5,target_x_risk,676,676,0.2692307692307692,0.6878698224852071,0.042899408284023666,0.0,-0.18554471443888496,-0.05512325112908854,0.13042146330979643,0.8333333333333333,0.375,2.0,
WF1,OUTWARD,2,0.2,>=5,<0.25,target_x_risk,278,273,0.02877697841726619,0.9532374100719424,0.0,0.017985611510791366,0.032988277493869914,0.032988277493869914,0.0,6.684085745643685,0.17857142857142858,43.0,
WF1,OUTWARD,2,0.2,>=5,0.25-0.5,target_x_risk,431,416,0.03480278422273782,0.9303944315545244,0.0,0.03480278422273782,-0.2433660954150945,-0.2433660954150945,0.0,6.621646142806704,0.36319675994623185,19.0,
WF1,OUTWARD,2,0.2,2-3,2-3,target_x_risk,158,145,0.379746835443038,0.5379746835443038,0.0,0.08227848101265822,-0.19210882194302817,-0.19210882194302817,0.0,2.272727272727273,2.3529411764705883,1.0,
WF1,OUTWARD,2,0.2,3-5,2-3,target_x_risk,117,91,0.19658119658119658,0.5811965811965812,0.0,0.2222222222222222,-0.33965444306090337,-0.33965444306090337,0.0,4.166666666666667,2.368431619778857,1.6666666666666667,
WF1,OUTWARD,2,0.2,1-2,2-3,target_x_risk,289,280,0.6608996539792388,0.3079584775086505,0.0,0.031141868512110725,0.09295451518603058,0.09295451518603058,0.0,1.3333333333333333,2.25,0.6,
WF1,OUTWARD,2,0.2,<0.5,2-3,target_x_risk,102,102,0.7647058823529411,0.21568627450980393,0.0196078431372549,0.0,-0.11898004289382959,-0.09610422590036555,0.022875816993464054,0.3658536585365854,2.3205128205128203,0.14388905781958633,
WF1,OUTWARD,2,0.2,0.5-1,2-3,target_x_risk,191,191,0.7225130890052356,0.2774869109947644,0.0,0.0,-0.0491618176979753,-0.0491618176979753,0.0,0.7509194361536827,2.241379310344828,0.3076923076923077,
WF1,OUTWARD,2,0.2,>=5,2-3,target_x_risk,110,93,0.09090909090909091,0.7545454545454545,0.0,0.15454545454545454,-0.6365196740064181,-0.6365196740064181,0.0,6.333333333333333,2.34375,2.861085994160309,
WF2,OUTWARD,2,0.2,0.5-1,0.5-1,target_x_risk,1205,1183,0.408298755186722,0.5684647302904564,0.004979253112033195,0.018257261410788383,-0.13794750827175345,-0.12828283462909004,0.009664673642663425,0.75,0.6962025316455697,1.0,
WF2,OUTWARD,2,0.2,3-5,0.25-0.5,target_x_risk,779,755,0.024390243902439025,0.9435173299101413,0.0012836970474967907,0.03080872913992298,-0.7715565486637465,-0.7569870122399054,0.01456953642384106,3.68421052631579,0.34782608695652173,11.0,
WF2,OUTWARD,2,0.2,1-2,0.25-0.5,target_x_risk,1788,1782,0.1040268456375839,0.87751677852349,0.015100671140939598,0.003355704697986577,-0.4985615786440194,-0.42594468911958966,0.07261688952442984,1.4487730482392474,0.35714285714285715,4.0,
