action,first_h,scale,target_bin,risk_bin,plane,all_wf_present,WF1_n,WF1_E_R_lower,WF1_E_R_upper,WF1_ambiguity_gap_R,WF2_n,WF2_E_R_lower,WF2_E_R_upper,WF2_ambiguity_gap_R,WF3_n,WF3_E_R_lower,WF3_E_R_upper,WF3_ambiguity_gap_R,min_n_across_wf,min_E_R_lower_across_wf,max_ambiguity_gap_R_across_wf,sample_gate,positive_3_of_3,ambiguity_gate,robust_positive_geometry,rr_bin
OUTWARD,2,0.2,>=5,1-2,target_x_risk,True,471,-0.5371839312527518,-0.5371839312527518,0.0,402,-0.3165535903608076,-0.3165535903608076,0.0,468,-0.3961154618922443,-0.3961154618922443,0.0,402,-0.5371839312527518,0.0,True,False,True,False,
OUTWARD,2,0.2,3-5,0.5-1,target_x_risk,True,1061,-0.5326057278624079,-0.5326057278624079,0.0,931,-0.4149454179108462,-0.4149454179108462,0.0,908,-0.3885259413543048,-0.3704224930784427,0.01810344827586207,908,-0.5326057278624079,0.01810344827586207,True,False,True,False,
OUTWARD,2,0.2,1-2,0.5-1,target_x_risk,True,2300,-0.31008880080462464,-0.29074455286696316,0.01934424793766147,2156,-0.14793301318101104,-0.11485680934744394,0.03307620383356709,2049,-0.10409896680107147,-0.07951726788028839,0.024581698920783095,2049,-0.31008880080462464,0.03307620383356709,True,False,True,False,
OUTWARD,2,0.2,0.5-1,<0.25,target_x_risk,True,426,-0.23444293407472183,0.17907589268784785,0.4135188267625697,359,-0.5060343386313854,-0.06535755178557663,0.44067678684580874,423,-0.519353084627034,-0.3634472163839602,0.15590586824307376,359,-0.519353084627034,0.44067678684580874,True,False,False,False,
OUTWARD,2,0.2,1-2,1-2,target_x_risk,True,1242,-0.135370595091831,-0.13042825571786065,0.004942339373970346,1374,-0.06838715097401411,-0.05004250542348621,0.018344645550527904,1182,-0.05383982472338391,-0.044803680145070655,0.009036144578313253,1182,-0.135370595091831,0.018344645550527904,True,False,True,False,
OUTWARD,2,0.2,1-2,<0.25,target_x_risk,True,1563,-0.6551854504241986,-0.5196181367122137,0.13556731371198488,1534,-0.4105642109276448,-0.01750982444461326,0.39305438648303154,1522,-0.6082754148636873,-0.40599655740466517,0.20227885745902205,1522,-0.6551854504241986,0.39305438648303154,True,False,False,False,
OUTWARD,2,0.2,3-5,<0.25,target_x_risk,True,531,-0.2642695746144022,-0.2642695746144022,0.0,745,-0.3587223309485533,-0.3587223309485533,0.0,787,-0.6555697823303457,-0.6555697823303457,0.0,531,-0.6555697823303457,0.0,True,False,True,False,
OUTWARD,2,0.2,2-3,1-2,target_x_risk,True,716,-0.22838295343616732,-0.22023317370048454,0.00814977973568282,637,-0.015025568343468805,0.0013410437678241511,0.016366612111292964,742,-0.26760948810325064,-0.25481709044243195,0.012792397660818713,637,-0.26760948810325064,0.016366612111292964,True,False,True,False,
OUTWARD,2,0.2,3-5,0.25-0.5,target_x_risk,True,833,-0.6853341635859176,-0.6853341635859176,0.0,779,-0.7715565486637465,-0.7569870122399054,0.01456953642384106,938,-0.4499710229800685,-0.4499710229800685,0.0,779,-0.7715565486637465,0.01456953642384106,True,False,True,False,
OUTWARD,2,0.2,<0.5,0.5-1,target_x_risk,True,445,-0.11538335257280888,-0.027983673600096185,0.08739967897271267,430,-0.007499844903292408,0.06808170816554449,0.07558155306883689,431,-0.029433890357437098,0.01618248703464123,0.04561637739207833,430,-0.11538335257280888,0.08739967897271267,True,False,True,False,
OUTWARD,2,0.2,2-3,0.25-0.5,target_x_risk,True,1258,-0.3317012581345169,-0.26860221660097056,0.06309904153354633,1186,-0.4114502772046466,-0.40048906303938525,0.010961214165261383,1193,-0.34339065603022517,-0.3380777129294052,0.005312943100819965,1186,-0.4114502772046466,0.06309904153354633,True,False,True,False,
OUTWARD,2,0.2,0.5-1,0.5-1,target_x_risk,True,1292,-0.07145116033040633,-0.0479601798014782,0.023490980528928125,1205,-0.13794750827175345,-0.12828283462909004,0.009664673642663425,1027,-0.10946238411177198,-0.07618325132044405,0.03327913279132791,1027,-0.13794750827175345,0.03327913279132791,True,False,True,False,
OUTWARD,2,0.2,1-2,0.25-0.5,target_x_risk,True,1820,-0.4901232302888351,-0.4085981660563724,0.08152506423246259,1788,-0.4985615786440194,-0.42594468911958966,0.07261688952442984,1817,-0.36673336183007116,-0.3205754321214785,0.04615792970859263,1788,-0.4985615786440194,0.08152506423246259,True,False,True,False,
OUTWARD,2,0.2,2-3,0.5-1,target_x_risk,True,1351,-0.48362305301579506,-0.4800983803068323,0.0035246727089627387,1291,-0.41915102151502115,-0.4084318630049909,0.01071915851003031,1180,-0.2970061269033499,-0.2970061269033499,0.0,1180,-0.48362305301579506,0.01071915851003031,True,False,True,False,
OUTWARD,2,0.2,2-3,<0.25,target_x_risk,True,868,-0.5881445319487286,34.81853749570104,35.40668202764977,894,-0.8040815648713335,-0.8040815648713335,0.0,924,-0.6646026306952796,-0.5500187675213223,0.11458386317395727,868,-0.8040815648713335,35.40668202764977,True,False,False,False,
OUTWARD,2,0.2,0.5-1,>=3,target_x_risk,True,60,-0.08888990513125392,-0.03399743201297433,0.05489247311827958,72,-0.042485032983473114,-0.042485032983473114,0.0,53,-0.07382916995649742,-0.03137309267270137,0.042456077283796044,53,-0.08888990513125392,0.05489247311827958,False,False,True,False,
OUTWARD,2,0.2,>=5,0.5-1,target_x_risk,True,705,-0.7219572563019466,-0.7219572563019466,0.0,411,-0.38813712178721244,-0.38813712178721244,0.0,599,-0.5215969058736468,-0.5215969058736468,0.0,411,-0.7219572563019466,0.0,True,False,True,False,
OUTWARD,2,0.2,3-5,>=3,target_x_risk,True,58,0.011173941227166586,0.011173941227166586,0.0,86,-0.014912231134124465,-0.014912231134124465,0.0,75,0.3386527087256641,0.3386527087256641,0.0,58,-0.014912231134124465,0.0,False,False,True,False,
OUTWARD,2,0.2,3-5,1-2,target_x_risk,True,634,-0.1570084310789273,-0.1570084310789273,0.0,561,-0.21790600602430318,-0.21790600602430318,0.0,566,-0.17164730143960172,-0.17164730143960172,0.0,561,-0.21790600602430318,0.0,True,False,True,False,
OUTWARD,2,0.2,0.5-1,1-2,target_x_risk,True,918,0.03794836007381705,0.03794836007381705,0.0,861,-0.028450772563174114,-0.008582027725993117,0.019868744837180995,746,-0.05334261997700855,-0.04489575349199492,0.008446866485013624,746,-0.05334261997700855,0.019868744837180995,True,False,True,False,
OUTWARD,2,0.2,2-3,>=3,target_x_risk,True,73,0.4188399474059571,0.4188399474059571,0.0,71,0.10346231577967645,0.10346231577967645,0.0,78,0.22973650941465842,0.22973650941465842,0.0,71,0.10346231577967645,0.0,False,True,True,False,
OUTWARD,2,0.2,>=5,>=3,target_x_risk,True,85,0.02158242946375346,0.02158242946375346,0.0,78,-0.7475708029056464,-0.7475708029056464,0.0,60,-0.2848692393806178,-0.2848692393806178,0.0,60,-0.7475708029056464,0.0,False,False,True,False,
OUTWARD,2,0.2,<0.5,0.25-0.5,target_x_risk,True,199,-0.3566189699206835,-0.15794473489703684,0.19867423502364662,159,0.1930230292152256,0.21714583623276948,0.024122807017543862,155,0.007052266456228788,0.07039498445276726,0.06334271799653847,155,-0.3566189699206835,0.19867423502364662,False,False,True,False,
OUTWARD,2,0.2,<0.5,1-2,target_x_risk,True,500,-0.04647024328806646,0.014682142311688203,0.06115238559975466,507,-0.20762616530045572,-0.16679942197779563,0.0408267433226601,426,-0.18419607304107732,-0.16365616693779095,0.020539906103286387,426,-0.20762616530045572,0.06115238559975466,True,False,True,False,
OUTWARD,2,0.2,0.5-1,0.25-0.5,target_x_risk,True,676,-0.18554471443888496,-0.05512325112908854,0.13042146330979643,776,-0.31667635661979904,-0.22923158489667683,0.08744477172312225,792,-0.15439373501180195,-0.10131144014695335,0.0530822948648486,676,-0.31667635661979904,0.13042146330979643,True,False,True,False,
OUTWARD,2,0.2,>=5,<0.25,target_x_risk,True,278,0.032988277493869914,0.032988277493869914,0.0,349,-0.7817906947309073,-0.7817906947309073,0.0,468,-0.4042341253153911,-0.4042341253153911,0.0,278,-0.7817906947309073,0.0,True,False,True,False,
OUTWARD,2,0.2,>=5,0.25-0.5,target_x_risk,True,431,-0.2433660954150945,-0.2433660954150945,0.0,446,-0.5776055347379192,-0.5776055347379192,0.0,525,-0.8259288223066449,-0.8259288223066449,0.0,431,-0.8259288223066449,0.0,True,False,True,False,
OUTWARD,2,0.2,2-3,2-3,target_x_risk,True,158,-0.19210882194302817,-0.19210882194302817,0.0,111,-0.3146005724974763,-0.3146005724974763,0.0,112,0.1696377278354897,0.1696377278354897,0.0,111,-0.3146005724974763,0.0,False,False,True,False,
OUTWARD,2,0.2,3-5,2-3,target_x_risk,True,117,-0.33965444306090337,-0.33965444306090337,0.0,149,-0.2513274711274462,-0.2513274711274462,0.0,127,-0.4291998027227421,-0.4291998027227421,0.0,117,-0.4291998027227421,0.0,False,False,True,False,
OUTWARD,2,0.2,1-2,2-3,target_x_risk,True,289,0.09295451518603058,0.09295451518603058,0.0,239,-0.16522431736971102,-0.16522431736971102,0.0,282,-0.08041915975514236,-0.04172550586535228,0.038693653889790076,239,-0.16522431736971102,0.038693653889790076,True,False,True,False,
OUTWARD,2,0.2,<0.5,2-3,target_x_risk,True,102,-0.11898004289382959,-0.09610422590036555,0.022875816993464054,47,-0.1588268920854005,-0.13425222289825495,0.024574669187145556,80,0.016500634408188473,0.08882206297961703,0.07232142857142856,47,-0.1588268920854005,0.07232142857142856,False,False,True,False,
OUTWARD,2,0.2,0.5-1,2-3,target_x_risk,True,191,-0.0491618176979753,-0.0491618176979753,0.0,119,-0.009772364837446788,-0.009772364837446788,0.0,121,0.030789556969533848,0.030789556969533848,0.0,119,-0.0491618176979753,0.0,False,False,True,False,
OUTWARD,2,0.2,>=5,2-3,target_x_risk,True,110,-0.6365196740064181,-0.6365196740064181,0.0,80,-0.4142458425978189,-0.4142458425978189,0.0,98,-0.2731562845674474,-0.2731562845674474,0.0,80,-0.6365196740064181,0.0,False,False,True,False,
OUTWARD,2,0.2,1-2,>=3,target_x_risk,True,107,0.059834822918616616,0.07515794084000235,0.015323117921385743,111,-0.08289420578848378,0.007535278294805117,0.09042948408328891,88,-0.028486260368663967,-0.028486260368663967,0.0,88,-0.08289420578848378,0.09042948408328891,False,False,True,False,
