symbol,stop_atr,target_r,n,mean_R,target_hit_rate_w,stop_hit_rate_w
ALL,0.75,1.5,1261,0.080422,0.411223,0.541876
AG,0.75,1.5,410,0.11659,0.419689,0.523316
CU,0.75,1.5,418,0.079944,0.418953,0.548628
RB,0.75,1.5,228,-0.029212,0.355769,0.576923
M,0.75,1.5,205,0.12582,0.437186,0.527638
ALL,0.75,2.0,1261,0.097074,0.321608,0.590452
AG,0.75,2.0,410,0.147015,0.323834,0.562176
CU,0.75,2.0,418,0.071589,0.329177,0.61596
RB,0.75,2.0,228,0.054101,0.288462,0.586538
M,0.75,2.0,205,0.096474,0.336683,0.59799
ALL,0.75,2.5,1261,0.083595,0.241206,0.616415
AG,0.75,2.5,410,0.157241,0.251295,0.582902
CU,0.75,2.5,418,0.050421,0.241895,0.643392
RB,0.75,2.5,228,0.082887,0.235577,0.605769
M,0.75,2.5,205,0.008332,0.226131,0.638191
ALL,1.0,1.5,1261,0.066701,0.359296,0.505025
AG,1.0,1.5,410,0.066651,0.34715,0.502591
CU,1.0,1.5,418,0.092897,0.381546,0.503741
RB,1.0,1.5,228,0.025187,0.3125,0.485577
M,1.0,1.5,205,0.057401,0.386935,0.532663
ALL,1.0,2.0,1261,0.076473,0.249581,0.525963
AG,1.0,2.0,410,0.095348,0.248705,0.523316
CU,1.0,2.0,418,0.086454,0.254364,0.526185
RB,1.0,2.0,228,0.067064,0.235577,0.504808
M,1.0,2.0,205,0.029584,0.256281,0.552764
ALL,1.0,2.5,1261,0.078549,0.164154,0.532663
AG,1.0,2.5,410,0.112266,0.168394,0.528497
CU,1.0,2.5,418,0.097526,0.167082,0.533666
RB,1.0,2.5,228,0.075823,0.168269,0.504808
M,1.0,2.5,205,-0.022243,0.145729,0.567839
ALL,1.25,1.5,1261,0.060136,0.29062,0.438861
AG,1.25,1.5,410,0.045821,0.284974,0.463731
CU,1.25,1.5,418,0.085333,0.299252,0.421446
RB,1.25,1.5,228,0.073582,0.274038,0.408654
M,1.25,1.5,205,0.023072,0.301508,0.457286
ALL,1.25,2.0,1261,0.071342,0.173367,0.446399
AG,1.25,2.0,410,0.073414,0.176166,0.468912
CU,1.25,2.0,418,0.092633,0.17207,0.428928
RB,1.25,2.0,228,0.093595,0.182692,0.413462
M,1.25,2.0,205,0.001159,0.160804,0.472362
ALL,1.25,2.5,1261,0.071896,0.097152,0.449749
AG,1.25,2.5,410,0.064493,0.095855,0.474093
CU,1.25,2.5,418,0.085987,0.092269,0.433915
RB,1.25,2.5,228,0.108938,0.105769,0.413462
M,1.25,2.5,205,0.019147,0.100503,0.472362
