subset,grouping,bucket,n,mean_R
ALL,trading_day_tercile,0,3703,0.023644
ALL,trading_day_tercile,1,3644,0.007494
ALL,trading_day_tercile,2,3867,-0.014863
ALL,session_segment_tercile,0,3729,0.021718
ALL,session_segment_tercile,1,3611,0.010646
ALL,session_segment_tercile,2,3874,-0.016024
only15,trading_day_tercile,0,386,0.029216
only15,trading_day_tercile,1,419,0.116744
only15,trading_day_tercile,2,456,0.080066
only15,session_segment_tercile,0,377,0.020755
only15,session_segment_tercile,1,445,0.132789
only15,session_segment_tercile,2,439,0.067905
H4A_5m_closebeyond_fade,trading_day_tercile,0,262,0.182521
H4A_5m_closebeyond_fade,trading_day_tercile,1,273,0.001349
H4A_5m_closebeyond_fade,trading_day_tercile,2,270,0.194153
H4A_5m_closebeyond_fade,session_segment_tercile,0,264,0.168521
H4A_5m_closebeyond_fade,session_segment_tercile,1,271,0.01169
H4A_5m_closebeyond_fade,session_segment_tercile,2,270,0.194153
H4B_15m_closebeyond_follow,trading_day_tercile,0,90,0.13053
H4B_15m_closebeyond_follow,trading_day_tercile,1,82,-0.095857
H4B_15m_closebeyond_follow,trading_day_tercile,2,91,0.174546
H4B_15m_closebeyond_follow,session_segment_tercile,0,91,0.125778
H4B_15m_closebeyond_follow,session_segment_tercile,1,85,-0.065608
H4B_15m_closebeyond_follow,session_segment_tercile,2,87,0.156359
