split,symbol,scope,n,n_weighted,mean_R,mean_R_event,target_hit_rate_w,stop_hit_rate_w,both_hit_rate_w,ci025,ci975,p_gt_0
all,ALL,ALL,1261,1194.0,0.076473,0.074997,0.249581,0.525963,0.0,-0.005761,0.162802,0.968
all,AG,AG,410,386.0,0.095348,0.102236,0.248705,0.523316,0.0,-0.031161,0.228904,0.926
all,CU,CU,418,401.0,0.086454,0.090583,0.254364,0.526185,0.0,-0.062574,0.240607,0.865
all,RB,RB,228,208.0,0.067064,0.052207,0.235577,0.504808,0.0,-0.120697,0.253487,0.738
all,M,M,205,199.0,0.029584,0.014084,0.256281,0.552764,0.0,-0.154595,0.231128,0.612
internal,ALL,ALL,1133,1090.5,0.065172,0.063006,0.253553,0.537827,0.0,-0.018718,0.151536,0.929
internal,AG,AG,359,343.6667,0.041395,0.053053,0.250242,0.557711,0.0,-0.093766,0.184734,0.707
internal,CU,CU,380,369.0,0.10002,0.098698,0.257453,0.523035,0.0,-0.040468,0.234647,0.918
internal,RB,RB,197,185.1667,0.074254,0.058274,0.243024,0.511251,0.0,-0.10311,0.254569,0.775
internal,M,M,197,192.6667,0.032116,0.017027,0.262111,0.556228,0.0,-0.173696,0.236462,0.617
swing,ALL,ALL,128,103.5,0.19554,0.181137,0.207729,0.400966,0.0,-0.049979,0.466536,0.93
swing,AG,AG,51,42.3333,0.533348,0.448451,0.23622,0.244094,0.0,,,
swing,CU,CU,38,32.0,-0.069977,0.009436,0.21875,0.5625,0.0,,,
swing,RB,RB,31,22.8333,0.008749,0.01365,0.175182,0.452555,0.0,,,
swing,M,M,8,6.3333,-0.047451,-0.058398,0.078947,0.447368,0.0,,,
first_touch,ALL,ALL,457,439.8333,0.060125,0.039454,0.242137,0.531641,0.0,-0.056766,0.175101,0.835
first_touch,AG,AG,151,147.1667,0.090197,0.081708,0.241223,0.517554,0.0,-0.11856,0.320376,0.816
first_touch,CU,CU,141,138.0,0.261208,0.255651,0.311594,0.485507,0.0,0.030874,0.480434,0.989
first_touch,RB,RB,86,79.0,-0.008079,-0.05562,0.240506,0.544304,0.0,-0.281394,0.280831,0.459
first_touch,M,M,79,75.6667,-0.29389,-0.323684,0.118943,0.629956,0.0,-0.525517,-0.033322,0.018
retest,ALL,ALL,804,754.1667,0.086007,0.0952,0.253923,0.522652,0.0,-0.010917,0.18838,0.953
retest,AG,AG,259,238.8333,0.098522,0.114204,0.253315,0.526867,0.0,-0.065743,0.262522,0.886
retest,CU,CU,277,263.0,-0.005242,0.006559,0.224335,0.547529,0.0,-0.167843,0.158102,0.483
retest,RB,RB,142,129.0,0.113081,0.117511,0.232558,0.48062,0.0,-0.125919,0.349038,0.826
retest,M,M,126,123.3333,0.228039,0.225858,0.340541,0.505405,0.0,-0.024484,0.501741,0.957
active_at_touch,ALL,ALL,1218,1153.5,0.07078,0.068068,0.247508,0.527958,0.0,-0.015385,0.156713,0.946
active_at_touch,AG,AG,394,370.5,0.064946,0.07151,0.238866,0.534413,0.0,-0.055692,0.194859,0.849
active_at_touch,CU,CU,404,388.0,0.079888,0.079684,0.252577,0.528351,0.0,-0.062352,0.224362,0.849
active_at_touch,RB,RB,224,205.0,0.082679,0.070997,0.239024,0.497561,0.0,-0.110903,0.271494,0.79
active_at_touch,M,M,196,190.0,0.050719,0.03386,0.263158,0.547368,0.0,-0.146442,0.249682,0.68
