population,n,mean_pred_delta,mean_oracle_delta,mean_selection_error_delta,freq_oracle_delta_gt_0,freq_oracle_delta_lt_0,freq_oracle_delta_eq_0
ALL,24954,0.03639216523040069,-0.017179677789454284,0.053571843019854966,0.09200929710667628,0.11953995351446661,0.7884507493788571
SAME,14778,0.0,0.0,0.0,0.0,0.0,1.0
SWITCHED,10176,0.08924234386393659,-0.04212870278675728,0.13137104665069388,0.22562893081761007,0.2931407232704403,0.4812303459119497
