signal_gid,selected_edge_index,selected_edge_train_count,selected_edge_unseen,selected_edge_gt_train_p95,selected_edge_gt_train_p99,selected_edge_gt_train_max,selected_graph_ev,selected_p_reach,selected_rr_ref
177,0,21135,False,False,False,False,-0.854511392204006,6.776406204583595e-05,14.17808219178047
179,0,21135,False,False,False,False,-0.24980280306026836,0.6723214441498915,0.09999902344704029
180,0,21135,False,False,False,False,-0.2694432191267717,0.1618443627093614,3.138297872340547
183,0,21135,False,False,False,False,-0.011934257681932736,0.5290406462845205,0.8130081300812889
184,0,21135,False,False,False,False,-0.01018036253433946,0.45711208033656675,1.0908994060777522
185,0,21135,False,False,False,False,-0.06766898671465871,0.48711881215230113,0.8130081300812889
186,0,21135,False,False,False,False,-0.28345038798117284,0.6318601748462808,0.09999902344704029
187,0,21135,False,False,False,False,-0.12495967022472898,0.597744566344902,0.4237288135593155
188,0,21135,False,False,False,False,-0.030023933401936764,0.3159164560642718,1.92622950819675
189,0,21135,False,False,False,False,-0.06766898671465826,0.48711881215230113,0.8130081300812889
190,0,21135,False,False,False,False,-0.08627310390486875,0.5414402608144129,0.6395348837209032
191,0,21135,False,False,False,False,-0.06766898671465915,0.48711881215230113,0.8130081300812889
192,0,21135,False,False,False,False,-0.02255567696749944,0.4853464216623642,0.9523809523809249
194,0,21135,False,False,False,False,-0.5063700758185176,0.08049192683099374,4.237288135593481
195,0,21135,False,False,False,False,-0.7528411728230443,0.02193846999041026,6.250000000000516
196,0,21135,False,False,False,False,0.007335130121370881,0.4282914584961844,1.2727272727272727
197,0,21135,False,False,False,False,0.0010285192984386127,0.30454625520364637,2.1428571428570033
198,0,21135,False,False,False,False,-0.7368146331659378,0.0257008285313242,5.902255639097664
199,0,21135,False,False,False,False,0.018196882480390086,0.32613369105175405,1.984126984126927
200,0,21135,False,False,False,False,-0.07796654820275511,0.4252161921186441,1.0365730209957977
201,0,21135,False,False,False,False,0.035150018874178235,0.48855256198885944,1.0576923076923448
202,0,21135,False,False,False,False,-0.08727103798361951,0.5049201550786101,0.7142857142856937
203,0,21135,False,False,False,False,-0.7970898457885462,0.013952433857026375,6.888888888888889
204,0,21135,False,False,False,False,-0.5583446278883313,0.05800682170873686,4.6
205,0,21135,False,False,False,False,-0.047857470215530384,0.5115529091332144,0.8064516129032495
