bucket,n_signals,n_nodes_lo,n_nodes_hi,frac_t1_nonnearest,frac_t2_nonnearest,mean_R_t0,mean_R_t1,mean_R_t2,mean_T2_minus_T0
Q1,6004,1,16,0.5629580279813458,0.37924716855429713,-0.030953438036660938,-0.08680265936545947,-0.05144698970902685,-0.020493551672365922
Q2,6278,17,28,0.6371455877668047,0.42449824784963364,-0.08499069997271623,-0.14270800451937785,-0.10915490400037312,-0.024164204027656892
Q3,6431,29,44,0.729746540195926,0.43554657129528845,-0.006491163100193367,-0.054589758473468426,-0.05980764636885731,-0.05331648326866396
Q4,6241,45,139,0.7120653741387598,0.3898413715750681,0.0518807159723119,0.053230650499060686,0.056401718024661256,0.004521002052349368
