model,fold,cv_scope,logloss,brier,reach_ece,ev_ece
C0_RAW,1,CALIBRATOR_ONLY_EXPANDING_CV_ON_FROZEN_G0,0.6541083026587884,0.4187731235741423,0.008222516738837352,0.08875965665772717
C1_GLOBAL,1,CALIBRATOR_ONLY_EXPANDING_CV_ON_FROZEN_G0,0.6547341094459509,0.41873759849082487,0.007631388726096727,0.07834337411806483
C2_RR_EDGE,1,CALIBRATOR_ONLY_EXPANDING_CV_ON_FROZEN_G0,0.6530245914206537,0.42028241567996005,0.005095116479386207,0.042846593638974625
C0_RAW,2,CALIBRATOR_ONLY_EXPANDING_CV_ON_FROZEN_G0,0.6642596314439153,0.42097848168889396,0.004425109474514309,0.1055662598695784
C1_GLOBAL,2,CALIBRATOR_ONLY_EXPANDING_CV_ON_FROZEN_G0,0.6537748373893031,0.4126755305419177,0.005648772295088865,0.09934586385799199
C2_RR_EDGE,2,CALIBRATOR_ONLY_EXPANDING_CV_ON_FROZEN_G0,0.6526333321352733,0.411921899545871,0.007699410884028255,0.08892366547304761
C0_RAW,3,CALIBRATOR_ONLY_EXPANDING_CV_ON_FROZEN_G0,0.6043599739408253,0.3847353866110587,0.004345611928225161,0.07936572361864179
C1_GLOBAL,3,CALIBRATOR_ONLY_EXPANDING_CV_ON_FROZEN_G0,0.5992183696592233,0.3818564697178305,0.0032289793929243683,0.07711675856239653
C2_RR_EDGE,3,CALIBRATOR_ONLY_EXPANDING_CV_ON_FROZEN_G0,0.5938910665137159,0.3785445956127758,0.0031626869228013606,0.055171640037617486
