population,metric,mean,ci_lo,ci_hi,n_days
ALL,oracle_delta,-0.0184622879875681,-0.03689698129679758,0.0009375772242846327,120
ALL,selection_error_delta,0.05203262061950777,0.03249377112242986,0.07057139720460243,120
ALL,pred_delta,0.033570332631939676,0.030736627523931158,0.0362297809297688,120
SWITCHED,oracle_delta,-0.045228325020367575,-0.09125064234912077,0.006295499244699072,114
SWITCHED,selection_error_delta,0.13006261131764243,0.07927879578404827,0.17661629560780107,114
SWITCHED,pred_delta,0.08483428629727487,0.07979953554321713,0.0897445002747356,114
ALL,execution_drag,-0.0056800990188345035,-0.01127206831143096,-3.715457007550632e-05,120
ALL,actual_delta,-0.024142387006402605,-0.04340875534490967,-0.004158079615778762,120
SWITCHED,execution_drag,-0.014761062730936615,-0.03019200464439489,0.0006338347541408963,114
SWITCHED,actual_delta,-0.059989387751304184,-0.11009173281381665,-0.007273592989185003,114
