graph_ev_decile,bin_lo,bin_hi,n,mean_rr_ref,pred_reach,actual_reach,reach_error,pred_gain,actual_gain,gain_error,pred_loss,actual_loss,loss_error,pred_censor,actual_censor,pred_graph_ev,actual_u_label,ev_error
1,-0.948,-0.7,12260,16.194920311522747,0.004019314107352614,0.025203915171288744,-0.02118460106393613,0.039055172445389426,0.2625200761783439,-0.22346490373295447,0.8296634488783845,0.7648450244698205,0.06481842440856385,0.16631723701438572,0.2099510603588907,-0.7906082764329949,-0.5023249482914768,-0.2882833281415183
2,-0.7,-0.489,12260,9.882280386696952,0.026140178439878176,0.05522022838499184,-0.02908004994511367,0.16903633579699257,0.3312670865236797,-0.16223075072668716,0.7663747308823621,0.7281402936378466,0.038234437244515446,0.2074850906774078,0.2166394779771615,-0.5973383950853696,-0.39687320711416696,-0.2004651879712026
3,-0.489,-0.332,12258,5.574146915480934,0.08682193794233153,0.12334801762114538,-0.036526079678813834,0.33152370658276814,0.38136849679203927,-0.04984479020927113,0.737440332782779,0.6893457333985968,0.04809459938418215,0.1757377292743848,0.1873062489802578,-0.40591662620001084,-0.30797723660655757,-0.09793938959345326
4,-0.332,-0.219,12260,4.175892489313913,0.16360738023242263,0.20864600326264274,-0.045038623030220125,0.41893727030211675,0.4341657690644101,-0.015228498762293288,0.6904862861841123,0.632626427406199,0.05785985877791339,0.14590633358320265,0.15872756933115822,-0.27154901588199565,-0.19846065834178894,-0.07308835754020668
5,-0.219,-0.134,12260,3.1112691381824225,0.2682026013372641,0.31166394779771617,-0.043461346460452036,0.4465104947689561,0.4600617422743949,-0.013551247505438872,0.6211375100772558,0.5684339314845025,0.05270357859275346,0.11065988858531474,0.1199021207177814,-0.1746270153082998,-0.10837218921010745,-0.06625482609819233
6,-0.134,-0.0625,12258,2.6783911450246167,0.32750558819449826,0.36743351280796216,-0.03992792461346387,0.4811212421033083,0.49066154615974705,-0.009540304056438726,0.5794985898792628,0.5332028063305596,0.04629578354870321,0.09299582192625702,0.09936368086147822,-0.09837734777595449,-0.04254126017081257,-0.05583608760514193
7,-0.0625,0.00817,12260,2.786481260407758,0.3337258468975971,0.33572593800978795,-0.002000091112190862,0.5515117946771951,0.4898584116385141,0.061653383038681134,0.5783868604221393,0.581810766721044,-0.0034239062989047304,0.0878872926801836,0.08246329526916803,-0.026875065744944106,-0.09195235508252998,0.06507728933758586
8,0.00817,0.0847,12262,2.5885676062852423,0.3454469022342334,0.32294894796933615,0.022497954264897178,0.6206219605620827,0.5317258753060539,0.08889608525602896,0.5745544027861568,0.6026749306801501,-0.028120527893993205,0.07999869497917331,0.07437612135051379,0.046067557775925895,-0.07094905537409626,0.11701661315002215
9,0.0847,0.179,12256,2.6272473812146226,0.3523943593132194,0.3013218015665796,0.05107255774663979,0.7002942302970313,0.5722246634447526,0.12806956685227866,0.5707313871371007,0.6272845953002611,-0.056553208163160444,0.07687425354944313,0.07139360313315928,0.12956284315993064,-0.05505993185550846,0.18462277501543906
10,0.179,1.031,12260,3.3157235369153613,0.3256545951758909,0.25505709624796086,0.07059749892793005,0.8723921192441779,0.6343055625137222,0.2380865567304559,0.5914864091345433,0.6586460032626428,-0.0671595941280995,0.08285899568869776,0.08629690048939641,0.28090571010963483,-0.02434044074892056,0.3052461508585554
