population,n,pred,actual,gap
TB2_full_nodes_edges0_4,12261,0.0016607698291345283,0.013783541309844221,-0.012122771480709693
TB2_full_nodes_edges0_4,12258,0.02201617590649224,0.04364496655245554,-0.0216287906459633
TB2_full_nodes_edges0_4,12260,0.0606684520116807,0.06109298531810767,-0.0004245333064269649
TB2_full_nodes_edges0_4,12260,0.1033626203385152,0.10065252854812398,0.0027100917903912225
TB2_full_nodes_edges0_4,12270,0.14798139150884987,0.1484922575387123,-0.0005108660298624446
TB2_full_nodes_edges0_4,12247,0.1975208474188896,0.19188372662692904,0.005637120791960548
TB2_full_nodes_edges0_4,12260,0.2591594994710297,0.2553017944535073,0.0038577050175223615
TB2_full_nodes_edges0_4,12259,0.34239618860842225,0.3324904152051554,0.009905773403266871
TB2_full_nodes_edges0_4,12264,0.46105003508810605,0.4763535551206784,-0.015303520032572349
TB2_full_nodes_edges0_4,12255,0.6378063303573792,0.6829865361077111,-0.04518020575033188
