signal_gid,signal_id,symbol,direction,edge_index,target_price,cum_distance_R,delta_R,rr_ref,p_reach,p_loss_before,p_censor_before,reward_term,loss_term,graph_ev,realized_R,outcome
177,AG|CONFIRMED_SWING_LOW|5m|2025-06-06 10:55:00|8660.0009765625|1,AG,-1,0,8469.0009765625,14.178082191780822,14.178082191780822,14.17808219178047,6.776406204583595e-05,0.8554721566453407,0.14446007929261323,0.0009607644413347737,-0.8554721566453407,-0.854511392204006,-1.1643835616438065,STOP
179,AG|CONFIRMED_SWING_LOW|5m|2025-06-09 09:05:00|8788.0009765625|1,AG,-1,0,8788.0009765625,0.09999902344703665,0.09999902344703665,0.09999902344704029,0.6723214441498915,0.31703429091776136,0.010644264932345715,0.06723148785749299,-0.31703429091776136,-0.24980280306026836,0.09999902344704029,TARGET
180,AG|CONFIRMED_SWING_LOW|5m|2025-06-09 09:05:00|8788.0009765625|2,AG,-1,0,8726.0009765625,3.1382978723404253,3.1382978723404253,3.138297872340547,0.1618443627093614,0.7773590382678723,0.06079659902276918,0.5079158191411006,-0.7773590382678723,-0.2694432191267717,0.0,CENSOR
183,AG|CONFIRMED_SWING_HIGH|5m|2025-06-11 01:20:00|8942.0009765625|1,AG,1,0,8968.0009765625,0.8130081300813008,0.8130081300813008,0.8130081300812889,0.5290406462845205,0.4420486042547074,0.028910749460771212,0.43011434657277464,-0.4420486042547074,-0.011934257681932736,0.7421874999999895,TARGET
184,AG|CONFIRMED_SWING_LOW|5m|2025-06-11 09:35:00|8850.0009765625|1,AG,-1,0,8823.0009765625,1.090899406077716,1.090899406077716,1.0908994060777522,0.45711208033656675,0.5088436594844659,0.034044260178966224,0.4986632969501264,-0.5088436594844659,-0.01018036253433946,0.9166592068749718,TARGET
185,AG|CONFIRMED_SWING_HIGH|5m|2025-06-11 21:55:00|8931.0009765625|1,AG,1,0,8968.0009765625,0.8130081300813008,0.8130081300813008,0.8130081300812889,0.48711881215230113,0.4637005413100197,0.04918064653768184,0.396031554595361,-0.4637005413100197,-0.06766898671465871,0.7421874999999895,TARGET
186,AG|CONFIRMED_SWING_LOW|5m|2025-06-12 14:40:00|8795.0009765625|1,AG,-1,0,8788.0009765625,0.09999902344703665,0.09999902344703665,0.09999902344704029,0.6318601748462808,0.34663578842087706,0.021504036732839404,0.0631854004397042,-0.34663578842087706,-0.28345038798117284,0.09999902344704029,TARGET
187,AG|CONFIRMED_SWING_HIGH|5m|2025-06-12 21:35:00|8862.0009765625|1,AG,1,0,8885.0009765625,0.423728813559322,0.423728813559322,0.4237288135593155,0.597744566344902,0.3782412661335819,0.024014167521511087,0.2532815959088529,-0.3782412661335819,-0.12495967022472898,1.6814159292035127,TARGET
188,AG|CONFIRMED_SWING_LOW|5m|2025-06-13 02:25:00|8766.0009765625|1,AG,-1,0,8660.0009765625,1.9262295081967213,1.9262295081967213,1.92622950819675,0.3159164560642718,0.6385515331978793,0.04553201073785429,0.6085275997959425,-0.6385515331978793,-0.030023933401936764,2.051282051282083,TARGET
189,AG|CONFIRMED_SWING_HIGH|5m|2025-06-13 22:40:00|8912.0009765625|1,AG,1,0,8968.0009765625,0.8130081300813008,0.8130081300813008,0.8130081300812889,0.48711881215230113,0.46370054131001925,0.04918064653768184,0.396031554595361,-0.46370054131001925,-0.06766898671465826,0.7421874999999895,TARGET
190,AG|CONFIRMED_SWING_LOW|5m|2025-06-14 01:00:00|8777.0009765625|1,AG,-1,0,8774.0009765625,0.6395348837209303,0.6395348837209303,0.6395348837209032,0.5414402608144129,0.43254303814662975,0.026016701038956702,0.346269934241761,-0.43254303814662975,-0.08627310390486875,-1.1979166666666212,STOP
191,AG|CONFIRMED_SWING_HIGH|5m|2025-06-17 00:55:00|8894.0009765625|1,AG,1,0,8968.0009765625,0.8130081300813008,0.8130081300813008,0.8130081300812889,0.48711881215230113,0.46370054131002014,0.04918064653768184,0.396031554595361,-0.46370054131002014,-0.06766898671465915,0.7421874999999895,TARGET
192,AG|CONFIRMED_SWING_LOW|5m|2025-06-17 02:10:00|8804.0009765625|1,AG,-1,0,8790.0009765625,0.9523809523809524,0.9523809523809524,0.9523809523809249,0.4853464216623642,0.4847903642649758,0.029863214072658018,0.46223468729747635,-0.4847903642649758,-0.02255567696749944,1.0330578512396384,TARGET
194,AG|CONFIRMED_SWING_LOW|5m|2025-06-19 09:05:00|8901.0009765625|1,AG,-1,0,8845.0009765625,4.23728813559322,4.23728813559322,4.237288135593481,0.08049192683099374,0.8474375623905459,0.07207051077846582,0.34106748657202834,-0.8474375623905459,-0.5063700758185176,-1.0937500000000622,STOP
195,AG|CONFIRMED_SWING_HIGH|5m|2025-06-19 21:05:00|8969.0009765625|1,AG,1,0,9025.0009765625,6.249999999999999,6.249999999999999,6.250000000000516,0.02193846999041026,0.8899566102631198,0.08810491974646473,0.13711543744007545,-0.8899566102631198,-0.7528411728230443,-1.0,STOP
