sample,remaining_bin,n_edges,n_signals,mean_edge_index,mean_elapsed_bars,mean_remaining_bars,actual_NEXT,pred_NEXT,resid_NEXT,actual_LOSS,pred_LOSS,resid_LOSS,actual_CENSOR,pred_CENSOR,resid_CENSOR
PRIMARY,00_04,616,522,5.574675324675325,31.493506493506494,2.5064935064935066,0.23863636363636365,0.6509927081332985,-0.4123563444969349,0.008116883116883116,0.044047520458463364,-0.03593063734158024,0.7532467532467533,0.30495977140823816,0.44828698183851523
PRIMARY,05_09,1048,865,4.7748091603053435,27.000954198473284,6.999045801526718,0.3320610687022901,0.6183723282360255,-0.28631125953373543,0.008587786259541985,0.05838828237067894,-0.04980049611113695,0.6593511450381679,0.3232393893932956,0.33611175564487233
PRIMARY,10_14,1245,1061,4.072289156626506,22.004016064257026,11.995983935742972,0.4072289156626506,0.5925015922387837,-0.18527267657613314,0.05783132530120482,0.09334607459255456,-0.03551474929134975,0.5349397590361445,0.3141523331686617,0.22078742586748287
PRIMARY,15_19,1548,1221,3.791989664082687,16.929586563307492,17.070413436692508,0.4928940568475452,0.5962394412080939,-0.10334538436054876,0.08074935400516796,0.10074345874494336,-0.01999410473977539,0.4263565891472868,0.30301710004696264,0.12333948910032416
PRIMARY,20_24,2247,1839,3.3368936359590564,11.808633733867378,22.191366266132622,0.5269247886070316,0.5895904298898333,-0.06266564128280167,0.16733422340898976,0.1370582140816773,0.03027600932731249,0.30574098798397864,0.2733513560284894,0.03238963195548918
PRIMARY,25_29,3928,3085,2.719195519348269,6.732688391038696,27.267311608961304,0.5425152749490835,0.5721540809171807,-0.029638805968097193,0.21970468431771895,0.1907374332195386,0.028967251098180345,0.23778004073319756,0.2371084858632807,0.0006715548699168598
PRIMARY,30_34,12255,9731,1.6412076703386373,1.798939208486332,32.20106079151367,0.4824969400244798,0.5202895609446698,-0.03779262092019004,0.3909424724602203,0.34045205209565593,0.05049042036456438,0.1265605875152999,0.1392583869596742,-0.012697799444374333
SECONDARY,00_04,1078,619,5.385899814471243,31.947124304267163,2.0528756957328387,0.4313543599257885,0.6967871627880067,-0.26543280286221826,0.00463821892393321,0.0407341189797953,-0.036095900055862086,0.5640074211502782,0.2624787182321979,0.30152870291808037
SECONDARY,05_09,1429,868,4.814555633310007,26.975507347795663,7.024492652204339,0.510146955913226,0.6599906064651178,-0.14984365055189175,0.006298110566829951,0.05040360905119341,-0.044105498484363466,0.483554933519944,0.2896057844836888,0.19394914903625526
SECONDARY,10_14,1804,1069,4.247228381374723,22.164634146341463,11.835365853658537,0.5909090909090909,0.6410023973754763,-0.05009330646638546,0.03991130820399113,0.08155701400291615,-0.041645705798925015,0.369179600886918,0.2774405886216075,0.09173901226531048
SECONDARY,15_19,2109,1233,3.896633475580844,16.945471787577052,17.054528212422948,0.6277856804172594,0.6453443189932656,-0.017558638576006258,0.05926979611190138,0.0900463096178662,-0.030776513505964817,0.3129445234708393,0.26460937138886814,0.04833515208197108
SECONDARY,20_24,3133,1848,3.5116501755505904,11.796680497925312,22.203319502074688,0.6607085860197893,0.6416598183910834,0.01904876762870589,0.12001276731567188,0.11831080486835156,0.0017019624473203166,0.21927864666453878,0.240029376740565,-0.020750730076026205
SECONDARY,25_29,5281,3094,2.762166256390835,6.75875781102064,27.24124218897936,0.659723537208862,0.6224849987974372,0.03723853841142468,0.1634160196932399,0.1693720695546798,-0.005956049861439882,0.1768604430978981,0.2081429316478829,-0.03128248854998479
SECONDARY,30_34,16157,9745,1.6945596335953457,1.7828185925605,32.2171814074395,0.6074766355140186,0.5682351237980959,0.03924151171592272,0.29652782075880424,0.3067890971500182,-0.010261276391213882,0.09599554372717707,0.12497577905188594,-0.028980235324708836
ROOT,00_04,0,0,,,,,,,,,,,,
ROOT,05_09,0,0,,,,,,,,,,,,
ROOT,10_14,0,0,,,,,,,,,,,,
ROOT,15_19,0,0,,,,,,,,,,,,
ROOT,20_24,0,0,,,,,,,,,,,,
ROOT,25_29,0,0,,,,,,,,,,,,
ROOT,30_34,24954,24954,0.0,0.0,34.0,0.4888995752184019,0.4776686569900972,0.011230918228304639,0.4719483850284524,0.4834345804625622,-0.011486195434109895,0.03915203975314579,0.038896762547340535,0.0002552772058052546
