edge_index,n_train_edges
0,21135
1,9229
2,4896
3,2931
4,1743
5,1042
6,600
7,377
8,247
9,150
10,109
11,74
12,37
13,32
14,30
15,27
16,24
17,12
18,12
19,12
20,10
21,10
22,10
23,10
24,10
25,1
26,1
