model,selected_edge,n,pred_reach,actual_reach,gain_error,ev_error
C0_RAW,0,14778,0.46268218241638925,0.46833130328867234,0.004961918492247614,0.001357244787126722
C0_RAW,1,5868,0.27042616708496686,0.25749829584185413,0.02048488751181347,0.008473594014744802
C0_RAW,2,2748,0.23272327068289816,0.20014556040756915,0.14813962771685651,0.19241300196787867
C0_RAW,3,1229,0.19781769395532298,0.16273393002441008,0.17204309291936667,0.22124975152987905
C0_RAW,4,313,0.1682418590432255,0.10862619808306709,0.38391557880787197,0.4031612114509747
C0_RAW,5p,18,0.10606162975950682,0.05555555555555555,0.7307068410708673,0.3929916827670842
C1_GLOBAL,0,21372,0.514962238221456,0.5036496350364964,0.02695189710964184,0.03283606419402459
C1_GLOBAL,1,2828,0.22855616213249583,0.23125884016973125,-0.0792528319516702,-0.10308270367115169
C1_GLOBAL,2,677,0.10588410643758504,0.07533234859675036,0.15499794645499734,0.18814210014914512
C1_GLOBAL,3,23,0.11587448326944064,0.0,0.6984967304698398,0.8277950791824102
C1_GLOBAL,4,7,0.0927944609603231,0.0,0.7542247046196752,0.9972177174179061
C1_GLOBAL,5p,47,0.014985466651598028,0.0,0.582209357007214,0.5237197077624105
C2_RR_EDGE,0,18405,0.47460426926422017,0.4789459386036403,-0.014901094750996451,-0.02168558330032323
C2_RR_EDGE,1,5113,0.3554206602251418,0.3631918638763935,-0.000956804238855902,0.002397627086034143
C2_RR_EDGE,2,1292,0.1664714425776504,0.16795665634674922,-0.012189092028029855,-0.06769611261853391
C2_RR_EDGE,3,123,0.027603403109661914,0.024390243902439025,0.03475724952362029,-0.12454943584613105
C2_RR_EDGE,5p,21,0.0003181611585617228,0.0,0.018448828830697615,0.31387166058233784
