population,n,pred,actual,gap
TB2_full_nodes_edges0_4,12260,-0.7906082764329949,-0.5023249482914767,-0.28828332814151825
TB2_full_nodes_edges0_4,12260,-0.5973383950853695,-0.39687320711416696,-0.2004651879712025
TB2_full_nodes_edges0_4,12258,-0.40591662620001084,-0.30797723660655757,-0.09793938959345327
TB2_full_nodes_edges0_4,12260,-0.2715490158819956,-0.19846065834178894,-0.07308835754020665
TB2_full_nodes_edges0_4,12260,-0.1746270153082998,-0.10837218921010745,-0.06625482609819235
TB2_full_nodes_edges0_4,12258,-0.09837734777595449,-0.04254126017081256,-0.05583608760514192
TB2_full_nodes_edges0_4,12260,-0.0268750657449441,-0.09195235508252995,0.06507728933758586
TB2_full_nodes_edges0_4,12262,0.046067557775925895,-0.07094905537409626,0.11701661315002215
TB2_full_nodes_edges0_4,12256,0.12956284315993064,-0.05505993185550846,0.1846227750154391
TB2_full_nodes_edges0_4,12260,0.28090571010963483,-0.02434044074892056,0.3052461508585554
