selected_edge,n,mean_rr_ref,mean_pred_delta,mean_oracle_delta,mean_selection_error_delta,mean_execution_drag
1,5868,3.5099051956917497,0.054162934489804124,-0.037161105624826746,0.09132404011463086,-0.014339892899539025
2,2748,4.1946838164519304,0.11259505899391067,0.0008048141771924552,0.11179024481671819,-0.02670697249467426
3,1229,4.668358634795574,0.17300524063250763,-0.10920821865679316,0.28221345928930075,-0.010642895493831196
4,313,5.7093717817641245,0.196972813872499,-0.24506303398825585,0.44203584786075484,0.03099603792821308
5+,18,13.32037461906366,0.3674909988076458,-0.10723948572004259,0.4747304845276883,0.011577943317195076
