outcome,observed_day_equal_mean,bootstrap_mean,ci_lo,ci_hi,p_diff_gt_0,n_days
next,-0.3162797734067411,-0.3163746426099831,-0.365255439297568,-0.2703916016602068,0.0,97
loss,-0.10079015330296319,-0.10109241106795008,-0.12704373370467023,-0.07464083722750595,0.0,97
censor,0.41706992670970433,0.41581277138571526,0.3743456510564749,0.4588234924090595,1.0,97
