model,rr_bin,n,pred_reach,actual_reach,gain_error,ev_error
C0_RAW,0_1p5,25802,0.5227531210637213,0.5742965661576622,-0.025846677684545547,-0.057863508793432716
C0_RAW,1p5_2,9468,0.33613804777056816,0.3520278833967047,-0.02632467681675257,-0.0376009644117302
C0_RAW,2_3,17969,0.24426723384504914,0.2401357894151038,0.013108122370337691,0.006608012070564335
C0_RAW,3_4,18230,0.1607918238547812,0.1565002742731761,0.01635025207135415,-0.021036735487020397
C0_RAW,4_6,34604,0.09677907191156854,0.0933996069818518,0.018196908815010484,-0.029736668882192393
C0_RAW,6p,643490,0.006348925412248431,0.004043574880728527,0.035397673312262824,0.020436027949157304
C1_GLOBAL,0_1p5,25802,0.5347900344777594,0.5742965661576622,-0.02501373233791549,-0.06083665904916662
C1_GLOBAL,1p5_2,9468,0.31036191107301014,0.3520278833967047,-0.07167495798151012,-0.120113360836991
C1_GLOBAL,2_3,17969,0.21521285891793526,0.2401357894151038,-0.05903739130000846,-0.0949814629166736
C1_GLOBAL,3_4,18230,0.1364945348433084,0.1565002742731761,-0.06761210712950967,-0.11881484579248837
C1_GLOBAL,4_6,34604,0.08182208170508967,0.0933996069818518,-0.0541295777126551,-0.10042269118641874
C1_GLOBAL,6p,643490,0.007065991689389146,0.004043574880728527,0.05916202120201559,0.04092351742599802
C2_RR_EDGE,0_1p5,25802,0.558020040122549,0.5742965661576622,-0.005192560851276944,-0.01575498523493187
C2_RR_EDGE,1p5_2,9468,0.3273926176379204,0.3520278833967047,-0.0419660449438945,-0.06719749473991937
C2_RR_EDGE,2_3,17969,0.2255219324010989,0.2401357894151038,-0.03413252601744438,-0.0503502527480415
C2_RR_EDGE,3_4,18230,0.13984967421978262,0.1565002742731761,-0.05673291277448709,-0.09297327216969858
C2_RR_EDGE,4_6,34604,0.07787141215791904,0.0933996069818518,-0.07452897263433042,-0.11358853129438438
C2_RR_EDGE,6p,643490,0.005264347638848357,0.004043574880728527,0.027389666077888772,0.009647504936843606
