datetime,mom_val,sqzOn,sqzOff,noSqz,bcolor,scolor
2025-07-23 09:00:00,,False,False,True,maroon,blue
2025-07-23 09:15:00,,False,False,True,maroon,blue
2025-07-23 09:30:00,,False,False,True,maroon,blue
2025-07-23 09:45:00,,False,False,True,maroon,blue
2025-07-23 10:00:00,,False,False,True,maroon,blue
2025-07-23 10:30:00,,False,False,True,maroon,blue
2025-07-23 10:45:00,,False,False,True,maroon,blue
2025-07-23 11:00:00,,False,False,True,maroon,blue
2025-07-23 11:15:00,,False,False,True,maroon,blue
2025-07-23 13:30:00,,False,False,True,maroon,blue
2025-07-23 13:45:00,,False,False,True,maroon,blue
2025-07-23 14:00:00,,False,False,True,maroon,blue
2025-07-23 14:15:00,,False,False,True,maroon,blue
2025-07-23 14:30:00,,False,False,True,maroon,blue
2025-07-23 14:45:00,,False,False,True,maroon,blue
2025-07-23 21:00:00,,False,False,True,maroon,blue
2025-07-23 21:15:00,,False,False,True,maroon,blue
2025-07-23 21:30:00,,False,False,True,maroon,blue
2025-07-23 21:45:00,,False,False,True,maroon,blue
2025-07-23 22:00:00,,True,False,False,maroon,black
2025-07-23 22:15:00,,True,False,False,maroon,black
2025-07-23 22:30:00,,True,False,False,maroon,black
2025-07-23 22:45:00,,True,False,False,maroon,black
2025-07-23 23:00:00,,True,False,False,maroon,black
2025-07-23 23:15:00,,True,False,False,maroon,black
2025-07-23 23:30:00,,True,False,False,maroon,black
2025-07-23 23:45:00,,True,False,False,maroon,black
2025-07-24 00:00:00,,True,False,False,maroon,black
2025-07-24 00:15:00,,True,False,False,maroon,black
2025-07-24 00:30:00,,True,False,False,maroon,black
2025-07-24 00:45:00,,False,True,False,maroon,gray
2025-07-24 01:00:00,,False,True,False,maroon,gray
2025-07-24 01:15:00,,False,True,False,maroon,gray
2025-07-24 01:30:00,,False,True,False,maroon,gray
2025-07-24 01:45:00,,False,True,False,maroon,gray
2025-07-24 02:00:00,,False,True,False,maroon,gray
2025-07-24 02:15:00,,False,True,False,maroon,gray
2025-07-24 09:00:00,,False,True,False,maroon,gray
2025-07-24 09:15:00,-48.82285714285673,False,True,False,red,gray
2025-07-24 09:30:00,-46.09821428571411,False,True,False,maroon,gray
2025-07-24 09:45:00,-49.35892857142845,False,True,False,red,gray
2025-07-24 10:00:00,-52.52607142857148,False,True,False,red,gray
2025-07-24 10:30:00,-53.37035714285725,False,True,False,red,gray
2025-07-24 10:45:00,-50.90500000000024,False,True,False,maroon,gray
2025-07-24 11:00:00,-53.487142857143,False,True,False,red,gray
2025-07-24 11:15:00,-59.07035714285723,False,True,False,red,gray
2025-07-24 13:30:00,-59.15964285714311,False,True,False,red,gray
2025-07-24 13:45:00,-56.12964285714295,False,True,False,maroon,gray
2025-07-24 14:00:00,-56.18607142857164,False,True,False,red,gray
2025-07-24 14:15:00,-54.50642857142863,False,True,False,maroon,gray
2025-07-24 14:30:00,-45.57892857142869,False,True,False,maroon,gray
2025-07-24 14:45:00,-35.01357142857174,False,True,False,maroon,gray
2025-07-24 21:00:00,-33.58000000000021,False,True,False,maroon,gray
2025-07-24 21:15:00,-31.757142857143048,False,True,False,maroon,gray
2025-07-24 21:30:00,-26.22285714285745,False,True,False,maroon,gray
2025-07-24 21:45:00,-18.67892857142877,True,False,False,maroon,black
2025-07-24 22:00:00,-10.251785714285766,True,False,False,maroon,black
2025-07-24 22:15:00,-0.7257142857142611,True,False,False,maroon,black
2025-07-24 22:30:00,8.415714285714316,True,False,False,lime,black
2025-07-24 22:45:00,15.8407142857142,True,False,False,lime,black
2025-07-24 23:00:00,20.2671428571428,True,False,False,lime,black
2025-07-24 23:15:00,25.110714285714096,True,False,False,lime,black
2025-07-24 23:30:00,28.987857142856924,True,False,False,lime,black
2025-07-24 23:45:00,32.00035714285704,True,False,False,lime,black
2025-07-25 00:00:00,31.81142857142858,True,False,False,green,black
2025-07-25 00:15:00,28.374285714285747,True,False,False,green,black
2025-07-25 00:30:00,27.56107142857134,True,False,False,green,black
2025-07-25 00:45:00,24.48214285714273,True,False,False,green,black
2025-07-25 01:00:00,21.909642857142696,True,False,False,green,black
2025-07-25 01:15:00,20.622857142857175,True,False,False,green,black
2025-07-25 01:30:00,22.723571428571578,True,False,False,lime,black
2025-07-25 01:45:00,25.676071428571646,True,False,False,lime,black
2025-07-25 02:00:00,22.8435714285717,True,False,False,green,black
2025-07-25 02:15:00,19.14535714285755,True,False,False,green,black
2025-07-25 09:00:00,17.935000000000453,True,False,False,green,black
2025-07-25 09:15:00,19.45178571428624,True,False,False,lime,black
2025-07-25 09:30:00,20.408928571429094,True,False,False,lime,black
2025-07-25 09:45:00,27.886428571428926,False,True,False,lime,gray
2025-07-25 10:00:00,33.6353571428573,False,True,False,lime,gray
2025-07-25 10:30:00,36.005357142857115,False,True,False,lime,gray
2025-07-25 10:45:00,33.002499999999955,False,True,False,green,gray
2025-07-25 11:00:00,26.671785714285534,False,True,False,green,gray
2025-07-25 11:15:00,21.959285714285475,False,True,False,green,gray
2025-07-25 13:30:00,15.193571428571104,False,True,False,green,gray
2025-07-25 13:45:00,9.238214285714069,False,True,False,green,gray
2025-07-25 14:00:00,2.9621428571427018,False,True,False,green,gray
2025-07-25 14:15:00,-3.5360714285715495,False,True,False,red,gray
2025-07-25 14:30:00,-8.453214285714498,False,True,False,red,gray
2025-07-25 14:45:00,-11.5000000000001,False,True,False,red,gray
2025-07-25 21:00:00,-22.090000000000067,False,True,False,red,gray
2025-07-25 21:15:00,-30.22142857142874,False,True,False,red,gray
2025-07-25 21:30:00,-36.98071428571431,False,True,False,red,gray
2025-07-25 21:45:00,-43.003928571428595,False,True,False,red,gray
2025-07-25 22:00:00,-52.78321428571418,False,True,False,red,gray
2025-07-25 22:15:00,-59.13357142857109,False,True,False,red,gray
2025-07-25 22:30:00,-67.44499999999975,False,True,False,red,gray
2025-07-25 22:45:00,-83.9557142857139,False,True,False,red,gray
2025-07-25 23:00:00,-98.91142857142817,False,True,False,red,gray
2025-07-25 23:15:00,-112.36928571428548,False,True,False,red,gray
2025-07-25 23:30:00,-128.27214285714285,False,True,False,red,gray
2025-07-25 23:45:00,-137.46321428571432,False,True,False,red,gray
2025-07-26 00:00:00,-144.825,False,True,False,red,gray
2025-07-26 00:15:00,-149.30464285714288,False,True,False,red,gray
2025-07-26 00:30:00,-150.58000000000013,False,True,False,red,gray
2025-07-26 00:45:00,-149.57642857142878,False,True,False,maroon,gray
2025-07-26 01:00:00,-145.23071428571438,False,True,False,maroon,gray
2025-07-26 01:15:00,-138.4603571428573,False,True,False,maroon,gray
2025-07-26 01:30:00,-128.94535714285726,False,True,False,maroon,gray
2025-07-26 01:45:00,-115.54214285714295,False,True,False,maroon,gray
2025-07-26 02:00:00,-105.10892857142862,False,True,False,maroon,gray
2025-07-26 02:15:00,-93.64535714285729,False,True,False,maroon,gray
2025-07-28 09:00:00,-76.45357142857159,False,True,False,maroon,gray
2025-07-28 09:15:00,-58.35928571428589,False,True,False,maroon,gray
2025-07-28 09:30:00,-40.74178571428577,False,True,False,maroon,gray
2025-07-28 09:45:00,-23.45178571428562,False,True,False,maroon,gray
2025-07-28 10:00:00,-3.292857142857173,True,False,False,maroon,black
2025-07-28 10:30:00,13.299285714285702,True,False,False,lime,black
2025-07-28 10:45:00,26.49357142857147,False,True,False,lime,gray
2025-07-28 11:00:00,35.05642857142874,False,True,False,lime,gray
2025-07-28 11:15:00,36.81535714285715,False,True,False,lime,gray
2025-07-28 13:30:00,38.28928571428557,False,True,False,lime,gray
