block,oracle_relation,n,rate
TB1,REVERSAL,1823,0.4263
TB1,CONTINUATION,2453,0.5737
TB2,REVERSAL,2019,0.3766
TB2,CONTINUATION,3342,0.6234
TB3,REVERSAL,1925,0.4127
TB3,CONTINUATION,2739,0.5873
TB4,REVERSAL,1759,0.3823
TB4,CONTINUATION,2842,0.6177
ALL,REVERSAL,7526,0.3982
ALL,CONTINUATION,11376,0.6018
