block,switch_type,n
TB1,SHORT_TO_LONG,1930
TB1,LONG_TO_SHORT,2072
TB1,NO_SWITCH,0
TB1,MULTI_SWITCH,279
TB1,INSUFFICIENT,0
TB2,SHORT_TO_LONG,2376
TB2,LONG_TO_SHORT,2638
TB2,NO_SWITCH,0
TB2,MULTI_SWITCH,438
TB2,INSUFFICIENT,0
TB3,SHORT_TO_LONG,2265
TB3,LONG_TO_SHORT,2173
TB3,NO_SWITCH,0
TB3,MULTI_SWITCH,342
TB3,INSUFFICIENT,0
TB4,SHORT_TO_LONG,1890
TB4,LONG_TO_SHORT,1777
TB4,NO_SWITCH,0
TB4,MULTI_SWITCH,315
TB4,INSUFFICIENT,0
ALL,SHORT_TO_LONG,8461
ALL,LONG_TO_SHORT,8660
ALL,NO_SWITCH,0
ALL,MULTI_SWITCH,1374
ALL,INSUFFICIENT,0
