block,min_day,max_day,n_days,n_contacts,n_symbols
TB1,2025-01-02,2025-06-09,102,22688,15
TB2,2025-06-10,2025-11-06,102,25903,15
TB3,2025-11-07,2026-04-10,102,24440,15
TB4,2026-04-13,2026-09-04,101,23869,15
