block,metric,n,observed_rate,baseline_rate,delta_pp
TB1,align_4h,1582,0.4798,0.4753,0.0044
TB2,align_4h,2330,0.473,0.4903,-0.0173
TB3,align_4h,2158,0.475,0.5011,-0.0261
TB4,align_4h,1771,0.4822,0.4911,-0.0089
ALL,align_4h,7841,0.477,0.4904,-0.0134
TB1,align_1h,3077,0.5278,0.5205,0.0073
TB2,align_1h,5361,0.4954,0.496,-0.0006
TB3,align_1h,4664,0.5107,0.5156,-0.0049
TB4,align_1h,4601,0.521,0.4991,0.0219
ALL,align_1h,17703,0.5117,0.5062,0.0055
TB1,align_15m,3917,0.4777,0.5022,-0.0245
TB2,align_15m,5361,0.4895,0.5027,-0.0132
TB3,align_15m,4664,0.482,0.5098,-0.0278
TB4,align_15m,4601,0.511,0.5047,0.0063
ALL,align_15m,18543,0.4904,0.5048,-0.0144
TB1,align_5m,4235,0.5115,0.5249,-0.0135
TB2,align_5m,5361,0.574,0.5476,0.0263
TB3,align_5m,4664,0.5467,0.5327,0.0141
TB4,align_5m,4601,0.5838,0.5464,0.0374
ALL,align_5m,18861,0.5556,0.5385,0.0171
