sequence,n
LLLLLLS,1243
SSSSSSL,1125
TLLLLLS,822
TSSSSSL,798
LLLLSSS,780
SSSSSLL,773
SSSSLLL,708
LLLLLSS,657
TLLLSSS,604
TSSSLLL,532
TTLLLLS,527
TSSSSLL,502
TTSSSSL,486
TLLLLSS,461
TTTSSSL,418
TTTTLLS,356
TTTTSSL,355
LLLSSSS,353
TTLLSSS,322
TTLLLSS,303
