block,n,p25,median,p75
TB1,4002,0.625,1.25,1.75
TB2,5014,0.625,1.25,1.75
TB3,4438,0.625,1.25,1.75
TB4,3667,0.625,1.25,1.75
ALL,17121,0.625,1.25,1.75
