block,nd_subtype,n,share_of_no_direction
TB1,NO_REACH,10324,0.8783
TB1,BALANCED_BIDIRECTIONAL,23,0.002
TB1,WEAK_OR_TIED,1408,0.1198
TB1,NO_REACH / NO_DIRECTION,11755,0.8783
TB2,NO_REACH,11688,0.8448
TB2,BALANCED_BIDIRECTIONAL,45,0.0033
TB2,WEAK_OR_TIED,2103,0.152
TB2,NO_REACH / NO_DIRECTION,13836,0.8448
TB3,NO_REACH,11058,0.8542
TB3,BALANCED_BIDIRECTIONAL,56,0.0043
TB3,WEAK_OR_TIED,1832,0.1415
TB3,NO_REACH / NO_DIRECTION,12946,0.8542
TB4,NO_REACH,11499,0.8647
TB4,BALANCED_BIDIRECTIONAL,95,0.0071
TB4,WEAK_OR_TIED,1705,0.1282
TB4,NO_REACH / NO_DIRECTION,13299,0.8647
ALL,NO_REACH,44569,0.8598
ALL,BALANCED_BIDIRECTIONAL,219,0.0042
ALL,WEAK_OR_TIED,7048,0.136
ALL,NO_REACH / NO_DIRECTION,51836,0.8598
