block,state,n,observed_restore_rate,matched_baseline_rate,delta_pp
TB1,LONG,334,0.5778,0.5815,-0.0037
TB1,SHORT,334,0.515,0.512,0.0029
TB2,LONG,536,0.3545,0.3545,0.0
TB2,SHORT,539,0.4119,0.4112,0.0007
TB3,LONG,337,0.5727,0.5761,-0.0034
TB3,SHORT,568,0.4014,0.3993,0.0021
TB4,LONG,308,0.4221,0.4276,-0.0055
TB4,SHORT,600,0.4417,0.4417,0.0
ALL,LONG,1515,0.466,0.4682,-0.0022
ALL,SHORT,2041,0.4346,0.4334,0.0012
