wf,n_signals,EV_market,EV_limit,EV_reassess,EV_oracle,oracle_headroom_per_signal,oracle_total_extra_R,reassess_capture_ratio,share_headroom_positive,median_headroom,p90_headroom,p95_headroom,oracle_tie_rate,EV_oracle_R_lower,headroom_R_lower_vs_reassess
WF1,3160,0.010376171415190495,-0.005963576795068442,0.03422629662265308,0.4587483434866781,0.4245220468640251,1341.4896680903194,0.07460800046168886,0.5306962025316456,0.2,1.0,1.000000000000091,0.47151898734177217,0.4587483434866781,0.4096486291425061
WF2,2847,0.03311778492054007,-0.01604594036651694,0.044368531006858544,0.49869942628584674,0.4543308952789882,1293.4800588592793,0.0889684821522678,0.5451352300667369,0.25,1.0,1.3333333333333333,0.4594309799789252,0.49869942628584674,0.4490621913801473
WF3,3008,0.043795014083593584,0.058922314077136946,0.10413508003458376,0.535570643551673,0.4314355635170893,1297.7581750594045,0.1944376176856986,0.5545212765957447,0.26785714285714285,1.0,1.1428571428571428,0.4454787234042553,0.535570643551673,0.4231243933043233
