decision_time,fold,q10,q50,q90,width,width_percentile_train,actual_return,panel_index,quantile_crossed,top30_train,valid_until
2026-06-24 21:15:00,5,-0.003052893277060974,-3.6760594828826736e-06,0.0032795420238573565,0.006332435300918331,0.41136974037600715,0.0,8077,False,False,2026-06-24 21:30:00
2026-06-24 21:30:00,5,-0.002844489648960404,0.00021980109559874812,0.002978018072351106,0.00582250772131151,0.10026857654431513,0.006439608764110538,8078,False,False,2026-06-24 21:45:00
2026-06-24 21:45:00,5,-0.00262148999333159,0.0002531134582436359,0.002818993046663505,0.005440483039995095,0.01611459265890779,0.006107925334269737,8079,False,False,2026-06-24 22:00:00
2026-06-24 22:00:00,5,-0.003062861468000462,8.141463112954758e-05,0.003086372237567464,0.006149233705567926,0.28692927484333036,0.0027100287588650573,8080,False,False,2026-06-24 22:15:00
2026-06-25 09:15:00,5,-0.00628347708382606,0.0012360730877812632,0.004442851016563201,0.01072632810038926,0.9776186213070726,-0.002389487397381096,8085,False,True,2026-06-25 09:30:00
2026-06-25 13:45:00,5,-0.0034132048472278183,-0.0006617304226605929,0.003174773605119629,0.006587978452347447,0.5846016114592659,0.0020318327342270237,8094,False,False,2026-06-25 14:00:00
2026-06-25 14:00:00,5,-0.003100015980688215,-0.0004279877596876225,0.003598306257795305,0.00669832223848352,0.6477170993733214,0.00236926832780604,8095,False,False,2026-06-25 14:15:00
2026-06-25 21:15:00,5,-0.003832898197450717,-0.00034254345142031487,0.0037281844410645922,0.007561082638515309,0.8585496866606983,-0.0003374388424122188,8100,False,True,2026-06-25 21:30:00
2026-06-25 21:30:00,5,-0.003919989880156999,-9.534803772267631e-05,0.0035701490656865785,0.007490138945843577,0.8540734109221128,0.0013481633319347708,8101,False,True,2026-06-25 21:45:00
2026-06-25 21:45:00,5,-0.003498079584274732,-3.158099070174323e-05,0.0033580727207016196,0.006856152304976352,0.7273948075201433,0.0006738544729385509,8102,False,True,2026-06-25 22:00:00
2026-06-25 22:00:00,5,-0.003351312994526432,9.089218741932023e-05,0.0033803362278130417,0.006731649222339474,0.6651745747538048,0.0013490727172564831,8103,False,False,2026-06-25 22:15:00
