horizon,approx_minutes,feature,folds,median_q50_high_minus_low,mean_q50_high_minus_low,q50_spread_sign_consistency,median_width_high_minus_low,width_spread_sign_consistency,median_asym_high_minus_low,asym_spread_sign_consistency,median_positive_rate_high_minus_low,median_q50_bin_monotonicity,median_width_bin_monotonicity,median_asym_bin_monotonicity
4,60,feat_15m_location_32,5,-0.0008017395210771502,-0.0008824507952846,0.6,-0.0014964523911420655,0.6,0.004714750911025281,0.6,-0.02638339920948607,-0.3,-0.09999999999999999,0.3
4,60,feat_15m_oi_log_change_4,5,-0.00106650858652535,-0.00022888406144231025,0.6,0.0009509912670657983,0.6,-0.0009331807708162932,0.6,-0.030923994038748126,-0.19999999999999998,-0.19999999999999998,-0.09999999999999999
4,60,feat_15m_ret_1,5,-0.0007799288955088,-0.0007214606625958657,0.8,0.0020406665845018428,0.6,-0.0007642148136521674,0.6,-0.020594965675057197,-0.39999999999999997,0.19999999999999998,0.09999999999999999
4,60,feat_15m_ret_16,5,-0.0017032229759543498,-0.0006077439874356279,0.8,-0.001392736016205284,0.6,-0.005354612131547582,0.6,-0.11535029004908526,-0.3,-0.3,-0.19999999999999998
4,60,feat_15m_ret_4,5,-0.0006751270231635,-0.00036332540690975,0.8,0.004210105424686524,0.6,0.0006227785113947434,0.6,-0.018099547511312153,-0.19999999999999998,0.09999999999999999,0.09999999999999999
4,60,feat_15m_ret_8,5,-0.0009634063436201402,-0.00025378472945237666,0.6,-0.0015202664761733396,0.6,0.002718638985983907,0.8,-0.02567421790722757,-0.3,-0.09999999999999999,0.3
4,60,feat_15m_volume_ratio_32,5,0.0018859836220223,0.0014305313663161236,0.8,0.00032532465178993983,0.6,-0.0008710519407362696,0.8,0.10071474983755685,0.49999999999999994,0.09999999999999999,-0.3
4,60,feat_5m_1h_jump_share,5,0.0008273034230095001,0.0005426128688744386,0.8,-0.0030080732906982224,0.6,-0.0007282906784457227,0.6,0.05410999408633943,0.39999999999999997,-0.19999999999999998,-0.19999999999999998
4,60,feat_5m_1h_max_abs_return,5,0.0015858246009383,0.0015030057729686244,0.8,0.005212495295812306,0.8,-0.0007676226723516968,0.6,0.10746268656716418,0.7,0.49999999999999994,0.19999999999999998
4,60,feat_5m_1h_neg_semivar_share,5,0.000935844227998,0.0008964457055573701,0.8,-0.004173126801455382,0.6,-0.00069219441180772,0.6,0.0874609549308345,0.3,-0.49999999999999994,-0.19999999999999998
4,60,feat_5m_1h_positive_return_share,5,0.0005202630601287498,0.00015950061885702997,0.6,0.0023026657865948385,0.8,0.0017814308741970755,0.6,0.035973084886128326,0.49999999999999994,0.7999999999999999,0.19999999999999998
4,60,feat_5m_1h_ret_sum,5,-0.0006751270231635,-0.00036332540690975,0.8,0.004210105424686524,0.6,0.0006227785113947434,0.6,-0.018099547511312153,-0.19999999999999998,0.09999999999999999,0.09999999999999999
4,60,feat_5m_1h_rv,5,0.0002452373277123499,0.0005305825436774201,0.6,0.006149322443697135,0.6,0.0023973997087178445,0.6,0.03774605234696082,0.3,0.0,0.3
