horizon,approx_minutes,feature,fold,train_rows,test_rows,purge_rows,state_bin,feature_min,feature_max,n,q10,q50,q90,width_90_10,asym_90_plus_10,mean,positive_rate,norm_q10,norm_q50,norm_q90,baseline_q10,baseline_q50,baseline_q90
4,60,feat_15m_ret_1,0,1000,450,4,1,-0.055632920511055,-0.0023023121831862,115,-0.014120950386388019,-0.0011523184099469,0.011780226247948826,0.025901176634336845,-0.002340724138439193,-0.0014240595487843206,0.45217391304347826,-1.3866964167708422,-0.0768986999734649,0.9609664521534242,-0.013335218261450368,-0.0010512340440892,0.0111461172860627
4,60,feat_15m_ret_1,0,1000,450,4,2,-0.0022813945950872,-0.0006457862671958,79,-0.011521592528564899,-0.0006048184049161,0.012968722182963261,0.024490314711528162,0.001447129654398362,-0.0006393873490714487,0.45569620253164556,-1.4806461419914703,-0.0648443527732625,1.0943306711335443,-0.013335218261450368,-0.0010512340440892,0.0111461172860627
4,60,feat_15m_ret_1,0,1000,450,4,3,-0.0006317784773699,0.0007060485113274,87,-0.0126971794211984,-0.0017233699110092,0.010979955616551906,0.023677135037750305,-0.001717223804646494,-0.0021102741027235576,0.41379310344827586,-1.5405087776103537,-0.1565865171753011,0.9395489607480406,-0.013335218261450368,-0.0010512340440892,0.0111461172860627
4,60,feat_15m_ret_1,0,1000,450,4,4,0.000712631421571,0.0024289543154036,74,-0.013807547933182309,-9.870296326770003e-05,0.010704999413922183,0.024512547347104494,-0.0031025485192601263,0.00012943738008555137,0.5,-1.5090250878127454,0.0033163165220886012,0.9221250860091187,-0.013335218261450368,-0.0010512340440892,0.0111461172860627
4,60,feat_15m_ret_1,0,1000,450,4,5,0.0024382431072123,0.0347941611700708,95,-0.01276219277106778,-0.0019322473054557,0.009657253818976419,0.022419446590044197,-0.0031049389520913604,-0.001685516766070112,0.43157894736842106,-1.0710374962461722,-0.1170625503302649,0.7692507901631388,-0.013335218261450368,-0.0010512340440892,0.0111461172860627
4,60,feat_15m_ret_1,1,1450,450,4,1,-0.0352715898562845,-0.0024574349737562,89,-0.0066802732205233795,0.0007288388594957,0.011175620838551501,0.01785589405907488,0.004495347618028122,0.0018233001748831953,0.5168539325842697,-0.7063350490474625,0.1203346981566439,1.478683971509459,-0.00794898013442538,-0.0006248779804781,0.010189694516449974
4,60,feat_15m_ret_1,1,1450,450,4,2,-0.0024536448918226,-0.0007747297637195,85,-0.008660043338133019,-0.0012806256594661,0.009600604013597748,0.018260647351730767,0.0009405606754647293,-0.0008590099708096781,0.4,-0.9992544501252558,-0.1797246290496047,1.2132696836633774,-0.00794898013442538,-0.0006248779804781,0.010189694516449974
4,60,feat_15m_ret_1,1,1450,450,4,3,-0.0007293220943189,0.000638682915655,93,-0.012117720273503099,-0.0015766656793949,0.004228064749295759,0.016345785022798858,-0.00788965552420734,-0.002057626196888603,0.40860215053763443,-1.822720432443386,-0.2084178223431763,0.6612976835582928,-0.00794898013442538,-0.0006248779804781,0.010189694516449974
4,60,feat_15m_ret_1,1,1450,450,4,4,0.0006629981015908,0.0024284487216394,98,-0.00705066573899903,0.00042745392894715,0.011819245217403478,0.01886991095640251,0.004768579478404448,0.0009479456738889447,0.5204081632653061,-1.2084114687610574,0.04736578125398255,1.3694102007820106,-0.00794898013442538,-0.0006248779804781,0.010189694516449974
4,60,feat_15m_ret_1,1,1450,450,4,5,0.0025046976150093,0.0253195453003627,85,-0.00826256073467114,-0.001477572828189,0.011633999908905584,0.019896560643576724,0.0033714391742344432,0.0006333267562181413,0.43529411764705883,-1.201946126193874,-0.1347915087850706,1.4219126896907412,-0.00794898013442538,-0.0006248779804781,0.010189694516449974
4,60,feat_15m_ret_1,2,1900,450,4,1,-0.0406395377391994,-0.0024744613000553,79,-0.00536022044156464,0.0008428150519973,0.008950672244632061,0.0143108926861967,0.0035904518030674213,0.0007402351955382443,0.5569620253164557,-0.6235159291798181,0.0918986001033362,1.1030303177944683,-0.00899180414671229,-0.00028311364846585,0.009799676000810893
4,60,feat_15m_ret_1,2,1900,450,4,2,-0.002456333112768,-0.0007122000158616,99,-0.008671935584588399,-0.0005036152486024,0.009040097183661562,0.01771203276824996,0.00036816159907316313,4.9490395270920414e-05,0.47474747474747475,-1.4583978109763651,-0.0772855911131741,1.1751068442864145,-0.00899180414671229,-0.00028311364846585,0.009799676000810893
4,60,feat_15m_ret_1,2,1900,450,4,3,-0.0006595097883117,0.0006630567156395,92,-0.010596926054032311,-0.0009384314540371501,0.01162052897530428,0.022217455029336593,0.0010236029212719686,-0.00017539645995913987,0.42391304347826086,-1.7656465241750072,-0.127465675997892,1.6368235669020368,-0.00899180414671229,-0.00028311364846585,0.009799676000810893
4,60,feat_15m_ret_1,2,1900,450,4,4,0.000697252852122,0.00242575577243,97,-0.008060473907924116,-0.0009495388667861,0.008213205880818421,0.016273679788742536,0.00015273197289430475,-0.0011429579925268888,0.41237113402061853,-1.1654178329525342,-0.1517977576139122,1.3012226555419202,-0.00899180414671229,-0.00028311364846585,0.009799676000810893
4,60,feat_15m_ret_1,2,1900,450,4,5,0.0024977229713254,0.023528873739675,83,-0.007599678256340539,0.0004987708963707,0.009969333599125498,0.017569011855466037,0.0023696553427849584,0.0008512087457035162,0.5421686746987951,-0.8704671371325167,0.0744373474622912,1.174748200396817,-0.00899180414671229,-0.00028311364846585,0.009799676000810893
4,60,feat_15m_ret_1,3,2350,450,4,1,-0.0246363474691051,-0.0024378821263084,62,-0.007783617530954549,-0.00015709689332362136,0.007669455964828049,0.015453073495782598,-0.00011416156612649962,0.00011693249543509604,0.4838709677419355,-1.1072700171145937,-0.025070461303112752,1.167925391362562,-0.00651592800689722,0.0005913272495524,0.009226778979549573
4,60,feat_15m_ret_1,3,2350,450,4,2,-0.0023747042780595,-0.0006981290425969,87,-0.00398820011830098,0.0013251303406183,0.010600942969433756,0.014589143087734735,0.006612742851132776,0.00191271686601473,0.5747126436781609,-0.8074355818596026,0.1878662118721043,1.783151303006591,-0.00651592800689722,0.0005913272495524,0.009226778979549573
4,60,feat_15m_ret_1,3,2350,450,4,3,-0.0006876934408754,0.0006587181583288,117,-0.0072554558729726595,0.0002584480210805,0.010784142729325803,0.01803959860229846,0.0035286868563531434,0.0008182731608200811,0.5042735042735043,-1.0616806936094916,0.0446761530717702,1.6178843866812795,-0.00651592800689722,0.0005913272495524,0.009226778979549573
4,60,feat_15m_ret_1,3,2350,450,4,4,0.0006853796336709,0.0023994365781465,105,-0.0057269889712759404,0.0003696174501515,0.007347816261805124,0.013074805233081063,0.0016208272905291832,0.0007468209801954768,0.5428571428571428,-0.8116251594391083,0.0488720429227798,1.423018456544676,-0.00651592800689722,0.0005913272495524,0.009226778979549573
4,60,feat_15m_ret_1,3,2350,450,4,5,0.0024283191161149,0.0159692782106137,79,-0.008288520806953479,0.0006969745252838,0.010114129333905,0.018402650140858477,0.0018256085269515217,0.0006894990151887028,0.5569620253164557,-1.1770301624123616,0.1184172167781259,1.6082014579530401,-0.00651592800689722,0.0005913272495524,0.009226778979549573
4,60,feat_15m_ret_1,4,2800,450,4,1,-0.0329786166770791,-0.0022882597572433,87,-0.01062788029646588,0.0011931751803351,0.00861642164983552,0.0192443019463014,-0.002011458646630361,-0.00039262316855667473,0.5632183908045977,-1.352072259940909,0.094674288974373,1.2398157943936616,-0.008264559369691369,0.0006739652392835,0.00948869160142159
4,60,feat_15m_ret_1,4,2800,450,4,2,-0.0022624444039696,-0.0006166749085423,83,-0.005931096109777259,0.0008440345349446,0.009064598635907759,0.014995694745685018,0.0031335025261305,0.0001722906754650423,0.5783132530120482,-1.0223370631852138,0.1116197181437412,1.024889987672586,-0.008264559369691369,0.0006739652392835,0.00948869160142159
4,60,feat_15m_ret_1,4,2800,450,4,3,-0.0005955216945885,0.0006674960046382,100,-0.00797510099314974,0.00076413297711155,0.011691777703013896,0.019666878696163636,0.0037166767098641557,0.001479826817593286,0.57,-1.12395841616423,0.1471121353899456,2.225096829546588,-0.008264559369691369,0.0006739652392835,0.00948869160142159
4,60,feat_15m_ret_1,4,2800,450,4,4,0.0007016425100481,0.0023370797154331,86,-0.0085169804821937,8.9210536536059e-05,0.0090222020013083,0.017539182483502003,0.0005052215191146004,0.00015964268162580028,0.5116279069767442,-1.1616892846804872,0.013751891747693899,1.2365170489604507,-0.008264559369691369,0.0006739652392835,0.00948869160142159
4,60,feat_15m_ret_1,4,2800,450,4,5,0.0023517362423284,0.0290578891344583,94,-0.00682249552797287,6.218518756845e-05,0.00892066893827031,0.01574316446624318,0.00209817341029744,0.00027504529366537735,0.5,-1.0705845033135821,0.0048627755848895,1.0372469212927802,-0.008264559369691369,0.0006739652392835,0.00948869160142159
4,60,feat_15m_ret_4,0,1000,450,4,1,-0.0581715016058002,-0.0060679030753689,113,-0.01400568426927378,-0.0002870882098236,0.0110330075841695,0.02503869185344328,-0.0029726766851042793,-0.0012153257632032718,0.48672566371681414,-1.3685792528974614,-0.0287870417768677,0.9688032469847573,-0.013335218261450368,-0.0010512340440892,0.0111461172860627
4,60,feat_15m_ret_4,0,1000,450,4,2,-0.0058837825841031,-0.0018604656529195,89,-0.016203339482579657,-0.0006036015072097,0.011708995734651341,0.027912335217231,-0.004494343747928316,-0.0015379540279214145,0.449438202247191,-1.6915159253956882,-0.0768986999734649,1.0065236219574785,-0.013335218261450368,-0.0010512340440892,0.0111461172860627
4,60,feat_15m_ret_4,0,1000,450,4,3,-0.0018060577290448,0.0011888487401527,72,-0.01517794710870497,-0.0032433816653534,0.008773996644988713,0.02395194375369368,-0.006403950463716257,-0.0036365623176966596,0.3611111111111111,-1.8118245084774354,-0.31216697249593917,0.7878975396606834,-0.013335218261450368,-0.0010512340440892,0.0111461172860627
4,60,feat_15m_ret_4,0,1000,450,4,4,0.0013215596324833,0.0050690055032962,73,-0.0075399880975866,-0.0010702183077502,0.008613304175148717,0.016153292272735317,0.0010733160775621168,0.000419807536541504,0.410958904109589,-0.7974881303578504,-0.1168149780598341,0.9195221357847202,-0.013335218261450368,-0.0010512340440892,0.0111461172860627
4,60,feat_15m_ret_4,0,1000,450,4,5,0.0051076360583461,0.0364815106706615,103,-0.01204697160662438,-0.0003221753306001,0.01219388542654222,0.0242408570331666,0.00014691381991784047,-0.0004176870469952943,0.49514563106796117,-1.0540565433998257,-0.0268696099897,0.975953732931478,-0.013335218261450368,-0.0010512340440892,0.0111461172860627
4,60,feat_15m_ret_4,1,1450,450,4,1,-0.0426267082495428,-0.0066645867362638,69,-0.00717518837521916,-0.0005661312160264,0.010131580467080306,0.017306768842299466,0.002956392091861146,0.0009955287110452696,0.4492753623188406,-0.7665987195968684,-0.0498891433214826,1.3346843720421304,-0.00794898013442538,-0.0006248779804781,0.010189694516449974
4,60,feat_15m_ret_4,1,1450,450,4,2,-0.0064546097766786,-0.0019885493575806,115,-0.00578558717529584,-0.0004889463304198,0.005988022066673553,0.011773609241969393,0.00020243489137771256,0.00017813664918920239,0.46956521739130436,-0.8251886541088908,-0.0867831423882298,0.8539349893500664,-0.00794898013442538,-0.0006248779804781,0.010189694516449974
4,60,feat_15m_ret_4,1,1450,450,4,3,-0.0019743343037177,0.0011451282784484,96,-0.0094031106210214,-0.0004069618810515,0.00607985188949725,0.015482962510518651,-0.0033232587315241502,-0.0003128725164327731,0.4583333333333333,-1.7063217343372623,-0.0691393727510673,1.1752312635983442,-0.00794898013442538,-0.0006248779804781,0.010189694516449974
4,60,feat_15m_ret_4,1,1450,450,4,4,0.0012043499737757,0.0053993228255322,96,-0.01173814826508475,-0.00204082293756245,0.00931030131659415,0.0210484495816789,-0.0024278469484905994,-0.0017510923890577,0.3854166666666667,-2.469124654042054,-0.26925666570252665,0.8973538824485023,-0.00794898013442538,-0.0006248779804781,0.010189694516449974
4,60,feat_15m_ret_4,1,1450,450,4,5,0.0054385351753598,0.0474528921738848,74,-0.00807596557743501,0.0011379119640472,0.014876549149134834,0.022952514726569846,0.006800583571699824,0.002075588071121673,0.5405405405405406,-0.9203438130069169,0.10528059009637175,1.953046360868495,-0.00794898013442538,-0.0006248779804781,0.010189694516449974
4,60,feat_15m_ret_4,2,1900,450,4,1,-0.0424853765815189,-0.0065327913201578,65,-0.009349453563210418,0.0014973798655035,0.01036702597251192,0.019716479535722337,0.001017572409301502,0.0010978735361493028,0.5538461538461539,-1.2679050633383753,0.1706808254679136,1.2826774911588104,-0.00899180414671229,-0.00028311364846585,0.009799676000810893
4,60,feat_15m_ret_4,2,1900,450,4,2,-0.006073529089047,-0.0020515633264217,96,-0.0071911733012005,-0.00044889772461164995,0.0082018783062679,0.0153930516074684,0.0010107050050673994,-0.0005364723078492384,0.4791666666666667,-1.1577686186830762,-0.061183865578950156,1.079043557472564,-0.00899180414671229,-0.00028311364846585,0.009799676000810893
4,60,feat_15m_ret_4,2,1900,450,4,3,-0.0020147990280516,0.0010502363997026,99,-0.009934554209023859,-0.0010055305020187,0.010057195048514348,0.01999174925753821,0.00012264083949048953,-0.0004700473937110198,0.40404040404040403,-1.889249399374297,-0.1450704996485223,1.4684326546803335,-0.00899180414671229,-0.00028311364846585,0.009799676000810893
4,60,feat_15m_ret_4,2,1900,450,4,4,0.0010681859659094,0.0050505157860687,91,-0.00554098822174,-0.000208731954141,0.0116173297783747,0.0171583180001147,0.006076341556634701,0.0007557821644401172,0.46153846153846156,-0.8775039321568368,-0.0172027531644542,1.6443306099549744,-0.00899180414671229,-0.00028311364846585,0.009799676000810893
4,60,feat_15m_ret_4,2,1900,450,4,5,0.0051380973667463,0.0240061193597789,99,-0.00988167418085084,0.000138773244741,0.0086226397963247,0.01850431397717554,-0.0012590343845261392,-0.0003543117919338613,0.5151515151515151,-1.1612348516842437,0.0093942539225972,1.1224088522665354,-0.00899180414671229,-0.00028311364846585,0.009799676000810893
4,60,feat_15m_ret_4,3,2350,450,4,1,-0.0298678249718893,-0.0059858016360152,52,-0.0038446469129615798,0.00216188151056625,0.007449312745798308,0.011293959658759888,0.0036046658328367284,0.0013989888048523945,0.5769230769230769,-0.4537599179738714,0.23892935505165885,0.8556119319348473,-0.00651592800689722,0.0005913272495524,0.009226778979549573
4,60,feat_15m_ret_4,3,2350,450,4,2,-0.0057773106801715,-0.0019462020461507,96,-0.0075202786183304,0.00041961217086595006,0.00882955149006515,0.01634983010839555,0.0013092728717347497,0.0005880672678692684,0.5208333333333334,-1.0693533001425164,0.06669783306228635,1.5358721716839319,-0.00651592800689722,0.0005913272495524,0.009226778979549573
4,60,feat_15m_ret_4,3,2350,450,4,3,-0.0019223023933303,0.0011258652137975,89,-0.00699911354824484,-0.0010067959571808,0.009513099186633643,0.016512212734878483,0.0025139856383888035,9.304538622499513e-05,0.42696629213483145,-1.0537925334204776,-0.1588544839647124,1.4543771691248188,-0.00651592800689722,0.0005913272495524,0.009226778979549573
4,60,feat_15m_ret_4,3,2350,450,4,4,0.0011369379698678,0.0052062043884202,111,-0.0066881440548887,0.0010557061894743,0.0092137468676619,0.0159018909225506,0.0025256028127732004,0.0010163186249321579,0.5855855855855856,-1.021010093538966,0.1848137434372373,2.1569015267144285,-0.00651592800689722,0.0005913272495524,0.009226778979549573
4,60,feat_15m_ret_4,3,2350,450,4,5,0.0054313636108673,0.0200692307695291,102,-0.00563831036960747,0.0007100320606464,0.009865754713838942,0.015504065083446412,0.004227444344231472,0.0014900635753663837,0.5588235294117647,-0.8280109138831336,0.13732136221500216,1.5682272743964296,-0.00651592800689722,0.0005913272495524,0.009226778979549573
4,60,feat_15m_ret_4,4,2800,450,4,1,-0.0356220879241284,-0.0055455235546464,78,-0.00790865011128861,0.0012251689564809999,0.006414910811978029,0.01432356092326664,-0.0014937392993105807,0.000264929055822373,0.6282051282051282,-1.0064180754613863,0.10946611914354795,0.8702141836386527,-0.008264559369691369,0.0006739652392835,0.00948869160142159
