horizon,pair,feature_x,feature_y,x_bin,y_bin,n,q10,q50,q90,width_90_10,asym_90_plus_10,mean,positive_rate,norm_q10,norm_q50,norm_q90,folds
4,badvol_1h_x_rv_1h,feat_5m_1h_neg_semivar_share,feat_5m_1h_rv,1,1,259,-0.00624056443476938,0.0003284395864911,0.009619519997544833,0.015860084432314212,0.0033789555627754533,0.0007579107672140295,0.5135135135135135,-0.9583111772403021,0.0517825396308523,2.0917316092236837,5
4,badvol_1h_x_rv_1h,feat_5m_1h_neg_semivar_share,feat_5m_1h_rv,1,2,265,-0.0084511746447486,-0.0001279426818531,0.00966305958944962,0.01811423423419822,0.0012118849447010187,0.00029811980317403266,0.4867924528301887,-1.1628509174620285,-0.0164717733223292,1.3258113383357675,5
4,badvol_1h_x_rv_1h,feat_5m_1h_neg_semivar_share,feat_5m_1h_rv,1,3,267,-0.01047588329431776,6.489924394658514e-05,0.010375621731093023,0.020851505025410784,-0.00010026156322473674,-0.00032220359743430615,0.50187265917603,-1.2065312615316457,0.0038567065830914,1.1070599982157068,5
4,badvol_1h_x_rv_1h,feat_5m_1h_neg_semivar_share,feat_5m_1h_rv,2,1,402,-0.009510618122316199,-0.0008174858794601,0.009424145885719293,0.018934764008035492,-8.64722365969059e-05,-0.0005755652056645503,0.43532338308457713,-1.5703501827352004,-0.09600437585725449,1.5487228336254133,5
4,badvol_1h_x_rv_1h,feat_5m_1h_neg_semivar_share,feat_5m_1h_rv,2,2,259,-0.00778205651929228,-0.0003939075681185,0.009778901163649401,0.01756095768294168,0.001996844644357121,0.0001288246654599484,0.4749034749034749,-1.0019875706843022,-0.0354040705106107,1.2545087859380375,5
4,badvol_1h_x_rv_1h,feat_5m_1h_neg_semivar_share,feat_5m_1h_rv,2,3,113,-0.011275356001167518,0.0007570500645463,0.01503200769241608,0.026307363693583597,0.0037566516912485616,0.0011356209906700904,0.5221238938053098,-1.0358959903575509,0.0471509650141929,1.432721849035722,5
4,badvol_1h_x_rv_1h,feat_5m_1h_neg_semivar_share,feat_5m_1h_rv,3,1,213,-0.010599650598554337,-0.0004356620576143,0.00515500838746342,0.01575465898601776,-0.005444642211090917,-0.0012182402558465117,0.4788732394366197,-1.7268603428493867,-0.0686311100741563,1.072202668705024,5
4,badvol_1h_x_rv_1h,feat_5m_1h_neg_semivar_share,feat_5m_1h_rv,3,2,196,-0.008770433943376899,-0.00025164430727135,0.010634531686491,0.019404965629867897,0.0018640977431141018,0.00016951219317209036,0.4846938775510204,-1.2248023697395856,-0.040787101131147446,1.2417487015730664,5
4,badvol_1h_x_rv_1h,feat_5m_1h_neg_semivar_share,feat_5m_1h_rv,3,3,276,-0.0096676826805683,0.0013145811249114,0.010914911849017,0.020582594529585302,0.0012472291684487002,0.0006518150870212041,0.572463768115942,-0.9192944920536277,0.13639786363883935,1.0672529654746599,5
4,jump_1h_x_location_32,feat_5m_1h_jump_share,feat_15m_location_32,1,1,205,-0.00911378330108994,-0.0009334722251811,0.008309185100689138,0.01742296840177908,-0.000804598200400802,-0.0006755440291183685,0.45365853658536587,-1.0977154405584577,-0.0859371073394978,1.0211109343734117,5
4,jump_1h_x_location_32,feat_5m_1h_jump_share,feat_15m_location_32,1,2,241,-0.0106581906361288,-0.0001279426818531,0.0107554202287342,0.021413610864863,9.722959260539954e-05,0.0002178239913272254,0.48132780082987553,-1.3195746530473949,-0.0164717733223292,1.5988239276347649,5
4,jump_1h_x_location_32,feat_5m_1h_jump_share,feat_15m_location_32,1,3,304,-0.00768857277566015,-0.00010668246318153023,0.0101298370595153,0.01781840983517545,0.0024412642838551497,0.0001459395493676925,0.4868421052631579,-0.9482845774188827,-0.0152450866456738,1.5117199839658528,5
4,jump_1h_x_location_32,feat_5m_1h_jump_share,feat_15m_location_32,2,1,257,-0.01138664932853894,0.0,0.010903606555673621,0.02229025588421256,-0.0004830427728653181,-5.863840517281906e-05,0.4980544747081712,-1.5561733603275176,0.0,1.341122703307707,5
4,jump_1h_x_location_32,feat_5m_1h_jump_share,feat_15m_location_32,2,2,192,-0.00940154185284977,-0.0012492172353707502,0.007596734329415601,0.01699827618226537,-0.0018048075234341687,-0.0005638966959408056,0.4270833333333333,-1.431035303554247,-0.14707934394638605,1.238801061939485,5
