horizon,split,geometry_stratum,analyzable_n,mean_distance_atr5,median_distance_atr5,invalidation_rate
6,DISCOVERY,G1_NEAREST,2751,0.6270670409986143,0.6839755731331094,0.46644960372556077
6,DISCOVERY,G2,2592,1.3007427633855804,1.2946521927005459,0.23431491047400113
6,DISCOVERY,G3,2485,1.9230648625832254,1.8991899864354032,0.13168440369595827
6,DISCOVERY,G4_FARTHEST,2566,3.6619185475096527,3.1849330450835778,0.04053563554277221
6,VALIDATION,G1_NEAREST,1225,0.6142338157109122,0.669249424291763,0.4855513068717572
6,VALIDATION,G2,1095,1.3040299023249353,1.2981797644681061,0.2374700692098272
6,VALIDATION,G3,1118,1.9323044303292576,1.9143200323382452,0.12175088617067943
6,VALIDATION,G4_FARTHEST,1320,4.001544529059776,3.4120345943248758,0.02695123175093829
12,DISCOVERY,G1_NEAREST,1973,0.6146586943737705,0.6667103742049909,0.5750575166211722
12,DISCOVERY,G2,1680,1.301113413908475,1.2952618031355936,0.3633326806492854
12,DISCOVERY,G3,1577,1.9292065571790462,1.9063498298082042,0.2266629352434778
12,DISCOVERY,G4_FARTHEST,1666,3.6261150555636936,3.2018201461727394,0.11282197683497301
12,VALIDATION,G1_NEAREST,878,0.6079889350108162,0.6549005742105352,0.5943365179624341
12,VALIDATION,G2,685,1.2946830843972297,1.2899721784428164,0.3945731464019343
12,VALIDATION,G3,714,1.9393507664869996,1.9269594826789984,0.23487069431510457
12,VALIDATION,G4_FARTHEST,892,4.046438832378511,3.3897454270352254,0.08473415774713303
24,DISCOVERY,G1_NEAREST,838,0.6202497842726338,0.6634908165238518,0.6685723890729851
24,DISCOVERY,G2,665,1.2915345580001902,1.2782475215489089,0.486431307159908
24,DISCOVERY,G3,538,1.9243449352864779,1.8956660181238765,0.3184706876949538
24,DISCOVERY,G4_FARTHEST,507,3.6083126191496806,3.210323050759587,0.1925576012824526
24,VALIDATION,G1_NEAREST,395,0.608006415909392,0.6479868084085739,0.6664129994074167
24,VALIDATION,G2,269,1.2961820963310884,1.2862223011192448,0.5099869506867897
24,VALIDATION,G3,219,1.9216886498963277,1.9143700989105823,0.3040540540540541
24,VALIDATION,G4_FARTHEST,277,4.1202397761380585,3.3279196557726816,0.15320259086002158
