factor,bucket,mechanism_status,selected_action,symbol,trades,effective_weight,win_rate,loss_rate,zero_rate,avg_win_R,avg_loss_R,realized_payoff_ratio,realized_breakeven_win_rate,expectancy_R,median_R,profit_factor,gross_signal_total_R,target_hit_rate,stop_hit_rate,timeout_rate,both_hit_rate,daily_sharpe_252,max_drawdown_R,max_losing_streak,active_days,trading_days,active_day_rate,trades_per_active_day
source_tf,5m,COLLAPSES_AFTER_GEOMETRY_CONTROL,FOLLOW_1.5R,AG,645,467.6623015873016,0.3868769776047531,0.6109847273122224,0.002138295083024398,1.3418840666588616,-0.9715816883448104,1.3811335503295656,0.41996804415342137,-0.07447752090994725,-1.0,0.874537037890596,-34.830328845262315,0.31763185516614634,0.5842560387744175,0.09597381097641171,0.002138295083024398,-2.1831160904695257,12.038835788361157,11,121,123,0.983739837398374,5.330578512396694
source_tf,5m,COLLAPSES_AFTER_GEOMETRY_CONTROL,FOLLOW_1.5R,CU,523,371.325,0.4118359927287417,0.5773917727058506,0.010772234565407662,1.3474601333742342,-0.967053894718333,1.3933661202685084,0.41782157419685184,-0.0034363808829348834,-1.0,0.9938456806999145,-1.2760141313557956,0.3397966740725779,0.5450750690096277,0.11243519827644247,0.0026930586413519155,-1.232499617044373,11.177935405889952,10,120,123,0.975609756097561,4.358333333333333
source_tf,5m,COLLAPSES_AFTER_GEOMETRY_CONTROL,FOLLOW_1.5R,M,323,214.5008658008658,0.4339572187117177,0.5567188095992509,0.009323971689031417,1.4589883439839562,-0.9856078002423926,1.4802930167812633,0.4031781701735081,0.08443212260541137,-1.0,1.153874863511778,18.110763400265594,0.41391067958030014,0.5450638449879616,0.04102547543173824,0.0,1.221828787190384,7.215613928908541,10,103,123,0.8373983739837398,3.1359223300970873
source_tf,5m,COLLAPSES_AFTER_GEOMETRY_CONTROL,FOLLOW_1.5R,RB,327,228.40396825396823,0.39270090239724254,0.5854080593768352,0.021891038225922466,1.2499879907174436,-0.9506273323018855,1.314908532758757,0.4319825106905046,-0.0656334898529684,-1.0,0.8820612547320712,-14.99094953277454,0.29419123038059136,0.5314101650862263,0.1743986045331823,0.0,-3.0646682710579536,20.50657541263907,11,109,123,0.8861788617886179,3.0
source_tf,15m,COLLAPSES_AFTER_GEOMETRY_CONTROL,FOLLOW_2.0R,AG,294,174.84642857142856,0.3792897622176377,0.6207102377823623,0.0,1.4895270068992155,-0.9700498317871118,1.535515968447803,0.3943970428283999,-0.037157517485765824,-1.0,0.9382888360835445,-6.496859226966562,0.22815032693088946,0.5978330189985317,0.17401665407057895,0.0,-2.107635052339118,14.790908698019699,20,99,123,0.8048780487804879,2.9696969696969697
source_tf,15m,COLLAPSES_AFTER_GEOMETRY_CONTROL,FOLLOW_2.0R,CU,298,186.28333333333333,0.3864185380692493,0.6135814619307507,0.0,1.6752132929729389,-0.959994044506432,1.7450246723501572,0.36429545062844493,0.05829892235170522,-1.0,1.098973689104743,10.86011758541682,0.28039724434105756,0.563478572067639,0.15612418359130353,0.0,0.8442535571902865,8.301755746585538,12,108,123,0.8780487804878049,2.759259259259259
source_tf,15m,COLLAPSES_AFTER_GEOMETRY_CONTROL,FOLLOW_2.0R,M,159,98.62348484848485,0.45660339675687306,0.5332570304878518,0.010139572755275265,1.741943920695324,-0.9533236023497136,1.8272325539846606,0.35370277503016667,0.28701099786648004,-0.6866336839072006,1.5645749481274571,28.30602479943331,0.356559612238157,0.4825591667114754,0.16088122105036756,0.0,2.590889924613378,3.809613018558613,10,82,123,0.6666666666666666,1.9390243902439024
source_tf,15m,COLLAPSES_AFTER_GEOMETRY_CONTROL,FOLLOW_2.0R,RB,173,108.04365079365078,0.30363242369706545,0.663973261835678,0.03239431446725677,1.4476165631803817,-0.8953500802773761,1.6168162544106943,0.3821437589721787,-0.15494518762412998,-1.0,0.7393638663133759,-16.7408437438182,0.16942740661843025,0.5467366951922725,0.2838358981892974,0.0,-4.482923986271879,25.27880240858827,13,79,123,0.6422764227642277,2.189873417721519
source_tf,1h,COLLAPSES_AFTER_GEOMETRY_CONTROL,FADE_2.0R,AG,164,106.06071428571428,0.44314240495672963,0.5568575950432704,0.0,1.4615241623128101,-0.940820051748536,1.553457709151217,0.39162583206925533,0.12376054080449324,-1.0,1.2362280614639907,13.126131358110841,0.25064260138510064,0.5144290669091154,0.23492833170578395,0.0,1.1699593219885114,8.639312163772548,8,61,123,0.4959349593495935,2.6885245901639343
source_tf,1h,COLLAPSES_AFTER_GEOMETRY_CONTROL,FADE_2.0R,CU,110,74.93333333333332,0.41080960854092535,0.5891903914590749,0.0,1.5543755285884944,-0.9079916450896958,1.7118830740286666,0.36874746170912137,0.10357244961306594,-1.0,1.193600618244978,7.76102889100574,0.24399466192170824,0.5213523131672599,0.23465302491103204,0.0,1.4160172720987108,5.4734906004401465,9,55,123,0.44715447154471544,2.0
